POA_CODE_2021	Religion	Denomination	Sex	persons
POA0800	(Other)		F	426
POA0800	(Other)		M	540
POA0800	(Other)	(Other)	F	19
POA0800	(Other)	(Other)	M	8
POA0800	(Other)	Australian Aboriginal Traditional	M	4
POA0800	(Other)	Other spiritual beliefs	F	11
POA0800	(Other)	Other spiritual beliefs	M	5
POA0800	(Other)	Secular beliefs	F	9
POA0800	(Other)	Secular beliefs	M	11
POA0800	(Other)	Sikhism	F	29
POA0800	(Other)	Sikhism	M	33
POA0800	Buddhism		F	195
POA0800	Buddhism		M	137
POA0800	Christianity		F	62
POA0800	Christianity		M	62
POA0800	Christianity	Anglican	F	171
POA0800	Christianity	Anglican	M	167
POA0800	Christianity	Baptist	F	27
POA0800	Christianity	Baptist	M	23
POA0800	Christianity	Catholic	F	530
POA0800	Christianity	Catholic	M	510
POA0800	Christianity	Churches Of Christ	F	4
POA0800	Christianity	Churches Of Christ	M	3
POA0800	Christianity	Eastern Orthodox	F	44
POA0800	Christianity	Eastern Orthodox	M	44
POA0800	Christianity	Jehovah's Witnesses	F	5
POA0800	Christianity	Jehovah's Witnesses	M	5
POA0800	Christianity	Latter Day Saints	F	3
POA0800	Christianity	Latter Day Saints	M	3
POA0800	Christianity	Lutheran	F	6
POA0800	Christianity	Lutheran	M	12
POA0800	Christianity	Oriental Orthodox	F	5
POA0800	Christianity	Oriental Orthodox	M	6
POA0800	Christianity	Pentecostal	F	22
POA0800	Christianity	Pentecostal	M	24
POA0800	Christianity	Presbyterian Reformed	F	27
POA0800	Christianity	Presbyterian Reformed	M	33
POA0800	Christianity	Protestant (Other)	F	14
POA0800	Christianity	Protestant (Other)	M	11
POA0800	Christianity	Salvation Army	M	3
POA0800	Christianity	Seventh Day Adventist	F	5
POA0800	Christianity	Seventh Day Adventist	M	4
POA0800	Christianity	Uniting Church	F	58
POA0800	Christianity	Uniting Church	M	52
POA0800	Hinduism		F	311
POA0800	Hinduism		M	400
POA0800	Islam		F	64
POA0800	Islam		M	98
POA0800	Judaism		F	3
POA0800	Judaism		M	9
POA0800	No religion		F	1288
POA0800	No religion		M	1596
POA0810	(Other)		F	1372
POA0810	(Other)		M	1509
POA0810	(Other)	(Other)	F	75
POA0810	(Other)	(Other)	M	62
POA0810	(Other)	Australian Aboriginal Traditional	F	5
POA0810	(Other)	Australian Aboriginal Traditional	M	3
POA0810	(Other)	Other spiritual beliefs	F	38
POA0810	(Other)	Other spiritual beliefs	M	17
POA0810	(Other)	Secular beliefs	F	54
POA0810	(Other)	Secular beliefs	M	71
POA0810	(Other)	Sikhism	F	225
POA0810	(Other)	Sikhism	M	250
POA0810	Buddhism		F	770
POA0810	Buddhism		M	532
POA0810	Christianity		F	421
POA0810	Christianity		M	325
POA0810	Christianity	(Other)	F	9
POA0810	Christianity	(Other)	M	7
POA0810	Christianity	Anglican	F	869
POA0810	Christianity	Anglican	M	761
POA0810	Christianity	Baptist	F	221
POA0810	Christianity	Baptist	M	174
POA0810	Christianity	Catholic	F	3298
POA0810	Christianity	Catholic	M	2928
POA0810	Christianity	Churches Of Christ	F	12
POA0810	Christianity	Churches Of Christ	M	20
POA0810	Christianity	Eastern Orthodox	F	967
POA0810	Christianity	Eastern Orthodox	M	972
POA0810	Christianity	Jehovah's Witnesses	F	38
POA0810	Christianity	Jehovah's Witnesses	M	26
POA0810	Christianity	Latter Day Saints	F	36
POA0810	Christianity	Latter Day Saints	M	38
POA0810	Christianity	Lutheran	F	68
POA0810	Christianity	Lutheran	M	55
POA0810	Christianity	Oriental Orthodox	F	55
POA0810	Christianity	Oriental Orthodox	M	55
POA0810	Christianity	Pentecostal	F	188
POA0810	Christianity	Pentecostal	M	151
POA0810	Christianity	Presbyterian Reformed	F	112
POA0810	Christianity	Presbyterian Reformed	M	120
POA0810	Christianity	Protestant (Other)	F	113
POA0810	Christianity	Protestant (Other)	M	74
POA0810	Christianity	Salvation Army	F	17
POA0810	Christianity	Salvation Army	M	9
POA0810	Christianity	Seventh Day Adventist	F	67
POA0810	Christianity	Seventh Day Adventist	M	43
POA0810	Christianity	Uniting Church	F	408
POA0810	Christianity	Uniting Church	M	285
POA0810	Hinduism		F	1015
POA0810	Hinduism		M	1159
POA0810	Islam		F	518
POA0810	Islam		M	745
POA0810	Judaism		F	13
POA0810	Judaism		M	7
POA0810	No religion		F	6324
POA0810	No religion		M	6591
POA0812	(Other)		F	918
POA0812	(Other)		M	974
POA0812	(Other)	(Other)	F	37
POA0812	(Other)	(Other)	M	33
POA0812	(Other)	Australian Aboriginal Traditional	F	7
POA0812	(Other)	Australian Aboriginal Traditional	M	9
POA0812	(Other)	Other spiritual beliefs	F	22
POA0812	(Other)	Other spiritual beliefs	M	13
POA0812	(Other)	Secular beliefs	F	18
POA0812	(Other)	Secular beliefs	M	21
POA0812	(Other)	Sikhism	F	26
POA0812	(Other)	Sikhism	M	33
POA0812	Buddhism		F	420
POA0812	Buddhism		M	267
POA0812	Christianity		F	219
POA0812	Christianity		M	183
POA0812	Christianity	(Other)	F	5
POA0812	Christianity	(Other)	M	5
POA0812	Christianity	Anglican	F	565
POA0812	Christianity	Anglican	M	451
POA0812	Christianity	Baptist	F	139
POA0812	Christianity	Baptist	M	147
POA0812	Christianity	Catholic	F	2316
POA0812	Christianity	Catholic	M	1975
POA0812	Christianity	Churches Of Christ	F	10
POA0812	Christianity	Eastern Orthodox	F	369
POA0812	Christianity	Eastern Orthodox	M	421
POA0812	Christianity	Jehovah's Witnesses	F	64
POA0812	Christianity	Jehovah's Witnesses	M	44
POA0812	Christianity	Latter Day Saints	F	25
POA0812	Christianity	Latter Day Saints	M	12
POA0812	Christianity	Lutheran	F	68
POA0812	Christianity	Lutheran	M	49
POA0812	Christianity	Oriental Orthodox	F	3
POA0812	Christianity	Oriental Orthodox	M	4
POA0812	Christianity	Pentecostal	F	116
POA0812	Christianity	Pentecostal	M	80
POA0812	Christianity	Presbyterian Reformed	F	87
POA0812	Christianity	Presbyterian Reformed	M	92
POA0812	Christianity	Protestant (Other)	F	77
POA0812	Christianity	Protestant (Other)	M	81
POA0812	Christianity	Salvation Army	F	7
POA0812	Christianity	Salvation Army	M	8
