POA_CODE_2021	Landlord	Rent.min	occupied_private_dwellings_being_rented
POA0800		28875	4
POA0800	(Other)	5250	3
POA0800	(Other)	10500	3
POA0800	(Other)	11812	36
POA0800	(Other)	14437	12
POA0800	(Other)	18375	6
POA0800	(Other)	23625	13
POA0800	(Other)	28875	9
POA0800	(Other)	34125	3
POA0800	(Other)	44625	3
POA0800	Person not in same household	7875	4
POA0800	Person not in same household	10500	3
POA0800	Person not in same household	11812	25
POA0800	Person not in same household	14437	44
POA0800	Person not in same household	18375	71
POA0800	Person not in same household	23625	45
POA0800	Person not in same household	28875	28
POA0800	Person not in same household	34125	12
POA0800	Person not in same household	39375	12
POA0800	Person not in same household	44625	8
POA0800	Person not in same household	49875	3
POA0800	Real estate agent	52	5
POA0800	Real estate agent	5250	10
POA0800	Real estate agent	7875	9
POA0800	Real estate agent	10500	11
POA0800	Real estate agent	11812	163
POA0800	Real estate agent	14437	200
POA0800	Real estate agent	18375	405
POA0800	Real estate agent	23625	433
POA0800	Real estate agent	28875	289
POA0800	Real estate agent	34125	140
POA0800	Real estate agent	39375	73
POA0800	Real estate agent	44625	23
POA0800	Real estate agent	49875	17
POA0800	State or territory housing authority	3937	3
POA0800	State or territory housing authority	5250	7
POA0800	State or territory housing authority	7875	10
POA0800	State or territory housing authority	10500	3
POA0800	State or territory housing authority	11812	3
POA0800	State or territory housing authority	14437	4
POA0810		7875	6
POA0810		11812	4
POA0810		18375	11
POA0810		23625	3
POA0810	(Other)	52	6
POA0810	(Other)	7875	8
POA0810	(Other)	10500	14
POA0810	(Other)	11812	340
POA0810	(Other)	14437	153
POA0810	(Other)	18375	58
POA0810	(Other)	23625	30
POA0810	(Other)	28875	13
POA0810	(Other)	34125	5
POA0810	(Other)	39375	5
POA0810	Co-op/church group etc	52	5
POA0810	Co-op/church group etc	5250	6
POA0810	Co-op/church group etc	7875	13
POA0810	Co-op/church group etc	10500	6
POA0810	Co-op/church group etc	11812	11
POA0810	Co-op/church group etc	14437	7
POA0810	Co-op/church group etc	18375	10
POA0810	Person not in same household	3937	3
POA0810	Person not in same household	5250	16
POA0810	Person not in same household	7875	62
POA0810	Person not in same household	10500	55
POA0810	Person not in same household	11812	103
POA0810	Person not in same household	14437	258
POA0810	Person not in same household	18375	296
POA0810	Person not in same household	23625	160
POA0810	Person not in same household	28875	85
POA0810	Person not in same household	34125	33
POA0810	Person not in same household	39375	19
POA0810	Person not in same household	44625	10
POA0810	Person not in same household	49875	4
POA0810	Real estate agent	5250	9
POA0810	Real estate agent	7875	21
POA0810	Real estate agent	10500	49
POA0810	Real estate agent	11812	195
POA0810	Real estate agent	14437	621
POA0810	Real estate agent	18375	713
POA0810	Real estate agent	23625	461
POA0810	Real estate agent	28875	285
POA0810	Real estate agent	34125	161
POA0810	Real estate agent	39375	68
POA0810	Real estate agent	44625	26
POA0810	Real estate agent	49875	20
POA0810	State or territory housing authority	52	34
POA0810	State or territory housing authority	3937	82
POA0810	State or territory housing authority	5250	179
POA0810	State or territory housing authority	7875	100
POA0810	State or territory housing authority	10500	35
POA0810	State or territory housing authority	11812	59
POA0810	State or territory housing authority	14437	47
POA0810	State or territory housing authority	18375	24
POA0810	State or territory housing authority	23625	28
POA0810	State or territory housing authority	28875	3
POA0812		7875	4
POA0812		11812	3
POA0812		23625	3
POA0812	(Other)	10500	6
POA0812	(Other)	11812	11
POA0812	(Other)	14437	15
POA0812	(Other)	18375	14
POA0812	(Other)	23625	13
POA0812	Co-op/church group etc	52	3
POA0812	Co-op/church group etc	5250	5
POA0812	Co-op/church group etc	7875	3
POA0812	Co-op/church group etc	14437	3
POA0812	Person not in same household	5250	7
POA0812	Person not in same household	7875	10
POA0812	Person not in same household	10500	23
POA0812	Person not in same household	11812	21
POA0812	Person not in same household	14437	72
POA0812	Person not in same household	18375	160
POA0812	Person not in same household	23625	101
POA0812	Person not in same household	28875	31
POA0812	Person not in same household	34125	15
POA0812	Person not in same household	39375	7
POA0812	Person not in same household	49875	3
POA0812	Real estate agent	7875	3
POA0812	Real estate agent	10500	7
POA0812	Real estate agent	11812	31
POA0812	Real estate agent	14437	154
POA0812	Real estate agent	18375	284
POA0812	Real estate agent	23625	242
POA0812	Real estate agent	28875	123
POA0812	Real estate agent	34125	29
POA0812	Real estate agent	39375	4
POA0812	Real estate agent	44625	3
POA0812	Real estate agent	49875	4
POA0812	State or territory housing authority	52	22
POA0812	State or territory housing authority	3937	58
POA0812	State or territory housing authority	5250	159
POA0812	State or territory housing authority	7875	108
POA0812	State or territory housing authority	10500	43
POA0812	State or territory housing authority	11812	54
POA0812	State or territory housing authority	14437	48
