GCCSA_NAME21	MaxSchoolingCompleted	Sex	persons
No usual address (NSW)	Did not go to school	F	28
No usual address (NSW)	Did not go to school	M	41
No usual address (NSW)	Year 8	F	103
No usual address (NSW)	Year 8	M	225
No usual address (NSW)	Year 9	F	226
No usual address (NSW)	Year 9	M	351
No usual address (NSW)	Year 10	F	798
No usual address (NSW)	Year 10	M	1083
No usual address (NSW)	Year 11	F	234
No usual address (NSW)	Year 11	M	293
No usual address (NSW)	Year 12	F	1674
No usual address (NSW)	Year 12	M	1648
Greater Sydney	Did not go to school	F	36218
Greater Sydney	Did not go to school	M	27247
Greater Sydney	Year 8	F	78992
Greater Sydney	Year 8	M	68259
Greater Sydney	Year 9	F	92372
Greater Sydney	Year 9	M	89217
Greater Sydney	Year 10	F	328639
Greater Sydney	Year 10	M	328674
Greater Sydney	Year 11	F	100181
Greater Sydney	Year 11	M	109984
Greater Sydney	Year 12	F	1414671
Greater Sydney	Year 12	M	1338608
Rest of NSW	Did not go to school	F	5140
Rest of NSW	Did not go to school	M	5155
Rest of NSW	Year 8	F	49345
Rest of NSW	Year 8	M	55320
Rest of NSW	Year 9	F	93883
Rest of NSW	Year 9	M	94775
Rest of NSW	Year 10	F	329625
Rest of NSW	Year 10	M	335935
Rest of NSW	Year 11	F	84159
Rest of NSW	Year 11	M	87877
Rest of NSW	Year 12	F	541085
Rest of NSW	Year 12	M	459361
No usual address (Vic.)	Did not go to school	F	18
No usual address (Vic.)	Did not go to school	M	37
No usual address (Vic.)	Year 8	F	91
No usual address (Vic.)	Year 8	M	152
No usual address (Vic.)	Year 9	F	157
No usual address (Vic.)	Year 9	M	235
No usual address (Vic.)	Year 10	F	389
No usual address (Vic.)	Year 10	M	529
No usual address (Vic.)	Year 11	F	285
No usual address (Vic.)	Year 11	M	366
No usual address (Vic.)	Year 12	F	1231
No usual address (Vic.)	Year 12	M	1215
Migratory - Offshore - Shipping (Vic.)	Year 12	M	9
Greater Melbourne	Did not go to school	F	34052
Greater Melbourne	Did not go to school	M	25616
Greater Melbourne	Year 8	F	99410
Greater Melbourne	Year 8	M	78299
Greater Melbourne	Year 9	F	88014
Greater Melbourne	Year 9	M	92832
Greater Melbourne	Year 10	F	196823
Greater Melbourne	Year 10	M	221425
Greater Melbourne	Year 11	F	184721
Greater Melbourne	Year 11	M	195925
Greater Melbourne	Year 12	F	1350676
Greater Melbourne	Year 12	M	1240032
Rest of Vic.	Did not go to school	F	3731
Rest of Vic.	Did not go to school	M	3966
Rest of Vic.	Year 8	F	34477
Rest of Vic.	Year 8	M	35777
Rest of Vic.	Year 9	F	47735
Rest of Vic.	Year 9	M	54899
Rest of Vic.	Year 10	F	109227
Rest of Vic.	Year 10	M	128585
Rest of Vic.	Year 11	F	99833
Rest of Vic.	Year 11	M	102309
Rest of Vic.	Year 12	F	321487
Rest of Vic.	Year 12	M	257263
No usual address (Qld)	Did not go to school	F	27
No usual address (Qld)	Did not go to school	M	42
No usual address (Qld)	Year 8	F	151
No usual address (Qld)	Year 8	M	278
No usual address (Qld)	Year 9	F	304
