GCCSA_NAME21	Age	MaritalStatus	Registered	adults
Greater Sydney	15-19	Married	0	1737
Greater Sydney	15-19	Married	1	182
Greater Sydney	15-19	Never married		274146
Greater Sydney	20-24	Married	0	29705
Greater Sydney	20-24	Married	1	11604
Greater Sydney	20-24	Never married		270799
Greater Sydney	25-34	Married	0	154436
Greater Sydney	25-34	Married	1	252920
Greater Sydney	25-34	Never married		339096
Greater Sydney	35-44	Married	0	82063
Greater Sydney	35-44	Married	1	467604
Greater Sydney	35-44	Never married		178276
Greater Sydney	45-54	Married	0	55779
Greater Sydney	45-54	Married	1	401193
Greater Sydney	45-54	Never married		171367
Greater Sydney	55-64	Married	0	35942
Greater Sydney	55-64	Married	1	343100
Greater Sydney	55-64	Never married		166061
Greater Sydney	65-74	Married	0	16370
Greater Sydney	65-74	Married	1	259375
Greater Sydney	65-74	Never married		134193
Greater Sydney	75-84	Married	0	4956
Greater Sydney	75-84	Married	1	127905
Greater Sydney	75-84	Never married		92107
Greater Sydney	85+	Married	0	654
Greater Sydney	85+	Married	1	27666
Greater Sydney	85+	Never married		48538
Rest of NSW	15-19	Married	0	2707
Rest of NSW	15-19	Married	1	73
Rest of NSW	15-19	Never married		141618
Rest of NSW	20-24	Married	0	26080
Rest of NSW	20-24	Married	1	3911
Rest of NSW	20-24	Never married		100994
Rest of NSW	25-34	Married	0	79681
Rest of NSW	25-34	Married	1	94172
Rest of NSW	25-34	Never married		118345
Rest of NSW	35-44	Married	0	47374
Rest of NSW	35-44	Married	1	164441
Rest of NSW	35-44	Never married		80567
Rest of NSW	45-54	Married	0	41480
Rest of NSW	45-54	Married	1	178769
Rest of NSW	45-54	Never married		96910
Rest of NSW	55-64	Married	0	33703
Rest of NSW	55-64	Married	1	199926
Rest of NSW	55-64	Never married		111392
Rest of NSW	65-74	Married	0	18245
Rest of NSW	65-74	Married	1	193441
Rest of NSW	65-74	Never married		101367
Rest of NSW	75-84	Married	0	5412
Rest of NSW	75-84	Married	1	101767
Rest of NSW	75-84	Never married		71077
Rest of NSW	85+	Married	0	734
Rest of NSW	85+	Married	1	19891
Rest of NSW	85+	Never married		35696
Greater Melbourne	15-19	Married	0	1452
Greater Melbourne	15-19	Married	1	143
Greater Melbourne	15-19	Never married		255075
Greater Melbourne	20-24	Married	0	28413
Greater Melbourne	20-24	Married	1	7694
Greater Melbourne	20-24	Never married		262503
Greater Melbourne	25-34	Married	0	167742
Greater Melbourne	25-34	Married	1	229454
Greater Melbourne	25-34	Never married		331787
Greater Melbourne	35-44	Married	0	88438
Greater Melbourne	35-44	Married	1	435744
Greater Melbourne	35-44	Never married		166867
Greater Melbourne	45-54	Married	0	58543
Greater Melbourne	45-54	Married	1	370394
Greater Melbourne	45-54	Never married		164463
Greater Melbourne	55-64	Married	0	35221
Greater Melbourne	55-64	Married	1	310153
Greater Melbourne	55-64	Never married		151218
Greater Melbourne	65-74	Married	0	15254
Greater Melbourne	65-74	Married	1	237580
Greater Melbourne	65-74	Never married		120474
Greater Melbourne	75-84	Married	0	4358
Greater Melbourne	75-84	Married	1	121617
Greater Melbourne	75-84	Never married		84202
Greater Melbourne	85+	Married	0	622
