GCCSA_NAME21	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Greater Sydney				393
Greater Sydney			0	232
Greater Sydney			1	892
Greater Sydney			2	1212
Greater Sydney			3	632
Greater Sydney			4	419
Greater Sydney			5	163
Greater Sydney			6	73
Greater Sydney		1 storey		1261
Greater Sydney		1 storey	0	741
Greater Sydney		1 storey	1	5781
Greater Sydney		1 storey	2	29363
Greater Sydney		1 storey	3	34687
Greater Sydney		1 storey	4	6344
Greater Sydney		1 storey	5	997
Greater Sydney		1 storey	6	237
Greater Sydney		2 storeys or more		1983
Greater Sydney		2 storeys or more	0	598
Greater Sydney		2 storeys or more	1	8444
Greater Sydney		2 storeys or more	2	32559
Greater Sydney		2 storeys or more	3	77608
Greater Sydney		2 storeys or more	4	28571
Greater Sydney		2 storeys or more	5	4080
Greater Sydney		2 storeys or more	6	757
Greater Sydney	(Other)			214
Greater Sydney	(Other)		0	395
Greater Sydney	(Other)		1	2101
Greater Sydney	(Other)		2	3379
Greater Sydney	(Other)		3	1622
Greater Sydney	(Other)		4	346
Greater Sydney	(Other)		5	99
Greater Sydney	(Other)		6	51
Greater Sydney	Flat/apartment		0	144
Greater Sydney	Flat/apartment	1 or 2 storey block		1818
Greater Sydney	Flat/apartment	1 or 2 storey block	0	2463
Greater Sydney	Flat/apartment	1 or 2 storey block	1	20089
Greater Sydney	Flat/apartment	1 or 2 storey block	2	51032
Greater Sydney	Flat/apartment	1 or 2 storey block	3	16033
Greater Sydney	Flat/apartment	1 or 2 storey block	4	1793
Greater Sydney	Flat/apartment	1 or 2 storey block	5	373
Greater Sydney	Flat/apartment	1 or 2 storey block	6	212
Greater Sydney	Flat/apartment	3 storey block		2224
Greater Sydney	Flat/apartment	3 storey block	0	2641
Greater Sydney	Flat/apartment	3 storey block	1	23191
Greater Sydney	Flat/apartment	3 storey block	2	104295
Greater Sydney	Flat/apartment	3 storey block	3	21178
Greater Sydney	Flat/apartment	3 storey block	4	978
