GCCSA_NAME21	Age	MaritalStatus	Sex	responses
No usual address (NSW)	15-19	Separated	F	4
No usual address (NSW)	20-24	Married	F	10
No usual address (NSW)	20-24	Married	M	7
No usual address (NSW)	20-24	Separated	F	3
No usual address (NSW)	20-24	Separated	M	5
No usual address (NSW)	25-34	Divorced	F	31
No usual address (NSW)	25-34	Divorced	M	15
No usual address (NSW)	25-34	Married	F	139
No usual address (NSW)	25-34	Married	M	130
No usual address (NSW)	25-34	Separated	F	47
No usual address (NSW)	25-34	Separated	M	50
No usual address (NSW)	25-34	Widowed	F	3
No usual address (NSW)	35-44	Divorced	F	81
No usual address (NSW)	35-44	Divorced	M	90
No usual address (NSW)	35-44	Married	F	176
No usual address (NSW)	35-44	Married	M	205
No usual address (NSW)	35-44	Separated	F	81
No usual address (NSW)	35-44	Separated	M	143
No usual address (NSW)	35-44	Widowed	F	4
No usual address (NSW)	35-44	Widowed	M	5
No usual address (NSW)	45-54	Divorced	F	165
No usual address (NSW)	45-54	Divorced	M	178
No usual address (NSW)	45-54	Married	F	167
No usual address (NSW)	45-54	Married	M	192
No usual address (NSW)	45-54	Separated	F	74
No usual address (NSW)	45-54	Separated	M	141
No usual address (NSW)	45-54	Widowed	F	16
No usual address (NSW)	45-54	Widowed	M	7
No usual address (NSW)	55-64	Divorced	F	216
No usual address (NSW)	55-64	Divorced	M	265
No usual address (NSW)	55-64	Married	F	266
No usual address (NSW)	55-64	Married	M	272
No usual address (NSW)	55-64	Separated	F	71
No usual address (NSW)	55-64	Separated	M	115
No usual address (NSW)	55-64	Widowed	F	28
No usual address (NSW)	55-64	Widowed	M	21
No usual address (NSW)	65-74	Divorced	F	111
No usual address (NSW)	65-74	Divorced	M	192
No usual address (NSW)	65-74	Married	F	182
No usual address (NSW)	65-74	Married	M	247
No usual address (NSW)	65-74	Separated	F	37
No usual address (NSW)	65-74	Separated	M	87
No usual address (NSW)	65-74	Widowed	F	48
No usual address (NSW)	65-74	Widowed	M	36
No usual address (NSW)	75-84	Divorced	F	29
No usual address (NSW)	75-84	Divorced	M	47
No usual address (NSW)	75-84	Married	F	43
No usual address (NSW)	75-84	Married	M	82
No usual address (NSW)	75-84	Separated	F	4
No usual address (NSW)	75-84	Separated	M	14
No usual address (NSW)	75-84	Widowed	F	23
No usual address (NSW)	75-84	Widowed	M	15
No usual address (NSW)	85+	Divorced	F	5
No usual address (NSW)	85+	Divorced	M	4
No usual address (NSW)	85+	Married	M	6
No usual address (NSW)	85+	Widowed	F	23
No usual address (NSW)	85+	Widowed	M	9
Greater Sydney	15-19	Divorced	F	24
Greater Sydney	15-19	Divorced	M	27
Greater Sydney	15-19	Married	F	269
Greater Sydney	15-19	Married	M	176
Greater Sydney	15-19	Separated	F	28
Greater Sydney	15-19	Separated	M	29
Greater Sydney	15-19	Widowed	F	36
Greater Sydney	15-19	Widowed	M	36
Greater Sydney	20-24	Divorced	F	440
Greater Sydney	20-24	Divorced	M	180
Greater Sydney	20-24	Married	F	11109
Greater Sydney	20-24	Married	M	4900
Greater Sydney	20-24	Separated	F	729
Greater Sydney	20-24	Separated	M	277
Greater Sydney	20-24	Widowed	F	69
Greater Sydney	20-24	Widowed	M	65
Greater Sydney	25-34	Divorced	F	9800
Greater Sydney	25-34	Divorced	M	6130
Greater Sydney	25-34	Married	F	165234
Greater Sydney	25-34	Married	M	122666
Greater Sydney	25-34	Separated	F	8289
Greater Sydney	25-34	Separated	M	4872
Greater Sydney	25-34	Widowed	F	442
Greater Sydney	25-34	Widowed	M	250
Greater Sydney	35-44	Divorced	F	27912
Greater Sydney	35-44	Divorced	M	19229
Greater Sydney	35-44	Married	F	256840
Greater Sydney	35-44	Married	M	249218
Greater Sydney	35-44	Separated	F	16226
Greater Sydney	35-44	Separated	M	11711
Greater Sydney	35-44	Widowed	F	1737
Greater Sydney	35-44	Widowed	M	575
Greater Sydney	45-54	Divorced	F	46904
Greater Sydney	45-54	Divorced	M	31303
Greater Sydney	45-54	Married	F	214381
Greater Sydney	45-54	Married	M	215341
Greater Sydney	45-54	Separated	F	18188
Greater Sydney	45-54	Separated	M	14441
Greater Sydney	45-54	Widowed	F	5365
Greater Sydney	45-54	Widowed	M	1586
Greater Sydney	55-64	Divorced	F	52824
Greater Sydney	55-64	Divorced	M	36751
Greater Sydney	55-64	Married	F	180077
Greater Sydney	55-64	Married	M	188097
Greater Sydney	55-64	Separated	F	14236
Greater Sydney	55-64	Separated	M	12500
Greater Sydney	55-64	Widowed	F	15692
Greater Sydney	55-64	Widowed	M	3827
Greater Sydney	65-74	Divorced	F	39919
Greater Sydney	65-74	Divorced	M	26590
Greater Sydney	65-74	Married	F	131603
Greater Sydney	65-74	Married	M	146701
Greater Sydney	65-74	Separated	F	8480
Greater Sydney	65-74	Separated	M	8533
Greater Sydney	65-74	Widowed	F	33985
Greater Sydney	65-74	Widowed	M	8246
Greater Sydney	75-84	Divorced	F	17242
Greater Sydney	75-84	Divorced	M	11046
Greater Sydney	75-84	Married	F	58549
Greater Sydney	75-84	Married	M	81697
Greater Sydney	75-84	Separated	F	2596
Greater Sydney	75-84	Separated	M	3491
Greater Sydney	75-84	Widowed	F	49424
Greater Sydney	75-84	Widowed	M	12339
Greater Sydney	85+	Divorced	F	4373
Greater Sydney	85+	Divorced	M	2203
Greater Sydney	85+	Married	F	11405
Greater Sydney	85+	Married	M	23873
Greater Sydney	85+	Separated	F	474
Greater Sydney	85+	Separated	M	667
Greater Sydney	85+	Widowed	F	45954
Greater Sydney	85+	Widowed	M	12240
Rest of NSW	15-19	Divorced	F	18
Rest of NSW	15-19	Divorced	M	19
Rest of NSW	15-19	Married	F	74
Rest of NSW	15-19	Married	M	94
Rest of NSW	15-19	Separated	F	21
Rest of NSW	15-19	Separated	M	23
Rest of NSW	15-19	Widowed	F	30
Rest of NSW	15-19	Widowed	M	31
Rest of NSW	20-24	Divorced	F	66
Rest of NSW	20-24	Divorced	M	46
Rest of NSW	20-24	Married	F	2903
Rest of NSW	20-24	Married	M	1635
Rest of NSW	20-24	Separated	F	248
Rest of NSW	20-24	Separated	M	103
Rest of NSW	20-24	Widowed	F	45
Rest of NSW	20-24	Widowed	M	60
Rest of NSW	25-34	Divorced	F	3738
Rest of NSW	25-34	Divorced	M	2270
Rest of NSW	25-34	Married	F	59268
Rest of NSW	25-34	Married	M	45761
Rest of NSW	25-34	Separated	F	4495
Rest of NSW	25-34	Separated	M	2578
Rest of NSW	25-34	Widowed	F	313
Rest of NSW	25-34	Widowed	M	110
Rest of NSW	35-44	Divorced	F	13153
Rest of NSW	35-44	Divorced	M	9040
Rest of NSW	35-44	Married	F	93171
Rest of NSW	35-44	Married	M	86693
Rest of NSW	35-44	Separated	F	9086
Rest of NSW	35-44	Separated	M	6489
Rest of NSW	35-44	Widowed	F	1077
Rest of NSW	35-44	Widowed	M	354
Rest of NSW	45-54	Divorced	F	27893
Rest of NSW	45-54	Divorced	M	20471
Rest of NSW	45-54	Married	F	99981
Rest of NSW	45-54	Married	M	94697
Rest of NSW	45-54	Separated	F	11108
Rest of NSW	45-54	Separated	M	9284
Rest of NSW	45-54	Widowed	F	3351
Rest of NSW	45-54	Widowed	M	1152
Rest of NSW	55-64	Divorced	F	38384
Rest of NSW	55-64	Divorced	M	30202
Rest of NSW	55-64	Married	F	112627
Rest of NSW	55-64	Married	M	108550
Rest of NSW	55-64	Separated	F	10468
Rest of NSW	55-64	Separated	M	9390
Rest of NSW	55-64	Widowed	F	10264
Rest of NSW	55-64	Widowed	M	3426
Rest of NSW	65-74	Divorced	F	32561
Rest of NSW	65-74	Divorced	M	28199
Rest of NSW	65-74	Married	F	103283
Rest of NSW	65-74	Married	M	111835
Rest of NSW	65-74	Separated	F	6403
Rest of NSW	65-74	Separated	M	7776
Rest of NSW	65-74	Widowed	F	24243
Rest of NSW	65-74	Widowed	M	8223
Rest of NSW	75-84	Divorced	F	13047
Rest of NSW	75-84	Divorced	M	11353
Rest of NSW	75-84	Married	F	49260
Rest of NSW	75-84	Married	M	64782
Rest of NSW	75-84	Separated	F	1882
Rest of NSW	75-84	Separated	M	2878
Rest of NSW	75-84	Widowed	F	38441
Rest of NSW	75-84	Widowed	M	11878
Rest of NSW	85+	Divorced	F	2827
Rest of NSW	85+	Divorced	M	1889
Rest of NSW	85+	Married	F	8575
Rest of NSW	85+	Married	M	16684
Rest of NSW	85+	Separated	F	298
Rest of NSW	85+	Separated	M	491
Rest of NSW	85+	Widowed	F	34863
Rest of NSW	85+	Widowed	M	10036
No usual address (Vic.)	20-24	Married	F	13
No usual address (Vic.)	20-24	Married	M	9
No usual address (Vic.)	25-34	Divorced	F	20
No usual address (Vic.)	25-34	Divorced	M	27
No usual address (Vic.)	25-34	Married	F	119
No usual address (Vic.)	25-34	Married	M	92
No usual address (Vic.)	25-34	Separated	F	58
No usual address (Vic.)	25-34	Separated	M	35
No usual address (Vic.)	25-34	Widowed	F	7
No usual address (Vic.)	35-44	Divorced	F	79
No usual address (Vic.)	35-44	Divorced	M	84
No usual address (Vic.)	35-44	Married	F	166
No usual address (Vic.)	35-44	Married	M	241
No usual address (Vic.)	35-44	Separated	F	60
No usual address (Vic.)	35-44	Separated	M	98
No usual address (Vic.)	35-44	Widowed	F	16
No usual address (Vic.)	45-54	Divorced	F	116
No usual address (Vic.)	45-54	Divorced	M	156
No usual address (Vic.)	45-54	Married	F	103
No usual address (Vic.)	45-54	Married	M	195
No usual address (Vic.)	45-54	Separated	F	65
No usual address (Vic.)	45-54	Separated	M	137
No usual address (Vic.)	45-54	Widowed	F	14
No usual address (Vic.)	45-54	Widowed	M	4
No usual address (Vic.)	55-64	Divorced	F	119
No usual address (Vic.)	55-64	Divorced	M	166
No usual address (Vic.)	55-64	Married	F	157
No usual address (Vic.)	55-64	Married	M	215
No usual address (Vic.)	55-64	Separated	F	39
No usual address (Vic.)	55-64	Separated	M	82
