GCCSA_NAME21	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
No usual address (NSW)	0-14		1	2015	3
No usual address (NSW)	0-14		1	2018	3
No usual address (NSW)	0-14		1	2020	3
No usual address (NSW)	0-14		1	2021	18
No usual address (NSW)	0-14	Speaks English not well or not at all	0	2019	4
No usual address (NSW)	0-14	Speaks English not well or not at all	0	2021	10
No usual address (NSW)	0-14	Speaks English well or very well	0	2019	4
No usual address (NSW)	0-14	Speaks English well or very well	0	2021	10
No usual address (NSW)	15-24		1		3
No usual address (NSW)	15-24		1	2005	12
No usual address (NSW)	15-24		1	2010	13
No usual address (NSW)	15-24		1	2015	8
No usual address (NSW)	15-24		1	2018	6
No usual address (NSW)	15-24		1	2019	13
No usual address (NSW)	15-24		1	2020	10
No usual address (NSW)	15-24		1	2021	5
No usual address (NSW)	15-24	Speaks English not well or not at all	0	2018	4
No usual address (NSW)	15-24	Speaks English well or very well	0	2005	8
No usual address (NSW)	15-24	Speaks English well or very well	0	2010	23
No usual address (NSW)	15-24	Speaks English well or very well	0	2015	3
No usual address (NSW)	15-24	Speaks English well or very well	0	2016	5
No usual address (NSW)	15-24	Speaks English well or very well	0	2017	10
No usual address (NSW)	15-24	Speaks English well or very well	0	2018	8
No usual address (NSW)	15-24	Speaks English well or very well	0	2019	29
No usual address (NSW)	15-24	Speaks English well or very well	0	2020	8
No usual address (NSW)	15-24	Speaks English well or very well	0	2021	3
No usual address (NSW)	25-34				8
No usual address (NSW)	25-34		1		8
No usual address (NSW)	25-34		1	2005	38
No usual address (NSW)	25-34		1	2010	17
No usual address (NSW)	25-34		1	2015	27
No usual address (NSW)	25-34		1	2016	6
No usual address (NSW)	25-34		1	2017	7
No usual address (NSW)	25-34		1	2018	14
No usual address (NSW)	25-34		1	2019	28
No usual address (NSW)	25-34		1	2020	26
No usual address (NSW)	25-34		1	2021	19
No usual address (NSW)	25-34	Speaks English not well or not at all	0	2015	5
No usual address (NSW)	25-34	Speaks English not well or not at all	0	2017	5
No usual address (NSW)	25-34	Speaks English not well or not at all	0	2018	7
No usual address (NSW)	25-34	Speaks English not well or not at all	0	2019	21
No usual address (NSW)	25-34	Speaks English not well or not at all	0	2020	3
No usual address (NSW)	25-34	Speaks English well or very well	0		4
No usual address (NSW)	25-34	Speaks English well or very well	0	2005	20
No usual address (NSW)	25-34	Speaks English well or very well	0	2010	12
No usual address (NSW)	25-34	Speaks English well or very well	0	2015	44
No usual address (NSW)	25-34	Speaks English well or very well	0	2016	15
No usual address (NSW)	25-34	Speaks English well or very well	0	2017	26
No usual address (NSW)	25-34	Speaks English well or very well	0	2018	33
No usual address (NSW)	25-34	Speaks English well or very well	0	2019	92
No usual address (NSW)	25-34	Speaks English well or very well	0	2020	28
No usual address (NSW)	25-34	Speaks English well or very well	0	2021	27
No usual address (NSW)	35-44				12
No usual address (NSW)	35-44		1	2005	59
No usual address (NSW)	35-44		1	2010	26
No usual address (NSW)	35-44		1	2015	13
No usual address (NSW)	35-44		1	2021	11
No usual address (NSW)	35-44	Speaks English not well or not at all	0	2010	4
No usual address (NSW)	35-44	Speaks English not well or not at all	0	2015	10
No usual address (NSW)	35-44	Speaks English not well or not at all	0	2019	5
No usual address (NSW)	35-44	Speaks English not well or not at all	0	2020	6
No usual address (NSW)	35-44	Speaks English well or very well	0		3
No usual address (NSW)	35-44	Speaks English well or very well	0	2005	40
No usual address (NSW)	35-44	Speaks English well or very well	0	2010	25
No usual address (NSW)	35-44	Speaks English well or very well	0	2015	30
No usual address (NSW)	35-44	Speaks English well or very well	0	2016	4
No usual address (NSW)	35-44	Speaks English well or very well	0	2017	4
No usual address (NSW)	35-44	Speaks English well or very well	0	2018	7
No usual address (NSW)	35-44	Speaks English well or very well	0	2019	10
No usual address (NSW)	35-44	Speaks English well or very well	0	2020	4
No usual address (NSW)	35-44	Speaks English well or very well	0	2021	24
No usual address (NSW)	45-54				4
No usual address (NSW)	45-54		1		12
No usual address (NSW)	45-54		1	2005	100
