GCCSA_NAME21	Religion	Denomination	Sex	persons
No usual address (NSW)	(Other)		F	1655
No usual address (NSW)	(Other)		M	2454
No usual address (NSW)	(Other)	(Other)	F	34
No usual address (NSW)	(Other)	(Other)	M	25
No usual address (NSW)	(Other)	Australian Aboriginal Traditional	F	5
No usual address (NSW)	(Other)	Australian Aboriginal Traditional	M	3
No usual address (NSW)	(Other)	Other spiritual beliefs	F	22
No usual address (NSW)	(Other)	Other spiritual beliefs	M	13
No usual address (NSW)	(Other)	Secular beliefs	F	19
No usual address (NSW)	(Other)	Secular beliefs	M	23
No usual address (NSW)	(Other)	Sikhism	F	4
No usual address (NSW)	(Other)	Sikhism	M	3
No usual address (NSW)	Buddhism		F	71
No usual address (NSW)	Buddhism		M	61
No usual address (NSW)	Christianity		F	116
No usual address (NSW)	Christianity		M	107
No usual address (NSW)	Christianity	(Other)	M	3
No usual address (NSW)	Christianity	Anglican	F	411
No usual address (NSW)	Christianity	Anglican	M	488
No usual address (NSW)	Christianity	Baptist	F	41
No usual address (NSW)	Christianity	Baptist	M	51
No usual address (NSW)	Christianity	Catholic	F	555
No usual address (NSW)	Christianity	Catholic	M	658
No usual address (NSW)	Christianity	Churches Of Christ	F	4
No usual address (NSW)	Christianity	Churches Of Christ	M	3
No usual address (NSW)	Christianity	Eastern Orthodox	F	49
No usual address (NSW)	Christianity	Eastern Orthodox	M	52
No usual address (NSW)	Christianity	Jehovah's Witnesses	F	21
No usual address (NSW)	Christianity	Jehovah's Witnesses	M	11
No usual address (NSW)	Christianity	Latter Day Saints	F	7
No usual address (NSW)	Christianity	Latter Day Saints	M	4
No usual address (NSW)	Christianity	Lutheran	F	13
No usual address (NSW)	Christianity	Lutheran	M	15
No usual address (NSW)	Christianity	Oriental Orthodox	F	6
No usual address (NSW)	Christianity	Oriental Orthodox	M	4
No usual address (NSW)	Christianity	Pentecostal	F	38
No usual address (NSW)	Christianity	Pentecostal	M	39
No usual address (NSW)	Christianity	Presbyterian Reformed	F	67
No usual address (NSW)	Christianity	Presbyterian Reformed	M	67
No usual address (NSW)	Christianity	Protestant (Other)	F	4
No usual address (NSW)	Christianity	Protestant (Other)	M	11
No usual address (NSW)	Christianity	Salvation Army	F	18
No usual address (NSW)	Christianity	Salvation Army	M	6
No usual address (NSW)	Christianity	Seventh Day Adventist	F	16
No usual address (NSW)	Christianity	Seventh Day Adventist	M	11
No usual address (NSW)	Christianity	Uniting Church	F	88
No usual address (NSW)	Christianity	Uniting Church	M	89
No usual address (NSW)	Hinduism		F	24
No usual address (NSW)	Hinduism		M	41
No usual address (NSW)	Islam		F	68
No usual address (NSW)	Islam		M	98
No usual address (NSW)	Judaism		F	8
