GCCSA_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Greater Sydney			Couple family with children	787
Greater Sydney			Couple family with no children	816
Greater Sydney			Group household	280
Greater Sydney			Lone-person household	1800
Greater Sydney			One parent family with children	292
Greater Sydney			Other family	46
Greater Sydney	(Other)	Cabin household	Couple family with children	39
Greater Sydney	(Other)	Cabin household	Couple family with no children	172
Greater Sydney	(Other)	Cabin household	Group household	37
Greater Sydney	(Other)	Cabin household	Lone-person household	637
Greater Sydney	(Other)	Cabin household	One parent family with children	85
Greater Sydney	(Other)	Cabin household	Other family	10
Greater Sydney	(Other)	Caravan	Couple family with children	34
Greater Sydney	(Other)	Caravan	Couple family with no children	131
Greater Sydney	(Other)	Caravan	Group household	29
Greater Sydney	(Other)	Caravan	Lone-person household	439
Greater Sydney	(Other)	Caravan	One parent family with children	41
Greater Sydney	(Other)	Caravan	Other family	7
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	Couple family with children	1108
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	1452
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	Group household	832
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	Lone-person household	2345
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	One parent family with children	591
Greater Sydney	(Other)	House or flat attached to a shop, office, etc	Other family	146
Greater Sydney	(Other)	Improvised home, tent sleepers	Couple family with children	15
Greater Sydney	(Other)	Improvised home, tent sleepers	Couple family with no children	18
Greater Sydney	(Other)	Improvised home, tent sleepers	Lone-person household	35
Greater Sydney	(Other)	Improvised home, tent sleepers	One parent family with children	6
Greater Sydney	Flat/apartment		Couple family with children	2498
Greater Sydney	Flat/apartment		Couple family with no children	1893
Greater Sydney	Flat/apartment		Group household	436
Greater Sydney	Flat/apartment		Lone-person household	2459
Greater Sydney	Flat/apartment		One parent family with children	1006
Greater Sydney	Flat/apartment		Other family	132
Greater Sydney	Flat/apartment	1 or 2 storey block	Couple family with children	15948
Greater Sydney	Flat/apartment	1 or 2 storey block	Couple family with no children	20048
Greater Sydney	Flat/apartment	1 or 2 storey block	Group household	6089
Greater Sydney	Flat/apartment	1 or 2 storey block	Lone-person household	41731
Greater Sydney	Flat/apartment	1 or 2 storey block	One parent family with children	8545
Greater Sydney	Flat/apartment	1 or 2 storey block	Other family	1444
Greater Sydney	Flat/apartment	3 storey block	Couple family with children	28024
Greater Sydney	Flat/apartment	3 storey block	Couple family with no children	38104
Greater Sydney	Flat/apartment	3 storey block	Group household	11657
Greater Sydney	Flat/apartment	3 storey block	Lone-person household	59559
Greater Sydney	Flat/apartment	3 storey block	One parent family with children	14770
Greater Sydney	Flat/apartment	3 storey block	Other family	2634
Greater Sydney	Flat/apartment	4-8 storey block	Couple family with children	37105
Greater Sydney	Flat/apartment	4-8 storey block	Couple family with no children	54062
Greater Sydney	Flat/apartment	4-8 storey block	Group household	13101
Greater Sydney	Flat/apartment	4-8 storey block	Lone-person household	64521
Greater Sydney	Flat/apartment	4-8 storey block	One parent family with children	14591
Greater Sydney	Flat/apartment	4-8 storey block	Other family	3021
Greater Sydney	Flat/apartment	9 or more storey block	Couple family with children	20244
Greater Sydney	Flat/apartment	9 or more storey block	Couple family with no children	37668
Greater Sydney	Flat/apartment	9 or more storey block	Group household	11233
Greater Sydney	Flat/apartment	9 or more storey block	Lone-person household	40224
Greater Sydney	Flat/apartment	9 or more storey block	One parent family with children	7014
Greater Sydney	Flat/apartment	9 or more storey block	Other family	2230
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	55229
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	33818
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		Group household	7106
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	35879
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	20756
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.		Other family	1806
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	20627
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	17991
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	3148
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	27852
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	8883
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	903
Greater Sydney	Separate house		Couple family with children	476280
Greater Sydney	Separate house		Couple family with no children	239791
Greater Sydney	Separate house		Group household	22612
Greater Sydney	Separate house		Lone-person household	147223
Greater Sydney	Separate house		One parent family with children	123598
Greater Sydney	Separate house		Other family	11119
Rest of NSW			Couple family with children	574
Rest of NSW			Couple family with no children	825
Rest of NSW			Group household	162
Rest of NSW			Lone-person household	1878
Rest of NSW			One parent family with children	257
Rest of NSW			Other family	33
Rest of NSW	(Other)	Cabin household	Couple family with children	157
Rest of NSW	(Other)	Cabin household	Couple family with no children	1296
Rest of NSW	(Other)	Cabin household	Group household	180
Rest of NSW	(Other)	Cabin household	Lone-person household	3135
Rest of NSW	(Other)	Cabin household	One parent family with children	248
Rest of NSW	(Other)	Cabin household	Other family	49
Rest of NSW	(Other)	Caravan	Couple family with children	129
Rest of NSW	(Other)	Caravan	Couple family with no children	722
Rest of NSW	(Other)	Caravan	Group household	101
Rest of NSW	(Other)	Caravan	Lone-person household	1945
Rest of NSW	(Other)	Caravan	One parent family with children	132
Rest of NSW	(Other)	Caravan	Other family	17
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	Couple family with children	449
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	626
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	Group household	187
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	Lone-person household	1028
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	One parent family with children	254
Rest of NSW	(Other)	House or flat attached to a shop, office, etc	Other family	43
