GCCSA_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
No usual address (NSW)				3748
No usual address (NSW)		0	0	44
No usual address (NSW)		0	1	5
No usual address (NSW)		1	0	4
No usual address (NSW)		1	1	47
No usual address (NSW)	Australian			52
No usual address (NSW)	Australian		1	2300
No usual address (NSW)	Australian	0	0	84
No usual address (NSW)	Australian	0	1	252
No usual address (NSW)	Australian	1	0	196
No usual address (NSW)	Australian Aboriginal			19
No usual address (NSW)	Australian Aboriginal	0	0	3
No usual address (NSW)	Australian Aboriginal	0	1	23
No usual address (NSW)	Australian Aboriginal	1	0	14
No usual address (NSW)	Australian Aboriginal	1	1	608
No usual address (NSW)	Chinese			5
No usual address (NSW)	Chinese	0	0	227
No usual address (NSW)	Chinese	0	1	5
No usual address (NSW)	Chinese	1	0	10
No usual address (NSW)	Chinese	1	1	18
No usual address (NSW)	Croatian	0	0	15
No usual address (NSW)	Croatian	0	1	11
No usual address (NSW)	Croatian	1	1	12
No usual address (NSW)	Dutch			4
No usual address (NSW)	Dutch	0	0	75
No usual address (NSW)	Dutch	0	1	10
No usual address (NSW)	Dutch	1	0	8
No usual address (NSW)	Dutch	1	1	26
No usual address (NSW)	English			53
No usual address (NSW)	English	0	0	551
No usual address (NSW)	English	0	1	245
No usual address (NSW)	English	1	0	174
No usual address (NSW)	English	1	1	1690
No usual address (NSW)	Filipino	0	0	60
No usual address (NSW)	Filipino	0	1	3
No usual address (NSW)	Filipino	1	0	20
No usual address (NSW)	French	0	0	64
No usual address (NSW)	French	0	1	7
No usual address (NSW)	French	1	1	12
No usual address (NSW)	German	0	0	90
No usual address (NSW)	German	0	1	24
No usual address (NSW)	German	1	0	16
No usual address (NSW)	German	1	1	177
No usual address (NSW)	Greek			5
No usual address (NSW)	Greek	0	0	38
No usual address (NSW)	Greek	0	1	13
No usual address (NSW)	Greek	1	0	3
No usual address (NSW)	Greek	1	1	21
No usual address (NSW)	Hungarian	0	0	21
No usual address (NSW)	Hungarian	0	1	4
No usual address (NSW)	Hungarian	1	0	4
No usual address (NSW)	Hungarian	1	1	5
No usual address (NSW)	Indian	0	0	78
No usual address (NSW)	Indian	0	1	3
No usual address (NSW)	Irish			8
No usual address (NSW)	Irish	0	0	145
No usual address (NSW)	Irish	0	1	56
No usual address (NSW)	Irish	1	0	27
No usual address (NSW)	Irish	1	1	583
No usual address (NSW)	Italian			3
No usual address (NSW)	Italian	0	0	89
No usual address (NSW)	Italian	0	1	34
No usual address (NSW)	Italian	1	0	9
No usual address (NSW)	Italian	1	1	97
No usual address (NSW)	Korean	0	0	22
No usual address (NSW)	Lebanese	0	0	50
No usual address (NSW)	Lebanese	0	1	10
No usual address (NSW)	Lebanese	1	0	6
No usual address (NSW)	Lebanese	1	1	6
No usual address (NSW)	Macedonian	0	0	12
No usual address (NSW)	Macedonian	0	1	3
No usual address (NSW)	Macedonian	1	1	9
No usual address (NSW)	Maltese			4
No usual address (NSW)	Maltese	0	0	7
No usual address (NSW)	Maltese	0	1	8
No usual address (NSW)	Maltese	1	0	6
No usual address (NSW)	Maltese	1	1	19
No usual address (NSW)	Maori	0	0	40
No usual address (NSW)	Maori	0	1	6
No usual address (NSW)	Maori	1	0	5
No usual address (NSW)	Maori	1	1	7
No usual address (NSW)	NZ	0	0	37
No usual address (NSW)	NZ	0	1	3
No usual address (NSW)	NZ	1	0	18
No usual address (NSW)	NZ	1	1	12
No usual address (NSW)	(Other)			18
No usual address (NSW)	(Other)	0	0	660
No usual address (NSW)	(Other)	0	1	74
No usual address (NSW)	(Other)	1	0	47
No usual address (NSW)	(Other)	1	1	134
No usual address (NSW)	Polish	0	0	33
No usual address (NSW)	Polish	0	1	4
No usual address (NSW)	Polish	1	1	17
No usual address (NSW)	Russian	0	0	14
No usual address (NSW)	Russian	0	1	4
No usual address (NSW)	Russian	1	0	3
No usual address (NSW)	Russian	1	1	10
No usual address (NSW)	Samoan	0	0	25
No usual address (NSW)	Samoan	1	0	3
No usual address (NSW)	Samoan	1	1	4
No usual address (NSW)	Scottish			9
No usual address (NSW)	Scottish	0	0	136
No usual address (NSW)	Scottish	0	1	70
No usual address (NSW)	Scottish	1	0	52
No usual address (NSW)	Scottish	1	1	480
No usual address (NSW)	Serbian	0	0	15
No usual address (NSW)	South African	0	0	24
No usual address (NSW)	South African	0	1	3
No usual address (NSW)	South African	1	1	5
No usual address (NSW)	Spanish	0	0	34
No usual address (NSW)	Spanish	0	1	3
No usual address (NSW)	Spanish	1	1	9
No usual address (NSW)	Sri Lankan	0	0	8
No usual address (NSW)	Vietnamese	0	0	50
No usual address (NSW)	Welsh	0	0	21
No usual address (NSW)	Welsh	0	1	10
No usual address (NSW)	Welsh	1	0	4
No usual address (NSW)	Welsh	1	1	22
Greater Sydney				245886
Greater Sydney		0	0	46123
Greater Sydney		0	1	3096
Greater Sydney		1	0	2286
Greater Sydney		1	1	12941
Greater Sydney	Australian			8772
Greater Sydney	Australian		1	783384
Greater Sydney	Australian	0	0	89579
Greater Sydney	Australian	0	1	162965
Greater Sydney	Australian	1	0	122933
Greater Sydney	Australian Aboriginal			1053
Greater Sydney	Australian Aboriginal	0	0	1506
Greater Sydney	Australian Aboriginal	0	1	6105
Greater Sydney	Australian Aboriginal	1	0	3177
Greater Sydney	Australian Aboriginal	1	1	74353
Greater Sydney	Chinese			3268
Greater Sydney	Chinese	0	0	512111
Greater Sydney	Chinese	0	1	8795
Greater Sydney	Chinese	1	0	15514
Greater Sydney	Chinese	1	1	12996
Greater Sydney	Croatian			275
Greater Sydney	Croatian	0	0	27022
Greater Sydney	Croatian	0	1	4257
Greater Sydney	Croatian	1	0	2586
