SA2_NAME16	IndigenousStatus	persons
Braidwood	Aboriginal	107
Braidwood	Non-indigenous	4236
Karabar	Aboriginal	584
Karabar	Both Aboriginal & Torres Strait Islander	16
Karabar	Non-indigenous	7902
Karabar	Torres Strait Islander	15
Queanbeyan	Aboriginal	379
Queanbeyan	Both Aboriginal & Torres Strait Islander	11
Queanbeyan	Non-indigenous	10948
Queanbeyan	Torres Strait Islander	4
Queanbeyan - East	Aboriginal	156
Queanbeyan - East	Both Aboriginal & Torres Strait Islander	3
Queanbeyan - East	Non-indigenous	4919
Queanbeyan - East	Torres Strait Islander	7
Queanbeyan West - Jerrabomberra	Aboriginal	336
Queanbeyan West - Jerrabomberra	Both Aboriginal & Torres Strait Islander	9
Queanbeyan West - Jerrabomberra	Non-indigenous	12392
Queanbeyan West - Jerrabomberra	Torres Strait Islander	7
Googong	Aboriginal	138
Googong	Non-indigenous	6083
Googong	Torres Strait Islander	3
Queanbeyan Surrounds	Aboriginal	447
Queanbeyan Surrounds	Both Aboriginal & Torres Strait Islander	11
Queanbeyan Surrounds	Non-indigenous	16078
Queanbeyan Surrounds	Torres Strait Islander	3
Bombala	Aboriginal	80
Bombala	Both Aboriginal & Torres Strait Islander	7
Bombala	Non-indigenous	2367
Cooma	Aboriginal	287
Cooma	Both Aboriginal & Torres Strait Islander	5
Cooma	Non-indigenous	6456
Cooma	Torres Strait Islander	13
Cooma Surrounds	Aboriginal	115
Cooma Surrounds	Non-indigenous	3351
Cooma Surrounds	Torres Strait Islander	6
Jindabyne - Berridale	Aboriginal	115
Jindabyne - Berridale	Non-indigenous	7911
Jindabyne - Berridale	Torres Strait Islander	9
Batemans Bay	Aboriginal	685
Batemans Bay	Both Aboriginal & Torres Strait Islander	23
Batemans Bay	Non-indigenous	7862
Batemans Bay	Torres Strait Islander	11
Batemans Bay - South	Aboriginal	492
Batemans Bay - South	Both Aboriginal & Torres Strait Islander	5
Batemans Bay - South	Non-indigenous	8438
Batemans Bay - South	Torres Strait Islander	3
Bega - Tathra	Aboriginal	402
Bega - Tathra	Both Aboriginal & Torres Strait Islander	3
Bega - Tathra	Non-indigenous	8461
Bega - Tathra	Torres Strait Islander	6
Bega-Eden Hinterland	Aboriginal	349
Bega-Eden Hinterland	Both Aboriginal & Torres Strait Islander	9
Bega-Eden Hinterland	Non-indigenous	9191
Bega-Eden Hinterland	Torres Strait Islander	8
Broulee - Tomakin	Aboriginal	146
Broulee - Tomakin	Both Aboriginal & Torres Strait Islander	5
Broulee - Tomakin	Non-indigenous	3637
Broulee - Tomakin	Torres Strait Islander	4
Deua - Wadbilliga	Aboriginal	4
Deua - Wadbilliga	Non-indigenous	39
Eden	Aboriginal	271
Eden	Both Aboriginal & Torres Strait Islander	7
Eden	Non-indigenous	3147
Eurobodalla Hinterland	Aboriginal	242
Eurobodalla Hinterland	Both Aboriginal & Torres Strait Islander	5
Eurobodalla Hinterland	Non-indigenous	3278
Merimbula - Tura Beach	Aboriginal	255
Merimbula - Tura Beach	Both Aboriginal & Torres Strait Islander	3
Merimbula - Tura Beach	Non-indigenous	11249
Merimbula - Tura Beach	Torres Strait Islander	6
Moruya - Tuross Head	Aboriginal	428
Moruya - Tuross Head	Both Aboriginal & Torres Strait Islander	5
Moruya - Tuross Head	Non-indigenous	8167
Narooma - Bermagui	Aboriginal	505
Narooma - Bermagui	Both Aboriginal & Torres Strait Islander	9
Narooma - Bermagui	Non-indigenous	9371
Narooma - Bermagui	Torres Strait Islander	3
Goulburn	Aboriginal	1262
Goulburn	Both Aboriginal & Torres Strait Islander	8
Goulburn	Non-indigenous	23253
Goulburn	Torres Strait Islander	42
Goulburn Surrounds	Aboriginal	492
Goulburn Surrounds	Non-indigenous	13329
Goulburn Surrounds	Torres Strait Islander	18
Yass	Aboriginal	343
Yass	Both Aboriginal & Torres Strait Islander	5
Yass	Non-indigenous	6408
Yass	Torres Strait Islander	7
Yass Surrounds	Aboriginal	260
Yass Surrounds	Non-indigenous	12444
Yass Surrounds	Torres Strait Islander	9
Young	Aboriginal	564
Young	Both Aboriginal & Torres Strait Islander	5
Young	Non-indigenous	10430
Young	Torres Strait Islander	5
Young Surrounds	Aboriginal	379
Young Surrounds	Both Aboriginal & Torres Strait Islander	7
Young Surrounds	Non-indigenous	7288
Young Surrounds	Torres Strait Islander	3
Avoca Beach - Copacabana	Aboriginal	172
Avoca Beach - Copacabana	Both Aboriginal & Torres Strait Islander	3
Avoca Beach - Copacabana	Non-indigenous	7334
Avoca Beach - Copacabana	Torres Strait Islander	4
Box Head - MacMasters Beach	Aboriginal	301
Box Head - MacMasters Beach	Non-indigenous	10726
Box Head - MacMasters Beach	Torres Strait Islander	15
Calga - Kulnura	Aboriginal	149
Calga - Kulnura	Non-indigenous	4563
Calga - Kulnura	Torres Strait Islander	4
Erina - Green Point	Aboriginal	373
Erina - Green Point	Both Aboriginal & Torres Strait Islander	6
Erina - Green Point	Non-indigenous	14369
Erina - Green Point	Torres Strait Islander	10
Gosford - Springfield	Aboriginal	739
Gosford - Springfield	Both Aboriginal & Torres Strait Islander	14
Gosford - Springfield	Non-indigenous	20440
Gosford - Springfield	Torres Strait Islander	11
Kariong	Aboriginal	260
Kariong	Both Aboriginal & Torres Strait Islander	7
Kariong	Non-indigenous	6214
Kariong	Torres Strait Islander	4
Kincumber - Picketts Valley	Aboriginal	263
Kincumber - Picketts Valley	Both Aboriginal & Torres Strait Islander	8
Kincumber - Picketts Valley	Non-indigenous	7336
Kincumber - Picketts Valley	Torres Strait Islander	8
Narara	Aboriginal	307
Narara	Both Aboriginal & Torres Strait Islander	6
Narara	Non-indigenous	6838
Narara	Torres Strait Islander	6
Niagara Park - Lisarow	Aboriginal	312
Niagara Park - Lisarow	Both Aboriginal & Torres Strait Islander	3
Niagara Park - Lisarow	Non-indigenous	7887
Niagara Park - Lisarow	Torres Strait Islander	3
Point Clare - Koolewong	Aboriginal	160
Point Clare - Koolewong	Non-indigenous	6411
Saratoga - Davistown	Aboriginal	223
Saratoga - Davistown	Both Aboriginal & Torres Strait Islander	3
Saratoga - Davistown	Non-indigenous	6931
Saratoga - Davistown	Torres Strait Islander	3
Terrigal - North Avoca	Aboriginal	271
Terrigal - North Avoca	Both Aboriginal & Torres Strait Islander	9
Terrigal - North Avoca	Non-indigenous	14563
Terrigal - North Avoca	Torres Strait Islander	6
Umina - Booker Bay - Patonga	Aboriginal	1047
Umina - Booker Bay - Patonga	Both Aboriginal & Torres Strait Islander	19
Umina - Booker Bay - Patonga	Non-indigenous	23628
Umina - Booker Bay - Patonga	Torres Strait Islander	3
Wamberal - Forresters Beach	Aboriginal	276
Wamberal - Forresters Beach	Non-indigenous	10391
Wamberal - Forresters Beach	Torres Strait Islander	8
Woy Woy - Blackwall	Aboriginal	739
Woy Woy - Blackwall	Both Aboriginal & Torres Strait Islander	5
Woy Woy - Blackwall	Non-indigenous	13597
Woy Woy - Blackwall	Torres Strait Islander	5
Wyoming	Aboriginal	514
Wyoming	Both Aboriginal & Torres Strait Islander	16
Wyoming	Non-indigenous	10876
Wyoming	Torres Strait Islander	17
Bateau Bay - Killarney Vale	Aboriginal	1232
Bateau Bay - Killarney Vale	Both Aboriginal & Torres Strait Islander	13
Bateau Bay - Killarney Vale	Non-indigenous	21555
Bateau Bay - Killarney Vale	Torres Strait Islander	25
Blue Haven - San Remo	Aboriginal	1096
Blue Haven - San Remo	Both Aboriginal & Torres Strait Islander	11
Blue Haven - San Remo	Non-indigenous	10151
Blue Haven - San Remo	Torres Strait Islander	32
Budgewoi - Buff Point - Halekulani	Aboriginal	677
Budgewoi - Buff Point - Halekulani	Both Aboriginal & Torres Strait Islander	13
Budgewoi - Buff Point - Halekulani	Non-indigenous	9027
Budgewoi - Buff Point - Halekulani	Torres Strait Islander	11
Chittaway Bay - Tumbi Umbi	Aboriginal	763
Chittaway Bay - Tumbi Umbi	Both Aboriginal & Torres Strait Islander	19
Chittaway Bay - Tumbi Umbi	Non-indigenous	15212
Chittaway Bay - Tumbi Umbi	Torres Strait Islander	12
Gorokan - Kanwal - Charmhaven	Aboriginal	1628
Gorokan - Kanwal - Charmhaven	Both Aboriginal & Torres Strait Islander	20
