SA2_NAME16	Ancestry	responses
Braidwood		377
Braidwood	Australian	1698
Braidwood	Australian Aboriginal	125
Braidwood	Chinese	27
Braidwood	Croatian	9
Braidwood	Dutch	75
Braidwood	English	1835
Braidwood	Filipino	21
Braidwood	French	47
Braidwood	German	189
Braidwood	Greek	21
Braidwood	Hungarian	17
Braidwood	Indian	17
Braidwood	Irish	667
Braidwood	Italian	82
Braidwood	Lebanese	12
Braidwood	Maltese	17
Braidwood	Maori	15
Braidwood	NZ	31
Braidwood	(Other)	281
Braidwood	Polish	25
Braidwood	Russian	8
Braidwood	Scottish	571
Braidwood	Serbian	19
Braidwood	South African	6
Braidwood	Spanish	17
Braidwood	Welsh	44
Karabar		555
Karabar	Australian	3186
Karabar	Australian Aboriginal	568
Karabar	Chinese	111
Karabar	Croatian	143
Karabar	Dutch	96
Karabar	English	2722
Karabar	Filipino	114
Karabar	French	35
Karabar	German	347
Karabar	Greek	76
Karabar	Hungarian	53
Karabar	Indian	113
Karabar	Irish	888
Karabar	Italian	441
Karabar	Korean	12
Karabar	Lebanese	20
Karabar	Macedonian	358
Karabar	Maltese	68
Karabar	Maori	87
Karabar	NZ	65
Karabar	(Other)	834
Karabar	Polish	81
Karabar	Russian	43
Karabar	Samoan	42
Karabar	Scottish	769
Karabar	Serbian	100
Karabar	South African	11
Karabar	Spanish	31
Karabar	Sri Lankan	9
Karabar	Vietnamese	39
Karabar	Welsh	61
Queanbeyan		674
Queanbeyan	Australian	3586
Queanbeyan	Australian Aboriginal	395
Queanbeyan	Chinese	185
Queanbeyan	Croatian	132
Queanbeyan	Dutch	179
Queanbeyan	English	3497
Queanbeyan	Filipino	265
Queanbeyan	French	45
Queanbeyan	German	486
Queanbeyan	Greek	168
Queanbeyan	Hungarian	46
Queanbeyan	Indian	380
Queanbeyan	Irish	1220
Queanbeyan	Italian	437
Queanbeyan	Korean	31
Queanbeyan	Lebanese	21
Queanbeyan	Macedonian	305
Queanbeyan	Maltese	90
Queanbeyan	Maori	117
Queanbeyan	NZ	62
Queanbeyan	(Other)	1954
Queanbeyan	Polish	101
Queanbeyan	Russian	48
Queanbeyan	Samoan	43
Queanbeyan	Scottish	987
Queanbeyan	Serbian	106
Queanbeyan	South African	17
Queanbeyan	Spanish	31
Queanbeyan	Sri Lankan	5
Queanbeyan	Vietnamese	33
Queanbeyan	Welsh	65
Queanbeyan - East		260
Queanbeyan - East	Australian	1675
Queanbeyan - East	Australian Aboriginal	160
Queanbeyan - East	Chinese	69
Queanbeyan - East	Croatian	79
Queanbeyan - East	Dutch	69
Queanbeyan - East	English	1800
Queanbeyan - East	Filipino	107
Queanbeyan - East	French	24
Queanbeyan - East	German	228
Queanbeyan - East	Greek	49
Queanbeyan - East	Hungarian	14
Queanbeyan - East	Indian	205
Queanbeyan - East	Irish	591
Queanbeyan - East	Italian	169
Queanbeyan - East	Korean	9
Queanbeyan - East	Lebanese	17
Queanbeyan - East	Macedonian	113
Queanbeyan - East	Maltese	51
Queanbeyan - East	Maori	27
Queanbeyan - East	NZ	39
Queanbeyan - East	(Other)	791
Queanbeyan - East	Polish	49
Queanbeyan - East	Russian	24
Queanbeyan - East	Samoan	13
Queanbeyan - East	Scottish	484
Queanbeyan - East	Serbian	30
Queanbeyan - East	South African	5
Queanbeyan - East	Spanish	24
Queanbeyan - East	Sri Lankan	9
Queanbeyan - East	Vietnamese	12
Queanbeyan - East	Welsh	27
Queanbeyan West - Jerrabomberra		473
Queanbeyan West - Jerrabomberra	Australian	5001
Queanbeyan West - Jerrabomberra	Australian Aboriginal	331
Queanbeyan West - Jerrabomberra	Chinese	231
Queanbeyan West - Jerrabomberra	Croatian	169
Queanbeyan West - Jerrabomberra	Dutch	244
Queanbeyan West - Jerrabomberra	English	4549
Queanbeyan West - Jerrabomberra	Filipino	129
Queanbeyan West - Jerrabomberra	French	70
Queanbeyan West - Jerrabomberra	German	579
Queanbeyan West - Jerrabomberra	Greek	178
Queanbeyan West - Jerrabomberra	Hungarian	64
Queanbeyan West - Jerrabomberra	Indian	222
Queanbeyan West - Jerrabomberra	Irish	1554
Queanbeyan West - Jerrabomberra	Italian	686
Queanbeyan West - Jerrabomberra	Korean	12
Queanbeyan West - Jerrabomberra	Lebanese	36
Queanbeyan West - Jerrabomberra	Macedonian	318
Queanbeyan West - Jerrabomberra	Maltese	115
Queanbeyan West - Jerrabomberra	Maori	84
Queanbeyan West - Jerrabomberra	NZ	91
Queanbeyan West - Jerrabomberra	(Other)	1289
Queanbeyan West - Jerrabomberra	Polish	151
Queanbeyan West - Jerrabomberra	Russian	71
Queanbeyan West - Jerrabomberra	Samoan	28
