SA2_NAME21	AustCitizen	persons
Braidwood	0	492
Braidwood	1	3851
Karabar	0	933
Karabar	1	7584
Queanbeyan	0	2153
Queanbeyan	1	9189
Queanbeyan - East	0	839
Queanbeyan - East	1	4246
Queanbeyan West - Jerrabomberra	0	895
Queanbeyan West - Jerrabomberra	1	11849
Googong	0	513
Googong	1	5711
Queanbeyan Surrounds	0	1244
Queanbeyan Surrounds	1	15295
Bombala	0	282
Bombala	1	2172
Cooma	0	1021
Cooma	1	5740
Cooma Surrounds	0	402
Cooma Surrounds	1	3070
Jindabyne - Berridale	0	1054
Jindabyne - Berridale	1	6981
Batemans Bay	0	886
Batemans Bay	1	7695
Batemans Bay - South	0	967
Batemans Bay - South	1	7971
Bega - Tathra	0	858
Bega - Tathra	1	8014
Bega-Eden Hinterland	0	928
Bega-Eden Hinterland	1	8629
Broulee - Tomakin	0	276
Broulee - Tomakin	1	3516
Deua - Wadbilliga	0	7
Deua - Wadbilliga	1	36
Eden	0	420
Eden	1	3005
Eurobodalla Hinterland	0	402
Eurobodalla Hinterland	1	3123
Merimbula - Tura Beach	0	1030
Merimbula - Tura Beach	1	10483
Moruya - Tuross Head	0	930
Moruya - Tuross Head	1	7670
Narooma - Bermagui	0	1045
Narooma - Bermagui	1	8843
Goulburn	0	2979
Goulburn	1	21586
Goulburn Surrounds	0	1447
Goulburn Surrounds	1	12392
Yass	0	506
Yass	1	6257
Yass Surrounds	0	966
Yass Surrounds	1	11747
Young	0	1093
Young	1	9911
Young Surrounds	0	832
Young Surrounds	1	6845
Avoca Beach - Copacabana	0	623
Avoca Beach - Copacabana	1	6890
Box Head - MacMasters Beach	0	855
Box Head - MacMasters Beach	1	10187
Calga - Kulnura	0	616
Calga - Kulnura	1	4100
Erina - Green Point	0	1487
Erina - Green Point	1	13271
Gosford - Springfield	0	3517
Gosford - Springfield	1	17687
Kariong	0	569
Kariong	1	5916
Kincumber - Picketts Valley	0	669
Kincumber - Picketts Valley	1	6946
Narara	0	599
Narara	1	6558
Niagara Park - Lisarow	0	604
Niagara Park - Lisarow	1	7601
Point Clare - Koolewong	0	680
Point Clare - Koolewong	1	5891
Saratoga - Davistown	0	498
Saratoga - Davistown	1	6662
Terrigal - North Avoca	0	1599
Terrigal - North Avoca	1	13250
Umina - Booker Bay - Patonga	0	2755
Umina - Booker Bay - Patonga	1	21942
