SA3_NAME16	Ancestry	responses
Queanbeyan		3527
Queanbeyan	Australian	24738
Queanbeyan	Australian Aboriginal	2181
Queanbeyan	Chinese	852
Queanbeyan	Croatian	779
Queanbeyan	Dutch	1096
Queanbeyan	English	23232
Queanbeyan	Filipino	819
Queanbeyan	French	377
Queanbeyan	German	2927
Queanbeyan	Greek	657
Queanbeyan	Hungarian	299
Queanbeyan	Indian	1352
Queanbeyan	Irish	7772
Queanbeyan	Italian	2742
Queanbeyan	Korean	95
Queanbeyan	Lebanese	179
Queanbeyan	Macedonian	1337
Queanbeyan	Maltese	486
Queanbeyan	Maori	387
Queanbeyan	NZ	447
Queanbeyan	(Other)	7051
Queanbeyan	Polish	634
Queanbeyan	Russian	243
Queanbeyan	Samoan	158
Queanbeyan	Scottish	6760
Queanbeyan	Serbian	554
Queanbeyan	South African	234
Queanbeyan	Spanish	280
Queanbeyan	Sri Lankan	89
Queanbeyan	Vietnamese	135
Queanbeyan	Welsh	463
Snowy Mountains		1745
Snowy Mountains	Australian	8239
Snowy Mountains	Australian Aboriginal	536
Snowy Mountains	Chinese	237
Snowy Mountains	Croatian	73
Snowy Mountains	Dutch	360
Snowy Mountains	English	8240
Snowy Mountains	Filipino	79
Snowy Mountains	French	144
Snowy Mountains	German	1101
Snowy Mountains	Greek	118
Snowy Mountains	Hungarian	99
Snowy Mountains	Indian	86
Snowy Mountains	Irish	2628
Snowy Mountains	Italian	575
Snowy Mountains	Korean	26
Snowy Mountains	Lebanese	101
Snowy Mountains	Macedonian	17
Snowy Mountains	Maltese	74
Snowy Mountains	Maori	83
Snowy Mountains	NZ	132
Snowy Mountains	(Other)	1513
Snowy Mountains	Polish	141
Snowy Mountains	Russian	86
Snowy Mountains	Samoan	13
Snowy Mountains	Scottish	2613
Snowy Mountains	Serbian	53
Snowy Mountains	South African	49
Snowy Mountains	Spanish	58
Snowy Mountains	Sri Lankan	15
Snowy Mountains	Vietnamese	19
Snowy Mountains	Welsh	140
South Coast		5553
South Coast	Australian	30089
South Coast	Australian Aboriginal	3643
South Coast	Chinese	473
South Coast	Croatian	356
South Coast	Dutch	1453
South Coast	English	33250
South Coast	Filipino	388
South Coast	French	426
South Coast	German	3657
South Coast	Greek	360
South Coast	Hungarian	226
South Coast	Indian	297
South Coast	Irish	10075
South Coast	Italian	1582
South Coast	Korean	31
South Coast	Lebanese	107
South Coast	Macedonian	38
South Coast	Maltese	375
South Coast	Maori	245
South Coast	NZ	458
South Coast	(Other)	3871
South Coast	Polish	492
South Coast	Russian	233
South Coast	Samoan	42
South Coast	Scottish	8773
South Coast	Serbian	93
South Coast	South African	189
South Coast	Spanish	201
South Coast	Sri Lankan	52
South Coast	Vietnamese	94
South Coast	Welsh	543
Goulburn - Mulwaree		3214
Goulburn - Mulwaree	Australian	16020
Goulburn - Mulwaree	Australian Aboriginal	1590
Goulburn - Mulwaree	Chinese	396
Goulburn - Mulwaree	Croatian	93
Goulburn - Mulwaree	Dutch	420
Goulburn - Mulwaree	English	15842
Goulburn - Mulwaree	Filipino	293
Goulburn - Mulwaree	French	167
Goulburn - Mulwaree	German	1337
Goulburn - Mulwaree	Greek	268
Goulburn - Mulwaree	Hungarian	84
Goulburn - Mulwaree	Indian	280
Goulburn - Mulwaree	Irish	5212
Goulburn - Mulwaree	Italian	666
Goulburn - Mulwaree	Korean	62
Goulburn - Mulwaree	Lebanese	118
Goulburn - Mulwaree	Macedonian	31
Goulburn - Mulwaree	Maltese	275
Goulburn - Mulwaree	Maori	109
Goulburn - Mulwaree	NZ	179
Goulburn - Mulwaree	(Other)	2082
Goulburn - Mulwaree	Polish	172
Goulburn - Mulwaree	Russian	71
Goulburn - Mulwaree	Samoan	35
Goulburn - Mulwaree	Scottish	3926
Goulburn - Mulwaree	Serbian	37
Goulburn - Mulwaree	South African	57
Goulburn - Mulwaree	Spanish	122
Goulburn - Mulwaree	Sri Lankan	20
Goulburn - Mulwaree	Vietnamese	41
Goulburn - Mulwaree	Welsh	232
Young - Yass		2504
Young - Yass	Australian	16907
Young - Yass	Australian Aboriginal	1502
Young - Yass	Chinese	295
Young - Yass	Croatian	209
Young - Yass	Dutch	539
Young - Yass	English	15990
Young - Yass	Filipino	217
Young - Yass	French	158
Young - Yass	German	1483
Young - Yass	Greek	158
Young - Yass	Hungarian	84
Young - Yass	Indian	158
Young - Yass	Irish	5360
Young - Yass	Italian	657
Young - Yass	Korean	26
Young - Yass	Lebanese	332
Young - Yass	Macedonian	23
Young - Yass	Maltese	167
Young - Yass	Maori	89
Young - Yass	NZ	230
Young - Yass	(Other)	1867
Young - Yass	Polish	198
Young - Yass	Russian	57
Young - Yass	Samoan	41
Young - Yass	Scottish	4143
Young - Yass	Serbian	97
Young - Yass	South African	92
Young - Yass	Spanish	77
Young - Yass	Sri Lankan	38
Young - Yass	Vietnamese	47
Young - Yass	Welsh	216
Gosford		9254
Gosford	Australian	67870
Gosford	Australian Aboriginal	6083
Gosford	Chinese	3265
Gosford	Croatian	823
Gosford	Dutch	2862
Gosford	English	76735
Gosford	Filipino	1956
Gosford	French	1352
Gosford	German	6101
Gosford	Greek	1496
Gosford	Hungarian	630
Gosford	Indian	1837
Gosford	Irish	22862
Gosford	Italian	5188
Gosford	Korean	774
Gosford	Lebanese	647
Gosford	Macedonian	88
Gosford	Maltese	1644
Gosford	Maori	1079
Gosford	NZ	1849
Gosford	(Other)	14988
Gosford	Polish	1323
Gosford	Russian	941
Gosford	Samoan	211
Gosford	Scottish	19620
Gosford	Serbian	303
Gosford	South African	1236
Gosford	Spanish	988
Gosford	Sri Lankan	249
Gosford	Vietnamese	346
Gosford	Welsh	1617
Wyong		10183
Wyong	Australian	70416
Wyong	Australian Aboriginal	10215
Wyong	Chinese	1860
Wyong	Croatian	640
Wyong	Dutch	2261
Wyong	English	71010
Wyong	Filipino	1733
Wyong	French	941
Wyong	German	5301
Wyong	Greek	1162
Wyong	Hungarian	412
Wyong	Indian	1546
Wyong	Irish	18897
Wyong	Italian	4556
Wyong	Korean	324
Wyong	Lebanese	539
Wyong	Macedonian	116
Wyong	Maltese	2292
Wyong	Maori	1334
Wyong	NZ	1509
Wyong	(Other)	10498
Wyong	Polish	909
Wyong	Russian	485
Wyong	Samoan	311
Wyong	Scottish	16736
Wyong	Serbian	301
Wyong	South African	576
Wyong	Spanish	776
Wyong	Sri Lankan	137
Wyong	Vietnamese	271
Wyong	Welsh	1092
Bathurst		3951
Bathurst	Australian	20482
Bathurst	Australian Aboriginal	3016
Bathurst	Chinese	436
Bathurst	Croatian	161
Bathurst	Dutch	698
Bathurst	English	20029
Bathurst	Filipino	365
Bathurst	French	224
Bathurst	German	1652
Bathurst	Greek	208
Bathurst	Hungarian	107
Bathurst	Indian	391
Bathurst	Irish	7038
Bathurst	Italian	913
Bathurst	Korean	41
Bathurst	Lebanese	212
Bathurst	Macedonian	18
Bathurst	Maltese	282
Bathurst	Maori	200
Bathurst	NZ	271
