SA3_NAME16	IndigenousStatus	persons
Queanbeyan	Aboriginal	2156
Queanbeyan	Both Aboriginal & Torres Strait Islander	46
Queanbeyan	Non-indigenous	62554
Queanbeyan	Torres Strait Islander	37
Snowy Mountains	Aboriginal	593
Snowy Mountains	Both Aboriginal & Torres Strait Islander	7
Snowy Mountains	Non-indigenous	20091
Snowy Mountains	Torres Strait Islander	26
South Coast	Aboriginal	3762
South Coast	Both Aboriginal & Torres Strait Islander	58
South Coast	Non-indigenous	72876
South Coast	Torres Strait Islander	40
Goulburn - Mulwaree	Aboriginal	1745
Goulburn - Mulwaree	Both Aboriginal & Torres Strait Islander	11
Goulburn - Mulwaree	Non-indigenous	36588
Goulburn - Mulwaree	Torres Strait Islander	59
Young - Yass	Aboriginal	1546
Young - Yass	Both Aboriginal & Torres Strait Islander	18
Young - Yass	Non-indigenous	36570
Young - Yass	Torres Strait Islander	25
Gosford	Aboriginal	6111
Gosford	Both Aboriginal & Torres Strait Islander	95
Gosford	Non-indigenous	172109
Gosford	Torres Strait Islander	112
Wyong	Aboriginal	10340
Wyong	Both Aboriginal & Torres Strait Islander	185
Wyong	Non-indigenous	157448
Wyong	Torres Strait Islander	198
Bathurst	Aboriginal	3270
Bathurst	Both Aboriginal & Torres Strait Islander	90
Bathurst	Non-indigenous	45730
Bathurst	Torres Strait Islander	56
Lachlan Valley	Aboriginal	5880
Lachlan Valley	Both Aboriginal & Torres Strait Islander	77
Lachlan Valley	Non-indigenous	48662
Lachlan Valley	Torres Strait Islander	65
Lithgow - Mudgee	Aboriginal	3358
Lithgow - Mudgee	Both Aboriginal & Torres Strait Islander	66
Lithgow - Mudgee	Non-indigenous	44383
Lithgow - Mudgee	Torres Strait Islander	63
Orange	Aboriginal	4088
Orange	Both Aboriginal & Torres Strait Islander	79
Orange	Non-indigenous	57036
Orange	Torres Strait Islander	63
Clarence Valley	Aboriginal	4178
Clarence Valley	Both Aboriginal & Torres Strait Islander	109
Clarence Valley	Non-indigenous	49296
Clarence Valley	Torres Strait Islander	82
Coffs Harbour	Aboriginal	4912
Coffs Harbour	Both Aboriginal & Torres Strait Islander	118
Coffs Harbour	Non-indigenous	87320
Coffs Harbour	Torres Strait Islander	112
Bourke - Cobar - Coonamble	Aboriginal	5166
Bourke - Cobar - Coonamble	Both Aboriginal & Torres Strait Islander	49
Bourke - Cobar - Coonamble	Non-indigenous	16371
Bourke - Cobar - Coonamble	Torres Strait Islander	21
Broken Hill and Far West	Aboriginal	2355
Broken Hill and Far West	Both Aboriginal & Torres Strait Islander	45
Broken Hill and Far West	Non-indigenous	17467
Broken Hill and Far West	Torres Strait Islander	9
Dubbo	Aboriginal	11639
Dubbo	Both Aboriginal & Torres Strait Islander	224
Dubbo	Non-indigenous	62135
Dubbo	Torres Strait Islander	86
Lower Hunter	Aboriginal	8766
Lower Hunter	Both Aboriginal & Torres Strait Islander	258
Lower Hunter	Non-indigenous	88722
Lower Hunter	Torres Strait Islander	181
Maitland	Aboriginal	5996
Maitland	Both Aboriginal & Torres Strait Islander	152
Maitland	Non-indigenous	80743
Maitland	Torres Strait Islander	128
Port Stephens	Aboriginal	4746
Port Stephens	Both Aboriginal & Torres Strait Islander	98
Port Stephens	Non-indigenous	71476
Port Stephens	Torres Strait Islander	94
Upper Hunter	Aboriginal	2805
Upper Hunter	Both Aboriginal & Torres Strait Islander	52
Upper Hunter	Non-indigenous	27689
Upper Hunter	Torres Strait Islander	38
Dapto - Port Kembla	Aboriginal	3466
Dapto - Port Kembla	Both Aboriginal & Torres Strait Islander	60
Dapto - Port Kembla	Non-indigenous	76236
Dapto - Port Kembla	Torres Strait Islander	57
Illawarra Catchment Reserve	Non-indigenous	9
Kiama - Shellharbour	Aboriginal	4200
Kiama - Shellharbour	Both Aboriginal & Torres Strait Islander	58
Kiama - Shellharbour	Non-indigenous	94911
Kiama - Shellharbour	Torres Strait Islander	85
Wollongong	Aboriginal	3239
Wollongong	Both Aboriginal & Torres Strait Islander	60
Wollongong	Non-indigenous	131391
Wollongong	Torres Strait Islander	72
Great Lakes	Aboriginal	1933
Great Lakes	Both Aboriginal & Torres Strait Islander	35
Great Lakes	Non-indigenous	31312
Great Lakes	Torres Strait Islander	31
Kempsey - Nambucca	Aboriginal	5397
Kempsey - Nambucca	Both Aboriginal & Torres Strait Islander	141
Kempsey - Nambucca	Non-indigenous	45547
Kempsey - Nambucca	Torres Strait Islander	69
Lord Howe Island	Aboriginal	5
Lord Howe Island	Non-indigenous	440
Port Macquarie	Aboriginal	4587
Port Macquarie	Both Aboriginal & Torres Strait Islander	78
Port Macquarie	Non-indigenous	82057
Port Macquarie	Torres Strait Islander	58
Taree - Gloucester	Aboriginal	4576
Taree - Gloucester	Both Aboriginal & Torres Strait Islander	70
Taree - Gloucester	Non-indigenous	52606
Taree - Gloucester	Torres Strait Islander	93
Albury	Aboriginal	2377
Albury	Both Aboriginal & Torres Strait Islander	77
Albury	Non-indigenous	64542
Albury	Torres Strait Islander	48
Lower Murray	Aboriginal	971
Lower Murray	Both Aboriginal & Torres Strait Islander	27
Lower Murray	Non-indigenous	12050
Lower Murray	Torres Strait Islander	8
