SA3_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Queanbeyan	0-14		0	2020	5
Queanbeyan	0-14		1		12
Queanbeyan	0-14		1	2010	43
Queanbeyan	0-14		1	2015	100
Queanbeyan	0-14		1	2016	24
Queanbeyan	0-14		1	2017	11
Queanbeyan	0-14		1	2018	20
Queanbeyan	0-14		1	2019	16
Queanbeyan	0-14		1	2020	23
Queanbeyan	0-14		1	2021	19
Queanbeyan	0-14	Speaks English not well or not at all	0	2017	5
Queanbeyan	0-14	Speaks English not well or not at all	0	2020	6
Queanbeyan	0-14	Speaks English well or very well	0		8
Queanbeyan	0-14	Speaks English well or very well	0	2010	18
Queanbeyan	0-14	Speaks English well or very well	0	2015	86
Queanbeyan	0-14	Speaks English well or very well	0	2016	24
Queanbeyan	0-14	Speaks English well or very well	0	2017	42
Queanbeyan	0-14	Speaks English well or very well	0	2018	26
Queanbeyan	0-14	Speaks English well or very well	0	2019	37
Queanbeyan	0-14	Speaks English well or very well	0	2020	7
Queanbeyan	15-24		1		11
Queanbeyan	15-24		1	2005	76
Queanbeyan	15-24		1	2010	107
Queanbeyan	15-24		1	2015	55
Queanbeyan	15-24		1	2016	10
Queanbeyan	15-24		1	2017	4
Queanbeyan	15-24		1	2018	12
Queanbeyan	15-24		1	2019	13
Queanbeyan	15-24	Speaks English not well or not at all	0	2015	3
Queanbeyan	15-24	Speaks English well or very well	0		7
Queanbeyan	15-24	Speaks English well or very well	0	2005	24
Queanbeyan	15-24	Speaks English well or very well	0	2010	92
Queanbeyan	15-24	Speaks English well or very well	0	2015	77
Queanbeyan	15-24	Speaks English well or very well	0	2016	22
Queanbeyan	15-24	Speaks English well or very well	0	2017	36
Queanbeyan	15-24	Speaks English well or very well	0	2018	44
Queanbeyan	15-24	Speaks English well or very well	0	2019	33
Queanbeyan	15-24	Speaks English well or very well	0	2020	17
Queanbeyan	25-34				4
Queanbeyan	25-34		1		18
Queanbeyan	25-34		1	2005	229
Queanbeyan	25-34		1	2010	88
Queanbeyan	25-34		1	2015	84
Queanbeyan	25-34		1	2016	20
Queanbeyan	25-34		1	2017	19
Queanbeyan	25-34		1	2018	12
Queanbeyan	25-34		1	2019	26
Queanbeyan	25-34		1	2020	12
Queanbeyan	25-34		1	2021	8
Queanbeyan	25-34	Speaks English not well or not at all	0		4
Queanbeyan	25-34	Speaks English not well or not at all	0	2005	3
Queanbeyan	25-34	Speaks English not well or not at all	0	2015	11
Queanbeyan	25-34	Speaks English not well or not at all	0	2017	5
Queanbeyan	25-34	Speaks English not well or not at all	0	2018	3
Queanbeyan	25-34	Speaks English not well or not at all	0	2019	6
Queanbeyan	25-34	Speaks English well or very well	0		13
Queanbeyan	25-34	Speaks English well or very well	0	2005	96
Queanbeyan	25-34	Speaks English well or very well	0	2010	209
Queanbeyan	25-34	Speaks English well or very well	0	2015	475
Queanbeyan	25-34	Speaks English well or very well	0	2016	189
Queanbeyan	25-34	Speaks English well or very well	0	2017	219
Queanbeyan	25-34	Speaks English well or very well	0	2018	204
Queanbeyan	25-34	Speaks English well or very well	0	2019	120
Queanbeyan	25-34	Speaks English well or very well	0	2020	27
Queanbeyan	25-34	Speaks English well or very well	0	2021	3
Queanbeyan	35-44		1		16
Queanbeyan	35-44		1	2005	405
Queanbeyan	35-44		1	2010	140
Queanbeyan	35-44		1	2015	103
Queanbeyan	35-44		1	2016	16
Queanbeyan	35-44		1	2017	13
Queanbeyan	35-44		1	2018	12
