SED_NAME16	IndigenousStatus	persons
Albury	Aboriginal	2922
Albury	Both Aboriginal & Torres Strait Islander	90
Albury	Non-indigenous	81914
Albury	Torres Strait Islander	63
Auburn	Aboriginal	758
Auburn	Both Aboriginal & Torres Strait Islander	28
Auburn	Non-indigenous	117009
Auburn	Torres Strait Islander	27
Ballina	Aboriginal	2320
Ballina	Both Aboriginal & Torres Strait Islander	97
Ballina	Non-indigenous	79913
Ballina	Torres Strait Islander	75
Balmain	Aboriginal	1069
Balmain	Both Aboriginal & Torres Strait Islander	32
Balmain	Non-indigenous	82128
Balmain	Torres Strait Islander	44
Bankstown	Aboriginal	532
Bankstown	Both Aboriginal & Torres Strait Islander	12
Bankstown	Non-indigenous	94094
Bankstown	Torres Strait Islander	31
Barwon	Aboriginal	11944
Barwon	Both Aboriginal & Torres Strait Islander	190
Barwon	Non-indigenous	61740
Barwon	Torres Strait Islander	73
Bathurst	Aboriginal	5450
Bathurst	Both Aboriginal & Torres Strait Islander	127
Bathurst	Non-indigenous	74807
Bathurst	Torres Strait Islander	106
Baulkham Hills	Aboriginal	366
Baulkham Hills	Both Aboriginal & Torres Strait Islander	21
Baulkham Hills	Non-indigenous	88224
Baulkham Hills	Torres Strait Islander	3
Bega	Aboriginal	3754
Bega	Both Aboriginal & Torres Strait Islander	58
Bega	Non-indigenous	72677
Bega	Torres Strait Islander	40
Blacktown	Aboriginal	2138
Blacktown	Both Aboriginal & Torres Strait Islander	66
Blacktown	Non-indigenous	90011
Blacktown	Torres Strait Islander	43
Blue Mountains	Aboriginal	1970
Blue Mountains	Both Aboriginal & Torres Strait Islander	21
Blue Mountains	Non-indigenous	70255
Blue Mountains	Torres Strait Islander	25
Cabramatta	Aboriginal	591
Cabramatta	Both Aboriginal & Torres Strait Islander	28
Cabramatta	Non-indigenous	83790
Cabramatta	Torres Strait Islander	17
Camden	Aboriginal	4011
Camden	Both Aboriginal & Torres Strait Islander	49
Camden	Non-indigenous	127145
Camden	Torres Strait Islander	60
Campbelltown	Aboriginal	4281
Campbelltown	Both Aboriginal & Torres Strait Islander	68
Campbelltown	Non-indigenous	79453
Campbelltown	Torres Strait Islander	79
Canterbury	Aboriginal	681
Canterbury	Both Aboriginal & Torres Strait Islander	33
Canterbury	Non-indigenous	93328
Canterbury	Torres Strait Islander	23
Castle Hill	Aboriginal	686
Castle Hill	Both Aboriginal & Torres Strait Islander	10
Castle Hill	Non-indigenous	103198
Castle Hill	Torres Strait Islander	11
Cessnock	Aboriginal	7812
Cessnock	Both Aboriginal & Torres Strait Islander	215
Cessnock	Non-indigenous	79569
Cessnock	Torres Strait Islander	154
Charlestown	Aboriginal	3322
Charlestown	Both Aboriginal & Torres Strait Islander	47
Charlestown	Non-indigenous	72560
Charlestown	Torres Strait Islander	62
Clarence	Aboriginal	5955
Clarence	Both Aboriginal & Torres Strait Islander	173
Clarence	Non-indigenous	71436
Clarence	Torres Strait Islander	121
Coffs Harbour	Aboriginal	4354
Coffs Harbour	Both Aboriginal & Torres Strait Islander	111
Coffs Harbour	Non-indigenous	74199
Coffs Harbour	Torres Strait Islander	95
Coogee	Aboriginal	547
Coogee	Both Aboriginal & Torres Strait Islander	31
Coogee	Non-indigenous	82059
Coogee	Torres Strait Islander	11
Cootamundra	Aboriginal	4896
Cootamundra	Both Aboriginal & Torres Strait Islander	88
Cootamundra	Non-indigenous	67388
Cootamundra	Torres Strait Islander	63
Cronulla	Aboriginal	1006
Cronulla	Both Aboriginal & Torres Strait Islander	20
Cronulla	Non-indigenous	77336
Cronulla	Torres Strait Islander	26
Davidson	Aboriginal	227
Davidson	Non-indigenous	80836
Davidson	Torres Strait Islander	8
Drummoyne	Aboriginal	412
Drummoyne	Both Aboriginal & Torres Strait Islander	12
Drummoyne	Non-indigenous	81381
Drummoyne	Torres Strait Islander	30
Dubbo	Aboriginal	11519
Dubbo	Both Aboriginal & Torres Strait Islander	223
Dubbo	Non-indigenous	70695
Dubbo	Torres Strait Islander	88
East Hills	Aboriginal	927
East Hills	Both Aboriginal & Torres Strait Islander	7
East Hills	Non-indigenous	82055
East Hills	Torres Strait Islander	28
Epping	Aboriginal	243
Epping	Both Aboriginal & Torres Strait Islander	14
Epping	Non-indigenous	88176
Epping	Torres Strait Islander	11
Fairfield	Aboriginal	612
Fairfield	Both Aboriginal & Torres Strait Islander	14
Fairfield	Non-indigenous	92754
Fairfield	Torres Strait Islander	25
Gosford	Aboriginal	3083
Gosford	Both Aboriginal & Torres Strait Islander	49
Gosford	Non-indigenous	75369
Gosford	Torres Strait Islander	36
Goulburn	Aboriginal	2902
Goulburn	Both Aboriginal & Torres Strait Islander	33
Goulburn	Non-indigenous	78765
Goulburn	Torres Strait Islander	71
Granville	Aboriginal	670
Granville	Both Aboriginal & Torres Strait Islander	12
Granville	Non-indigenous	103354
Granville	Torres Strait Islander	26
Hawkesbury	Aboriginal	3315
Hawkesbury	Both Aboriginal & Torres Strait Islander	43
Hawkesbury	Non-indigenous	74614
Hawkesbury	Torres Strait Islander	53
Heathcote	Aboriginal	1342
Heathcote	Both Aboriginal & Torres Strait Islander	36
Heathcote	Non-indigenous	76278
Heathcote	Torres Strait Islander	36
Heffron	Aboriginal	1579
Heffron	Both Aboriginal & Torres Strait Islander	36
Heffron	Non-indigenous	115700
Heffron	Torres Strait Islander	44
Holsworthy	Aboriginal	1488
Holsworthy	Both Aboriginal & Torres Strait Islander	32
Holsworthy	Non-indigenous	88759
Holsworthy	Torres Strait Islander	16
Hornsby	Aboriginal	585
Hornsby	Both Aboriginal & Torres Strait Islander	8
Hornsby	Non-indigenous	83011
Hornsby	Torres Strait Islander	5
Keira	Aboriginal	2072
Keira	Both Aboriginal & Torres Strait Islander	32
Keira	Non-indigenous	80140
Keira	Torres Strait Islander	31
Kiama	Aboriginal	3654
Kiama	Both Aboriginal & Torres Strait Islander	60
Kiama	Non-indigenous	75262
Kiama	Torres Strait Islander	82
Kogarah	Aboriginal	454
Kogarah	Both Aboriginal & Torres Strait Islander	34
Kogarah	Non-indigenous	93219
Kogarah	Torres Strait Islander	16
Ku-ring-gai	Aboriginal	217
Ku-ring-gai	Both Aboriginal & Torres Strait Islander	15
Ku-ring-gai	Non-indigenous	86563
Ku-ring-gai	Torres Strait Islander	27
Lake Macquarie	Aboriginal	4613
Lake Macquarie	Both Aboriginal & Torres Strait Islander	80
Lake Macquarie	Non-indigenous	74931
Lake Macquarie	Torres Strait Islander	83
Lakemba	Aboriginal	439
Lakemba	Both Aboriginal & Torres Strait Islander	24
Lakemba	Non-indigenous	95524
Lakemba	Torres Strait Islander	21
Lane Cove	Aboriginal	375
Lane Cove	Both Aboriginal & Torres Strait Islander	8
Lane Cove	Non-indigenous	88800
Lane Cove	Torres Strait Islander	11
Lismore	Aboriginal	3957
Lismore	Both Aboriginal & Torres Strait Islander	167
Lismore	Non-indigenous	72528
Lismore	Torres Strait Islander	99
Liverpool	Aboriginal	1758
Liverpool	Both Aboriginal & Torres Strait Islander	51
Liverpool	Non-indigenous	95132
Liverpool	Torres Strait Islander	41
Londonderry	Aboriginal	6957
Londonderry	Both Aboriginal & Torres Strait Islander	144
Londonderry	Non-indigenous	113303
Londonderry	Torres Strait Islander	150
Macquarie Fields	Aboriginal	2834
Macquarie Fields	Both Aboriginal & Torres Strait Islander	45
Macquarie Fields	Non-indigenous	109475
Macquarie Fields	Torres Strait Islander	57
Maitland	Aboriginal	6437
Maitland	Both Aboriginal & Torres Strait Islander	160
Maitland	Non-indigenous	83485
Maitland	Torres Strait Islander	144
Manly	Aboriginal	386
Manly	Both Aboriginal & Torres Strait Islander	17
Manly	Non-indigenous	82781
Manly	Torres Strait Islander	24
Maroubra	Aboriginal	2297
Maroubra	Both Aboriginal & Torres Strait Islander	57
Maroubra	Non-indigenous	85189
Maroubra	Torres Strait Islander	30
Miranda	Aboriginal	981
Miranda	Both Aboriginal & Torres Strait Islander	20
Miranda	Non-indigenous	79023
Miranda	Torres Strait Islander	15
Monaro	Aboriginal	2732
Monaro	Both Aboriginal & Torres Strait Islander	58
Monaro	Non-indigenous	82116
Monaro	Torres Strait Islander	66
Mount Druitt	Aboriginal	3820
Mount Druitt	Both Aboriginal & Torres Strait Islander	69
Mount Druitt	Non-indigenous	90533
Mount Druitt	Torres Strait Islander	54
Mulgoa	Aboriginal	2225
Mulgoa	Both Aboriginal & Torres Strait Islander	34
Mulgoa	Non-indigenous	85338
Mulgoa	Torres Strait Islander	32
Murray	Aboriginal	4741
Murray	Both Aboriginal & Torres Strait Islander	77
Murray	Non-indigenous	81023
Murray	Torres Strait Islander	78
Myall Lakes	Aboriginal	5545
Myall Lakes	Both Aboriginal & Torres Strait Islander	84
Myall Lakes	Non-indigenous	69839
Myall Lakes	Torres Strait Islander	111
Newcastle	Aboriginal	2846
Newcastle	Both Aboriginal & Torres Strait Islander	56
Newcastle	Non-indigenous	76710
Newcastle	Torres Strait Islander	58
Newtown	Aboriginal	1300
Newtown	Both Aboriginal & Torres Strait Islander	34
Newtown	Non-indigenous	78952
Newtown	Torres Strait Islander	27
North Shore	Aboriginal	276
North Shore	Both Aboriginal & Torres Strait Islander	8
North Shore	Non-indigenous	78593
North Shore	Torres Strait Islander	16
Northern Tablelands	Aboriginal	8026
Northern Tablelands	Both Aboriginal & Torres Strait Islander	153
Northern Tablelands	Non-indigenous	71244
Northern Tablelands	Torres Strait Islander	118
Oatley	Aboriginal	651
Oatley	Both Aboriginal & Torres Strait Islander	4
Oatley	Non-indigenous	78444
Oatley	Torres Strait Islander	10
Orange	Aboriginal	6924
Orange	Both Aboriginal & Torres Strait Islander	118
Orange	Non-indigenous	73817
Orange	Torres Strait Islander	97
Oxley	Aboriginal	6949
Oxley	Both Aboriginal & Torres Strait Islander	168
Oxley	Non-indigenous	70404
Oxley	Torres Strait Islander	84
Parramatta	Aboriginal	792
Parramatta	Both Aboriginal & Torres Strait Islander	24
Parramatta	Non-indigenous	111218
Parramatta	Torres Strait Islander	36
Penrith	Aboriginal	4309
Penrith	Both Aboriginal & Torres Strait Islander	55
Penrith	Non-indigenous	80138
Penrith	Torres Strait Islander	76
Pittwater	Aboriginal	517
Pittwater	Both Aboriginal & Torres Strait Islander	20
Pittwater	Non-indigenous	74716
Pittwater	Torres Strait Islander	18
Port Macquarie	Aboriginal	3933
Port Macquarie	Both Aboriginal & Torres Strait Islander	75
Port Macquarie	Non-indigenous	76678
Port Macquarie	Torres Strait Islander	63
Port Stephens	Aboriginal	4746
Port Stephens	Both Aboriginal & Torres Strait Islander	98
Port Stephens	Non-indigenous	71486
Port Stephens	Torres Strait Islander	94
Prospect	Aboriginal	798
Prospect	Both Aboriginal & Torres Strait Islander	15
Prospect	Non-indigenous	87750
Prospect	Torres Strait Islander	44
Riverstone	Aboriginal	1908
Riverstone	Both Aboriginal & Torres Strait Islander	45
Riverstone	Non-indigenous	120344
Riverstone	Torres Strait Islander	38
Rockdale	Aboriginal	678
Rockdale	Both Aboriginal & Torres Strait Islander	19
Rockdale	Non-indigenous	93238
Rockdale	Torres Strait Islander	28
Ryde	Aboriginal	418
Ryde	Both Aboriginal & Torres Strait Islander	13
Ryde	Non-indigenous	99561
Ryde	Torres Strait Islander	29
Seven Hills	Aboriginal	1211
Seven Hills	Both Aboriginal & Torres Strait Islander	22
Seven Hills	Non-indigenous	85167
Seven Hills	Torres Strait Islander	32
Shellharbour	Aboriginal	4210
