SED_NAME21	Religion	Denomination	Sex	persons
Albury	(Other)		F	3112
Albury	(Other)		M	3609
Albury	(Other)	(Other)	F	136
Albury	(Other)	(Other)	M	91
Albury	(Other)	Australian Aboriginal Traditional	F	3
Albury	(Other)	Other spiritual beliefs	F	58
Albury	(Other)	Other spiritual beliefs	M	40
Albury	(Other)	Secular beliefs	F	58
Albury	(Other)	Secular beliefs	M	88
Albury	(Other)	Sikhism	F	318
Albury	(Other)	Sikhism	M	386
Albury	Buddhism		F	347
Albury	Buddhism		M	213
Albury	Christianity		F	882
Albury	Christianity		M	781
Albury	Christianity	(Other)	F	23
Albury	Christianity	(Other)	M	18
Albury	Christianity	Anglican	F	6398
Albury	Christianity	Anglican	M	5278
Albury	Christianity	Baptist	F	427
Albury	Christianity	Baptist	M	413
Albury	Christianity	Brethren	F	77
Albury	Christianity	Brethren	M	75
Albury	Christianity	Catholic	F	9940
Albury	Christianity	Catholic	M	8967
Albury	Christianity	Churches Of Christ	F	25
Albury	Christianity	Churches Of Christ	M	15
Albury	Christianity	Eastern Orthodox	F	164
Albury	Christianity	Eastern Orthodox	M	165
Albury	Christianity	Jehovah's Witnesses	F	156
Albury	Christianity	Jehovah's Witnesses	M	110
Albury	Christianity	Latter Day Saints	F	44
Albury	Christianity	Latter Day Saints	M	33
Albury	Christianity	Lutheran	F	1027
Albury	Christianity	Lutheran	M	873
Albury	Christianity	Oriental Orthodox	F	13
Albury	Christianity	Oriental Orthodox	M	12
Albury	Christianity	Pentecostal	F	488
Albury	Christianity	Pentecostal	M	391
Albury	Christianity	Presbyterian Reformed	F	1431
Albury	Christianity	Presbyterian Reformed	M	1292
Albury	Christianity	Protestant (Other)	F	89
Albury	Christianity	Protestant (Other)	M	75
Albury	Christianity	Salvation Army	F	68
Albury	Christianity	Salvation Army	M	49
Albury	Christianity	Seventh Day Adventist	F	134
Albury	Christianity	Seventh Day Adventist	M	119
Albury	Christianity	Uniting Church	F	1722
Albury	Christianity	Uniting Church	M	1329
Albury	Hinduism		F	616
Albury	Hinduism		M	712
Albury	Islam		F	165
Albury	Islam		M	220
Albury	Judaism		F	23
Albury	Judaism		M	21
Albury	No religion		F	15330
Albury	No religion		M	16341
Auburn	(Other)		F	4614
Auburn	(Other)		M	6417
Auburn	(Other)	(Other)	F	154
Auburn	(Other)	(Other)	M	149
Auburn	(Other)	Australian Aboriginal Traditional	F	5
Auburn	(Other)	Other spiritual beliefs	F	62
Auburn	(Other)	Other spiritual beliefs	M	56
Auburn	(Other)	Secular beliefs	F	69
Auburn	(Other)	Secular beliefs	M	94
Auburn	(Other)	Sikhism	F	161
Auburn	(Other)	Sikhism	M	215
Auburn	Buddhism		F	4095
Auburn	Buddhism		M	3184
Auburn	Christianity		F	1493
Auburn	Christianity		M	1307
Auburn	Christianity	(Other)	F	38
Auburn	Christianity	(Other)	M	46
Auburn	Christianity	Anglican	F	1441
Auburn	Christianity	Anglican	M	1362
Auburn	Christianity	Assyrian Apostolic	F	9
Auburn	Christianity	Assyrian Apostolic	M	10
Auburn	Christianity	Baptist	F	652
Auburn	Christianity	Baptist	M	619
Auburn	Christianity	Brethren	F	7
Auburn	Christianity	Brethren	M	9
Auburn	Christianity	Catholic	F	8675
Auburn	Christianity	Catholic	M	8120
Auburn	Christianity	Churches Of Christ	F	22
Auburn	Christianity	Churches Of Christ	M	10
Auburn	Christianity	Eastern Orthodox	F	814
Auburn	Christianity	Eastern Orthodox	M	776
Auburn	Christianity	Jehovah's Witnesses	F	104
Auburn	Christianity	Jehovah's Witnesses	M	79
Auburn	Christianity	Latter Day Saints	F	57
Auburn	Christianity	Latter Day Saints	M	65
Auburn	Christianity	Lutheran	F	30
Auburn	Christianity	Lutheran	M	20
Auburn	Christianity	Oriental Orthodox	F	122
Auburn	Christianity	Oriental Orthodox	M	134
Auburn	Christianity	Pentecostal	F	372
Auburn	Christianity	Pentecostal	M	290
Auburn	Christianity	Presbyterian Reformed	F	1400
Auburn	Christianity	Presbyterian Reformed	M	1282
Auburn	Christianity	Protestant (Other)	F	243
Auburn	Christianity	Protestant (Other)	M	239
Auburn	Christianity	Salvation Army	F	41
Auburn	Christianity	Salvation Army	M	24
Auburn	Christianity	Seventh Day Adventist	F	61
Auburn	Christianity	Seventh Day Adventist	M	65
Auburn	Christianity	Uniting Church	F	730
Auburn	Christianity	Uniting Church	M	739
Auburn	Hinduism		F	4098
Auburn	Hinduism		M	5206
Auburn	Islam		F	13294
Auburn	Islam		M	15590
Auburn	Judaism		F	18
Auburn	Judaism		M	12
Auburn	No religion		F	13181
Auburn	No religion		M	15631
Ballina	(Other)		F	3972
Ballina	(Other)		M	3965
Ballina	(Other)	(Other)	F	235
Ballina	(Other)	(Other)	M	145
Ballina	(Other)	Australian Aboriginal Traditional	F	22
Ballina	(Other)	Australian Aboriginal Traditional	M	18
Ballina	(Other)	Other spiritual beliefs	F	318
Ballina	(Other)	Other spiritual beliefs	M	179
Ballina	(Other)	Secular beliefs	F	119
Ballina	(Other)	Secular beliefs	M	141
Ballina	(Other)	Sikhism	F	77
Ballina	(Other)	Sikhism	M	73
Ballina	Buddhism		F	757
Ballina	Buddhism		M	485
Ballina	Christianity		F	764
Ballina	Christianity		M	622
Ballina	Christianity	(Other)	F	44
Ballina	Christianity	(Other)	M	32
Ballina	Christianity	Anglican	F	5097
Ballina	Christianity	Anglican	M	4292
Ballina	Christianity	Baptist	F	348
Ballina	Christianity	Baptist	M	273
Ballina	Christianity	Catholic	F	6936
Ballina	Christianity	Catholic	M	5960
Ballina	Christianity	Churches Of Christ	F	13
Ballina	Christianity	Churches Of Christ	M	5
Ballina	Christianity	Eastern Orthodox	F	138
Ballina	Christianity	Eastern Orthodox	M	119
Ballina	Christianity	Jehovah's Witnesses	F	200
Ballina	Christianity	Jehovah's Witnesses	M	163
Ballina	Christianity	Latter Day Saints	F	28
Ballina	Christianity	Latter Day Saints	M	31
Ballina	Christianity	Lutheran	F	97
Ballina	Christianity	Lutheran	M	68
Ballina	Christianity	Oriental Orthodox	F	3
Ballina	Christianity	Oriental Orthodox	M	10
Ballina	Christianity	Pentecostal	F	399
Ballina	Christianity	Pentecostal	M	283
Ballina	Christianity	Presbyterian Reformed	F	1049
Ballina	Christianity	Presbyterian Reformed	M	891
Ballina	Christianity	Protestant (Other)	F	95
Ballina	Christianity	Protestant (Other)	M	78
Ballina	Christianity	Salvation Army	F	44
Ballina	Christianity	Salvation Army	M	38
Ballina	Christianity	Seventh Day Adventist	F	187
Ballina	Christianity	Seventh Day Adventist	M	129
Ballina	Christianity	Uniting Church	F	1194
Ballina	Christianity	Uniting Church	M	906
Ballina	Hinduism		F	145
Ballina	Hinduism		M	151
Ballina	Islam		F	66
Ballina	Islam		M	67
Ballina	Judaism		F	240
Ballina	Judaism		M	257
Ballina	No religion		F	20227
Ballina	No religion		M	20217
Balmain	(Other)		F	2719
Balmain	(Other)		M	2893
Balmain	(Other)	(Other)	F	191
Balmain	(Other)	(Other)	M	171
Balmain	(Other)	Australian Aboriginal Traditional	F	12
