SED_NAME16	Ancestry	responses
Albury		5893
Albury	Australian	33717
Albury	Australian Aboriginal	2929
Albury	Chinese	579
Albury	Croatian	281
Albury	Dutch	1399
Albury	English	34078
Albury	Filipino	735
Albury	French	335
Albury	German	6084
Albury	Greek	426
Albury	Hungarian	245
Albury	Indian	983
Albury	Irish	11065
Albury	Italian	1984
Albury	Korean	83
Albury	Lebanese	196
Albury	Macedonian	21
Albury	Maltese	247
Albury	Maori	235
Albury	NZ	409
Albury	(Other)	5436
Albury	Polish	478
Albury	Russian	126
Albury	Samoan	55
Albury	Scottish	9461
Albury	Serbian	147
Albury	South African	161
Albury	Spanish	216
Albury	Sri Lankan	78
Albury	Vietnamese	113
Albury	Welsh	384
Auburn		11011
Auburn	Australian	9095
Auburn	Australian Aboriginal	487
Auburn	Chinese	27442
Auburn	Croatian	790
Auburn	Dutch	215
Auburn	English	9427
Auburn	Filipino	2938
Auburn	French	196
Auburn	German	722
Auburn	Greek	751
Auburn	Hungarian	117
Auburn	Indian	4815
Auburn	Irish	2134
Auburn	Italian	1803
Auburn	Korean	8503
Auburn	Lebanese	9016
Auburn	Macedonian	156
Auburn	Maltese	287
Auburn	Maori	317
Auburn	NZ	223
Auburn	(Other)	37070
Auburn	Polish	329
Auburn	Russian	500
Auburn	Samoan	308
Auburn	Scottish	1490
Auburn	Serbian	228
Auburn	South African	133
Auburn	Spanish	480
Auburn	Sri Lankan	611
Auburn	Vietnamese	3084
Auburn	Welsh	126
Ballina		6510
Ballina	Australian	28995
Ballina	Australian Aboriginal	2355
Ballina	Chinese	644
Ballina	Croatian	246
Ballina	Dutch	1405
Ballina	English	35126
Ballina	Filipino	422
Ballina	French	1048
Ballina	German	4338
Ballina	Greek	492
Ballina	Hungarian	233
Ballina	Indian	529
Ballina	Irish	12203
Ballina	Italian	3032
Ballina	Korean	62
Ballina	Lebanese	167
Ballina	Macedonian	49
Ballina	Maltese	324
Ballina	Maori	335
Ballina	NZ	710
Ballina	(Other)	7081
Ballina	Polish	648
Ballina	Russian	334
Ballina	Samoan	55
Ballina	Scottish	10135
Ballina	Serbian	88
Ballina	South African	396
Ballina	Spanish	577
Ballina	Sri Lankan	82
Ballina	Vietnamese	109
Ballina	Welsh	660
Balmain		4447
Balmain	Australian	21109
Balmain	Australian Aboriginal	1106
Balmain	Chinese	7273
Balmain	Croatian	625
Balmain	Dutch	1192
Balmain	English	27839
