SA4_NAME21	Age	MaritalStatus	Sex	responses
Capital Region	15-19	Divorced	M	6
Capital Region	15-19	Married	M	6
Capital Region	20-24	Divorced	F	8
Capital Region	20-24	Married	F	239
Capital Region	20-24	Married	M	122
Capital Region	20-24	Separated	F	17
Capital Region	20-24	Separated	M	4
Capital Region	20-24	Widowed	F	3
Capital Region	20-24	Widowed	M	7
Capital Region	25-34	Divorced	F	307
Capital Region	25-34	Divorced	M	189
Capital Region	25-34	Married	F	5157
Capital Region	25-34	Married	M	3944
Capital Region	25-34	Separated	F	331
Capital Region	25-34	Separated	M	170
Capital Region	25-34	Widowed	F	27
Capital Region	25-34	Widowed	M	6
Capital Region	35-44	Divorced	F	1032
Capital Region	35-44	Divorced	M	705
Capital Region	35-44	Married	F	8074
Capital Region	35-44	Married	M	7551
Capital Region	35-44	Separated	F	675
Capital Region	35-44	Separated	M	445
Capital Region	35-44	Widowed	F	82
Capital Region	35-44	Widowed	M	24
Capital Region	45-54	Divorced	F	2369
Capital Region	45-54	Divorced	M	1796
Capital Region	45-54	Married	F	9367
Capital Region	45-54	Married	M	8763
Capital Region	45-54	Separated	F	904
Capital Region	45-54	Separated	M	797
Capital Region	45-54	Widowed	F	268
Capital Region	45-54	Widowed	M	95
Capital Region	55-64	Divorced	F	3256
Capital Region	55-64	Divorced	M	2877
Capital Region	55-64	Married	F	10576
Capital Region	55-64	Married	M	10425
Capital Region	55-64	Separated	F	839
Capital Region	55-64	Separated	M	837
Capital Region	55-64	Widowed	F	881
Capital Region	55-64	Widowed	M	297
Capital Region	65-74	Divorced	F	2674
Capital Region	65-74	Divorced	M	2646
Capital Region	65-74	Married	F	9282
Capital Region	65-74	Married	M	10254
Capital Region	65-74	Separated	F	540
Capital Region	65-74	Separated	M	755
Capital Region	65-74	Widowed	F	2088
Capital Region	65-74	Widowed	M	670
Capital Region	75-84	Divorced	F	957
Capital Region	75-84	Divorced	M	951
Capital Region	75-84	Married	F	3901
Capital Region	75-84	Married	M	5327
Capital Region	75-84	Separated	F	155
Capital Region	75-84	Separated	M	249
Capital Region	75-84	Widowed	F	2951
Capital Region	75-84	Widowed	M	970
Capital Region	85+	Divorced	F	183
Capital Region	85+	Divorced	M	178
Capital Region	85+	Married	F	592
Capital Region	85+	Married	M	1288
Capital Region	85+	Separated	F	24
Capital Region	85+	Separated	M	40
Capital Region	85+	Widowed	F	2540
Capital Region	85+	Widowed	M	737
Central Coast	15-19	Married	F	10
Central Coast	15-19	Married	M	11
Central Coast	15-19	Separated	F	6
Central Coast	15-19	Separated	M	4
Central Coast	15-19	Widowed	F	3
Central Coast	15-19	Widowed	M	7
Central Coast	20-24	Divorced	F	7
Central Coast	20-24	Divorced	M	4
Central Coast	20-24	Married	F	310
Central Coast	20-24	Married	M	158
Central Coast	20-24	Separated	F	27
Central Coast	20-24	Separated	M	13
Central Coast	20-24	Widowed	F	8
Central Coast	25-34	Divorced	F	460
Central Coast	25-34	Divorced	M	244
Central Coast	25-34	Married	F	6790
Central Coast	25-34	Married	M	4987
Central Coast	25-34	Separated	F	595
Central Coast	25-34	Separated	M	310
Central Coast	25-34	Widowed	F	32
Central Coast	25-34	Widowed	M	16
Central Coast	35-44	Divorced	F	1859
Central Coast	35-44	Divorced	M	1192
Central Coast	35-44	Married	F	12325
Central Coast	35-44	Married	M	11291
Central Coast	35-44	Separated	F	1252
Central Coast	35-44	Separated	M	889
Central Coast	35-44	Widowed	F	106
Central Coast	35-44	Widowed	M	49
Central Coast	45-54	Divorced	F	3904
Central Coast	45-54	Divorced	M	2664
Central Coast	45-54	Married	F	12408
Central Coast	45-54	Married	M	12115
Central Coast	45-54	Separated	F	1598
Central Coast	45-54	Separated	M	1305
Central Coast	45-54	Widowed	F	407
Central Coast	45-54	Widowed	M	131
Central Coast	55-64	Divorced	F	5223
Central Coast	55-64	Divorced	M	3602
Central Coast	55-64	Married	F	12877
Central Coast	55-64	Married	M	12507
Central Coast	55-64	Separated	F	1446
Central Coast	55-64	Separated	M	1188
Central Coast	55-64	Widowed	F	1290
Central Coast	55-64	Widowed	M	365
Central Coast	65-74	Divorced	F	4839
Central Coast	65-74	Divorced	M	3209
Central Coast	65-74	Married	F	11680
Central Coast	65-74	Married	M	12268
Central Coast	65-74	Separated	F	942
Central Coast	65-74	Separated	M	914
Central Coast	65-74	Widowed	F	2984
Central Coast	65-74	Widowed	M	915
Central Coast	75-84	Divorced	F	2237
Central Coast	75-84	Divorced	M	1545
Central Coast	75-84	Married	F	5943
Central Coast	75-84	Married	M	7809
Central Coast	75-84	Separated	F	282
Central Coast	75-84	Separated	M	390
Central Coast	75-84	Widowed	F	4873
Central Coast	75-84	Widowed	M	1538
Central Coast	85+	Divorced	F	577
Central Coast	85+	Divorced	M	250
Central Coast	85+	Married	F	1104
Central Coast	85+	Married	M	2100
Central Coast	85+	Separated	F	37
Central Coast	85+	Separated	M	63
Central Coast	85+	Widowed	F	4709
Central Coast	85+	Widowed	M	1345
Central West	15-19	Divorced	M	3
Central West	15-19	Married	F	5
Central West	15-19	Married	M	10
Central West	15-19	Separated	M	7
Central West	15-19	Widowed	F	7
Central West	20-24	Divorced	F	6
Central West	20-24	Divorced	M	3
Central West	20-24	Married	F	277
Central West	20-24	Married	M	170
Central West	20-24	Separated	F	21
Central West	20-24	Separated	M	10
Central West	25-34	Divorced	F	279
