SA4_NAME21	Ancestry	responses
Capital Region		16555
Capital Region	Australian	96019
Capital Region	Australian Aboriginal	9440
Capital Region	Chinese	2258
Capital Region	Croatian	1515
Capital Region	Dutch	3868
Capital Region	English	96561
Capital Region	Filipino	1809
Capital Region	French	1273
Capital Region	German	10517
Capital Region	Greek	1546
Capital Region	Hungarian	799
Capital Region	Indian	2168
Capital Region	Irish	31039
Capital Region	Italian	6229
Capital Region	Korean	245
Capital Region	Lebanese	843
Capital Region	Macedonian	1461
Capital Region	Maltese	1387
Capital Region	Maori	935
Capital Region	NZ	1426
Capital Region	(Other)	16389
Capital Region	Polish	1632
Capital Region	Russian	679
Capital Region	Samoan	285
Capital Region	Scottish	26200
Capital Region	Serbian	815
Capital Region	South African	621
Capital Region	Spanish	749
Capital Region	Sri Lankan	223
Capital Region	Vietnamese	346
Capital Region	Welsh	1599
Central Coast		19448
Central Coast	Australian	138283
Central Coast	Australian Aboriginal	16303
Central Coast	Chinese	5132
Central Coast	Croatian	1462
Central Coast	Dutch	5121
Central Coast	English	147751
Central Coast	Filipino	3673
Central Coast	French	2296
Central Coast	German	11394
Central Coast	Greek	2652
Central Coast	Hungarian	1051
Central Coast	Indian	3389
Central Coast	Irish	41762
Central Coast	Italian	9726
Central Coast	Korean	1101
Central Coast	Lebanese	1180
Central Coast	Macedonian	205
Central Coast	Maltese	3943
Central Coast	Maori	2400
Central Coast	NZ	3355
Central Coast	(Other)	25477
Central Coast	Polish	2231
Central Coast	Russian	1432
Central Coast	Samoan	523
Central Coast	Scottish	36361
Central Coast	Serbian	606
Central Coast	South African	1816
Central Coast	Spanish	1779
Central Coast	Sri Lankan	372
Central Coast	Vietnamese	615
Central Coast	Welsh	2704
Central West		16612
Central West	Australian	91412
Central West	Australian Aboriginal	15738
Central West	Chinese	1666
Central West	Croatian	595
Central West	Dutch	2614
Central West	English	87514
Central West	Filipino	1512
Central West	French	861
Central West	German	7790
Central West	Greek	766
Central West	Hungarian	427
Central West	Indian	1402
Central West	Irish	26855
Central West	Italian	3666
Central West	Korean	201
Central West	Lebanese	496
Central West	Macedonian	78
Central West	Maltese	1049
Central West	Maori	702
Central West	NZ	1099
Central West	(Other)	10032
Central West	Polish	1000
Central West	Russian	409
Central West	Samoan	129
Central West	Scottish	21567
Central West	Serbian	195
Central West	South African	493
Central West	Spanish	418
Central West	Sri Lankan	172
Central West	Vietnamese	238
Central West	Welsh	1159
Coffs Harbour - Grafton		10913
Coffs Harbour - Grafton	Australian	57590
Coffs Harbour - Grafton	Australian Aboriginal	8770
Coffs Harbour - Grafton	Chinese	1249
Coffs Harbour - Grafton	Croatian	275
Coffs Harbour - Grafton	Dutch	2111
Coffs Harbour - Grafton	English	61296
Coffs Harbour - Grafton	Filipino	934
Coffs Harbour - Grafton	French	832
Coffs Harbour - Grafton	German	6373
Coffs Harbour - Grafton	Greek	477
Coffs Harbour - Grafton	Hungarian	331
Coffs Harbour - Grafton	Indian	1539
Coffs Harbour - Grafton	Irish	17673
Coffs Harbour - Grafton	Italian	2783
Coffs Harbour - Grafton	Korean	97
Coffs Harbour - Grafton	Lebanese	171
Coffs Harbour - Grafton	Macedonian	31
Coffs Harbour - Grafton	Maltese	586
Coffs Harbour - Grafton	Maori	519
Coffs Harbour - Grafton	NZ	924
Coffs Harbour - Grafton	(Other)	10428
Coffs Harbour - Grafton	Polish	688
Coffs Harbour - Grafton	Russian	291
Coffs Harbour - Grafton	Samoan	97
Coffs Harbour - Grafton	Scottish	16549
Coffs Harbour - Grafton	Serbian	81
Coffs Harbour - Grafton	South African	480
Coffs Harbour - Grafton	Spanish	378
Coffs Harbour - Grafton	Sri Lankan	71
Coffs Harbour - Grafton	Vietnamese	156
Coffs Harbour - Grafton	Welsh	870
Far West and Orana		13939
Far West and Orana	Australian	46366
Far West and Orana	Australian Aboriginal	17813
Far West and Orana	Chinese	843
Far West and Orana	Croatian	180
Far West and Orana	Dutch	908
Far West and Orana	English	40934
Far West and Orana	Filipino	962
Far West and Orana	French	381
Far West and Orana	German	3861
Far West and Orana	Greek	358
Far West and Orana	Hungarian	112
Far West and Orana	Indian	1023
Far West and Orana	Irish	11542
Far West and Orana	Italian	1685
Far West and Orana	Korean	71
Far West and Orana	Lebanese	201
Far West and Orana	Macedonian	36
Far West and Orana	Maltese	515
Far West and Orana	Maori	317
Far West and Orana	NZ	406
Far West and Orana	(Other)	5422
Far West and Orana	Polish	347
Far West and Orana	Russian	128
Far West and Orana	Samoan	51
Far West and Orana	Scottish	9543
Far West and Orana	Serbian	78
Far West and Orana	South African	182
Far West and Orana	Spanish	155
Far West and Orana	Sri Lankan	123
Far West and Orana	Vietnamese	99
Far West and Orana	Welsh	398
Hunter Valley exc Newcastle		17703
Hunter Valley exc Newcastle	Australian	128271
Hunter Valley exc Newcastle	Australian Aboriginal	21671
Hunter Valley exc Newcastle	Chinese	2166
Hunter Valley exc Newcastle	Croatian	774
Hunter Valley exc Newcastle	Dutch	3709
Hunter Valley exc Newcastle	English	125636
