SA4_NAME16	Age	MaritalStatus	Registered	adults
Capital Region	15-19	Married	0	206
Capital Region	15-19	Married	1	5
Capital Region	15-19	Never married		11355
Capital Region	20-24	Married	0	1893
Capital Region	20-24	Married	1	328
Capital Region	20-24	Never married		7189
Capital Region	25-34	Married	0	6416
Capital Region	25-34	Married	1	8138
Capital Region	25-34	Never married		8972
Capital Region	35-44	Married	0	4186
Capital Region	35-44	Married	1	14199
Capital Region	35-44	Never married		6122
Capital Region	45-54	Married	0	4116
Capital Region	45-54	Married	1	16550
Capital Region	45-54	Never married		7770
Capital Region	55-64	Married	0	3482
Capital Region	55-64	Married	1	18482
Capital Region	55-64	Never married		9444
Capital Region	65-74	Married	0	1922
Capital Region	65-74	Married	1	17204
Capital Region	65-74	Never married		8510
Capital Region	75-84	Married	0	479
Capital Region	75-84	Married	1	8131
Capital Region	75-84	Never married		5550
Capital Region	85+	Married	0	61
Capital Region	85+	Married	1	1487
Capital Region	85+	Never married		2521
Central Coast	15-19	Married	0	274
Central Coast	15-19	Married	1	8
Central Coast	15-19	Never married		18652
Central Coast	20-24	Married	0	2844
Central Coast	20-24	Married	1	431
Central Coast	20-24	Never married		13670
Central Coast	25-34	Married	0	9746
Central Coast	25-34	Married	1	10952
Central Coast	25-34	Never married		14519
Central Coast	35-44	Married	0	6108
Central Coast	35-44	Married	1	22306
Central Coast	35-44	Never married		10297
Central Coast	45-54	Married	0	5235
Central Coast	45-54	Married	1	23212
Central Coast	45-54	Never married		12979
Central Coast	55-64	Married	0	3814
Central Coast	55-64	Married	1	23892
Central Coast	55-64	Never married		14287
Central Coast	65-74	Married	0	1987
Central Coast	65-74	Married	1	22376
Central Coast	65-74	Never married		13278
Central Coast	75-84	Married	0	753
Central Coast	75-84	Married	1	12574
Central Coast	75-84	Never married		9842
Central Coast	85+	Married	0	91
Central Coast	85+	Married	1	2454
Central Coast	85+	Never married		5112
Central West	15-19	Married	0	238
Central West	15-19	Married	1	7
Central West	15-19	Never married		10827
Central West	20-24	Married	0	2274
Central West	20-24	Married	1	393
Central West	20-24	Never married		6711
Central West	25-34	Married	0	6034
Central West	25-34	Married	1	7717
Central West	25-34	Never married		8051
Central West	35-44	Married	0	3405
Central West	35-44	Married	1	12151
Central West	35-44	Never married		5812
Central West	45-54	Married	0	2840
Central West	45-54	Married	1	13613
Central West	45-54	Never married		7054
Central West	55-64	Married	0	2270
Central West	55-64	Married	1	14618
Central West	55-64	Never married		8074
Central West	65-74	Married	0	1032
Central West	65-74	Married	1	13594
Central West	65-74	Never married		7284
Central West	75-84	Married	0	328
Central West	75-84	Married	1	6788
Central West	75-84	Never married		5414
Central West	85+	Married	0	39
Central West	85+	Married	1	1302
Central West	85+	Never married		2516
Coffs Harbour - Grafton	15-19	Married	0	138
Coffs Harbour - Grafton	15-19	Married	1	5
Coffs Harbour - Grafton	15-19	Never married		7001
Coffs Harbour - Grafton	20-24	Married	0	1152
Coffs Harbour - Grafton	20-24	Married	1	208
Coffs Harbour - Grafton	20-24	Never married		4102
Coffs Harbour - Grafton	25-34	Married	0	3417
Coffs Harbour - Grafton	25-34	Married	1	3956
Coffs Harbour - Grafton	25-34	Never married		5557
Coffs Harbour - Grafton	35-44	Married	0	2454
Coffs Harbour - Grafton	35-44	Married	1	7259
Coffs Harbour - Grafton	35-44	Never married		4320
Coffs Harbour - Grafton	45-54	Married	0	2373
Coffs Harbour - Grafton	45-54	Married	1	8607
Coffs Harbour - Grafton	45-54	Never married		5348
Coffs Harbour - Grafton	55-64	Married	0	2235
Coffs Harbour - Grafton	55-64	Married	1	10341
Coffs Harbour - Grafton	55-64	Never married		6528
Coffs Harbour - Grafton	65-74	Married	0	1384
Coffs Harbour - Grafton	65-74	Married	1	11120
Coffs Harbour - Grafton	65-74	Never married		6126
Coffs Harbour - Grafton	75-84	Married	0	359
Coffs Harbour - Grafton	75-84	Married	1	5818
Coffs Harbour - Grafton	75-84	Never married		4056
Coffs Harbour - Grafton	85+	Married	0	67
Coffs Harbour - Grafton	85+	Married	1	1184
Coffs Harbour - Grafton	85+	Never married		2013
Far West and Orana	15-19	Married	0	164
Far West and Orana	15-19	Married	1	4
Far West and Orana	15-19	Never married		5269
Far West and Orana	20-24	Married	0	1205
Far West and Orana	20-24	Married	1	162
Far West and Orana	20-24	Never married		3459
Far West and Orana	25-34	Married	0	3325
Far West and Orana	25-34	Married	1	4292
Far West and Orana	25-34	Never married		5301
Far West and Orana	35-44	Married	0	1732
Far West and Orana	35-44	Married	1	5771
Far West and Orana	35-44	Never married		3272
Far West and Orana	45-54	Married	0	1525
Far West and Orana	45-54	Married	1	5975
Far West and Orana	45-54	Never married		3914
Far West and Orana	55-64	Married	0	1247
Far West and Orana	55-64	Married	1	7217
Far West and Orana	55-64	Never married		4605
Far West and Orana	65-74	Married	0	556
Far West and Orana	65-74	Married	1	6188
Far West and Orana	65-74	Never married		4078
Far West and Orana	75-84	Married	0	165
Far West and Orana	75-84	Married	1	3263
Far West and Orana	75-84	Never married		2771
Far West and Orana	85+	Married	0	24
Far West and Orana	85+	Married	1	632
Far West and Orana	85+	Never married		1257
Hunter Valley exc Newcastle	15-19	Married	0	321
Hunter Valley exc Newcastle	15-19	Married	1	12
Hunter Valley exc Newcastle	15-19	Never married		15809
