SA4_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Capital Region	0-14				6
Capital Region	0-14		0	2019	3
Capital Region	0-14		0	2020	3
Capital Region	0-14		0	2021	5
Capital Region	0-14		1		35
Capital Region	0-14		1	2010	110
Capital Region	0-14		1	2015	228
Capital Region	0-14		1	2016	48
Capital Region	0-14		1	2017	41
Capital Region	0-14		1	2018	37
Capital Region	0-14		1	2019	53
Capital Region	0-14		1	2020	35
Capital Region	0-14		1	2021	32
Capital Region	0-14	Speaks English not well or not at all	0		3
Capital Region	0-14	Speaks English not well or not at all	0	2015	4
Capital Region	0-14	Speaks English not well or not at all	0	2017	7
Capital Region	0-14	Speaks English not well or not at all	0	2019	19
Capital Region	0-14	Speaks English not well or not at all	0	2020	10
Capital Region	0-14	Speaks English not well or not at all	0	2021	8
Capital Region	0-14	Speaks English well or very well	0		20
Capital Region	0-14	Speaks English well or very well	0	2010	32
Capital Region	0-14	Speaks English well or very well	0	2015	134
Capital Region	0-14	Speaks English well or very well	0	2016	50
Capital Region	0-14	Speaks English well or very well	0	2017	60
Capital Region	0-14	Speaks English well or very well	0	2018	49
Capital Region	0-14	Speaks English well or very well	0	2019	88
Capital Region	0-14	Speaks English well or very well	0	2020	24
Capital Region	0-14	Speaks English well or very well	0	2021	14
Capital Region	15-24				6
Capital Region	15-24		1		25
Capital Region	15-24		1	2005	173
Capital Region	15-24		1	2010	239
Capital Region	15-24		1	2015	113
Capital Region	15-24		1	2016	13
Capital Region	15-24		1	2017	11
Capital Region	15-24		1	2018	27
Capital Region	15-24		1	2019	30
Capital Region	15-24		1	2020	17
Capital Region	15-24		1	2021	15
Capital Region	15-24	Speaks English not well or not at all	0		5
Capital Region	15-24	Speaks English not well or not at all	0	2015	4
Capital Region	15-24	Speaks English not well or not at all	0	2017	5
Capital Region	15-24	Speaks English not well or not at all	0	2019	12
Capital Region	15-24	Speaks English not well or not at all	0	2020	5
Capital Region	15-24	Speaks English not well or not at all	0	2021	4
Capital Region	15-24	Speaks English well or very well	0		14
Capital Region	15-24	Speaks English well or very well	0	2005	45
Capital Region	15-24	Speaks English well or very well	0	2010	141
Capital Region	15-24	Speaks English well or very well	0	2015	134
Capital Region	15-24	Speaks English well or very well	0	2016	37
Capital Region	15-24	Speaks English well or very well	0	2017	71
Capital Region	15-24	Speaks English well or very well	0	2018	70
Capital Region	15-24	Speaks English well or very well	0	2019	75
Capital Region	15-24	Speaks English well or very well	0	2020	25
Capital Region	15-24	Speaks English well or very well	0	2021	12
Capital Region	25-34				40
Capital Region	25-34		0	2019	3
Capital Region	25-34		1		38
Capital Region	25-34		1	2005	485
Capital Region	25-34		1	2010	179
Capital Region	25-34		1	2015	222
Capital Region	25-34		1	2016	49
Capital Region	25-34		1	2017	52
Capital Region	25-34		1	2018	51
Capital Region	25-34		1	2019	87
Capital Region	25-34		1	2020	39
Capital Region	25-34		1	2021	15
Capital Region	25-34	Speaks English not well or not at all	0		14
Capital Region	25-34	Speaks English not well or not at all	0	2005	10
Capital Region	25-34	Speaks English not well or not at all	0	2010	8
Capital Region	25-34	Speaks English not well or not at all	0	2015	24
Capital Region	25-34	Speaks English not well or not at all	0	2016	5
Capital Region	25-34	Speaks English not well or not at all	0	2017	12
Capital Region	25-34	Speaks English not well or not at all	0	2018	21
Capital Region	25-34	Speaks English not well or not at all	0	2019	50
Capital Region	25-34	Speaks English not well or not at all	0	2020	8
Capital Region	25-34	Speaks English not well or not at all	0	2021	8
Capital Region	25-34	Speaks English well or very well	0		31
Capital Region	25-34	Speaks English well or very well	0	2005	176
Capital Region	25-34	Speaks English well or very well	0	2010	355
Capital Region	25-34	Speaks English well or very well	0	2015	760
Capital Region	25-34	Speaks English well or very well	0	2016	287
Capital Region	25-34	Speaks English well or very well	0	2017	335
Capital Region	25-34	Speaks English well or very well	0	2018	333
Capital Region	25-34	Speaks English well or very well	0	2019	293
Capital Region	25-34	Speaks English well or very well	0	2020	84
Capital Region	25-34	Speaks English well or very well	0	2021	22
Capital Region	35-44				31
Capital Region	35-44			2005	5
Capital Region	35-44		0	2005	4
Capital Region	35-44		1		40
Capital Region	35-44		1	2005	964
Capital Region	35-44		1	2010	374
Capital Region	35-44		1	2015	240
Capital Region	35-44		1	2016	38
Capital Region	35-44		1	2017	31
Capital Region	35-44		1	2018	30
Capital Region	35-44		1	2019	27
Capital Region	35-44		1	2020	7
Capital Region	35-44		1	2021	13
Capital Region	35-44	Speaks English not well or not at all	0	2005	17
Capital Region	35-44	Speaks English not well or not at all	0	2010	30
Capital Region	35-44	Speaks English not well or not at all	0	2015	27
Capital Region	35-44	Speaks English not well or not at all	0	2016	16
Capital Region	35-44	Speaks English not well or not at all	0	2017	3
Capital Region	35-44	Speaks English not well or not at all	0	2018	8
Capital Region	35-44	Speaks English not well or not at all	0	2019	26
Capital Region	35-44	Speaks English not well or not at all	0	2020	3
Capital Region	35-44	Speaks English not well or not at all	0	2021	7
Capital Region	35-44	Speaks English well or very well	0		27
Capital Region	35-44	Speaks English well or very well	0	2005	466
Capital Region	35-44	Speaks English well or very well	0	2010	733
Capital Region	35-44	Speaks English well or very well	0	2015	580
Capital Region	35-44	Speaks English well or very well	0	2016	132
Capital Region	35-44	Speaks English well or very well	0	2017	112
Capital Region	35-44	Speaks English well or very well	0	2018	100
Capital Region	35-44	Speaks English well or very well	0	2019	124
Capital Region	35-44	Speaks English well or very well	0	2020	46
Capital Region	35-44	Speaks English well or very well	0	2021	23
Capital Region	45-54				24
Capital Region	45-54		1		75
Capital Region	45-54		1	2005	2177
Capital Region	45-54		1	2010	330
Capital Region	45-54		1	2015	166
Capital Region	45-54		1	2016	17
Capital Region	45-54		1	2017	9
Capital Region	45-54		1	2018	15
Capital Region	45-54		1	2019	19
Capital Region	45-54		1	2020	10
Capital Region	45-54		1	2021	7
Capital Region	45-54	Speaks English not well or not at all	0		10
Capital Region	45-54	Speaks English not well or not at all	0	2005	33
Capital Region	45-54	Speaks English not well or not at all	0	2010	30
Capital Region	45-54	Speaks English not well or not at all	0	2015	26
Capital Region	45-54	Speaks English not well or not at all	0	2016	4
Capital Region	45-54	Speaks English not well or not at all	0	2017	7
Capital Region	45-54	Speaks English not well or not at all	0	2018	6
Capital Region	45-54	Speaks English not well or not at all	0	2019	12
Capital Region	45-54	Speaks English not well or not at all	0	2020	3
Capital Region	45-54	Speaks English not well or not at all	0	2021	5
Capital Region	45-54	Speaks English well or very well	0		11
Capital Region	45-54	Speaks English well or very well	0	2005	703
Capital Region	45-54	Speaks English well or very well	0	2010	328
Capital Region	45-54	Speaks English well or very well	0	2015	179
Capital Region	45-54	Speaks English well or very well	0	2016	25
Capital Region	45-54	Speaks English well or very well	0	2017	14
Capital Region	45-54	Speaks English well or very well	0	2018	13
Capital Region	45-54	Speaks English well or very well	0	2019	21
Capital Region	45-54	Speaks English well or very well	0	2020	10
Capital Region	45-54	Speaks English well or very well	0	2021	4
Capital Region	55-64				11
Capital Region	55-64			2005	3
Capital Region	55-64		0	2005	5
Capital Region	55-64		1		140
Capital Region	55-64		1	2005	3968
Capital Region	55-64		1	2010	162
Capital Region	55-64		1	2015	73
Capital Region	55-64		1	2016	4
Capital Region	55-64		1	2017	11
Capital Region	55-64		1	2018	13
Capital Region	55-64		1	2019	3
Capital Region	55-64		1	2020	7
Capital Region	55-64	Speaks English not well or not at all	0		7
Capital Region	55-64	Speaks English not well or not at all	0	2005	85
Capital Region	55-64	Speaks English not well or not at all	0	2010	30
Capital Region	55-64	Speaks English not well or not at all	0	2015	27
Capital Region	55-64	Speaks English not well or not at all	0	2016	8
Capital Region	55-64	Speaks English not well or not at all	0	2017	8
Capital Region	55-64	Speaks English not well or not at all	0	2018	6
Capital Region	55-64	Speaks English not well or not at all	0	2019	28
Capital Region	55-64	Speaks English not well or not at all	0	2020	6
Capital Region	55-64	Speaks English well or very well	0		39
Capital Region	55-64	Speaks English well or very well	0	2005	884
Capital Region	55-64	Speaks English well or very well	0	2010	71
Capital Region	55-64	Speaks English well or very well	0	2015	37
Capital Region	55-64	Speaks English well or very well	0	2016	8
Capital Region	55-64	Speaks English well or very well	0	2017	4
Capital Region	55-64	Speaks English well or very well	0	2018	5
Capital Region	55-64	Speaks English well or very well	0	2019	19
Capital Region	55-64	Speaks English well or very well	0	2020	4
Capital Region	65-74				7
Capital Region	65-74			2005	15
Capital Region	65-74		0	2005	11
Capital Region	65-74		1		177
Capital Region	65-74		1	2005	4712
Capital Region	65-74		1	2010	51
Capital Region	65-74		1	2015	40
Capital Region	65-74		1	2016	5
Capital Region	65-74		1	2017	3
Capital Region	65-74		1	2018	4
Capital Region	65-74		1	2019	4
Capital Region	65-74	Speaks English not well or not at all	0		4
Capital Region	65-74	Speaks English not well or not at all	0	2005	125
Capital Region	65-74	Speaks English not well or not at all	0	2010	9
Capital Region	65-74	Speaks English not well or not at all	0	2015	6
Capital Region	65-74	Speaks English not well or not at all	0	2016	8
Capital Region	65-74	Speaks English not well or not at all	0	2017	5
Capital Region	65-74	Speaks English not well or not at all	0	2018	4
Capital Region	65-74	Speaks English not well or not at all	0	2019	19
Capital Region	65-74	Speaks English not well or not at all	0	2020	7
Capital Region	65-74	Speaks English well or very well	0		21
Capital Region	65-74	Speaks English well or very well	0	2005	914
Capital Region	65-74	Speaks English well or very well	0	2010	19
Capital Region	65-74	Speaks English well or very well	0	2015	12
Capital Region	65-74	Speaks English well or very well	0	2016	3
Capital Region	65-74	Speaks English well or very well	0	2017	4
Capital Region	65-74	Speaks English well or very well	0	2018	5
Capital Region	65-74	Speaks English well or very well	0	2019	8
Capital Region	65-74	Speaks English well or very well	0	2020	6
Capital Region	75-84				8
Capital Region	75-84			2005	15
Capital Region	75-84		0	2005	6
Capital Region	75-84		1		119
Capital Region	75-84		1	2005	2676
Capital Region	75-84		1	2010	31
Capital Region	75-84		1	2015	12
Capital Region	75-84		1	2017	3
Capital Region	75-84		1	2020	5
Capital Region	75-84	Speaks English not well or not at all	0		7
Capital Region	75-84	Speaks English not well or not at all	0	2005	150
Capital Region	75-84	Speaks English not well or not at all	0	2010	5
Capital Region	75-84	Speaks English not well or not at all	0	2015	8
Capital Region	75-84	Speaks English not well or not at all	0	2020	3
Capital Region	75-84	Speaks English well or very well	0		18
Capital Region	75-84	Speaks English well or very well	0	2005	687
Capital Region	75-84	Speaks English well or very well	0	2010	3
Capital Region	75-84	Speaks English well or very well	0	2016	3
Capital Region	75-84	Speaks English well or very well	0	2019	3
Capital Region	85+				8
Capital Region	85+			2005	6
Capital Region	85+		0		6
Capital Region	85+		1		65
Capital Region	85+		1	2005	737
Capital Region	85+		1	2010	4
Capital Region	85+		1	2019	5
Capital Region	85+	Speaks English not well or not at all	0		6
Capital Region	85+	Speaks English not well or not at all	0	2005	100
Capital Region	85+	Speaks English well or very well	0		18
Capital Region	85+	Speaks English well or very well	0	2005	255
Capital Region	85+	Speaks English well or very well	0	2019	4
Central Coast	0-14				5
Central Coast	0-14		1		54
Central Coast	0-14		1	2010	215
Central Coast	0-14		1	2015	530
Central Coast	0-14		1	2016	147
Central Coast	0-14		1	2017	105
Central Coast	0-14		1	2018	79
Central Coast	0-14		1	2019	87
Central Coast	0-14		1	2020	63
Central Coast	0-14		1	2021	28
Central Coast	0-14	Speaks English not well or not at all	0	2015	6
Central Coast	0-14	Speaks English not well or not at all	0	2016	9
Central Coast	0-14	Speaks English not well or not at all	0	2017	5
Central Coast	0-14	Speaks English not well or not at all	0	2018	5
Central Coast	0-14	Speaks English not well or not at all	0	2019	15
Central Coast	0-14	Speaks English not well or not at all	0	2020	10
Central Coast	0-14	Speaks English not well or not at all	0	2021	16
Central Coast	0-14	Speaks English well or very well	0		22
Central Coast	0-14	Speaks English well or very well	0	2010	74
Central Coast	0-14	Speaks English well or very well	0	2015	306
Central Coast	0-14	Speaks English well or very well	0	2016	86
Central Coast	0-14	Speaks English well or very well	0	2017	88
Central Coast	0-14	Speaks English well or very well	0	2018	76
