SA4_NAME16	MaxSchoolingCompleted	adults
Capital Region	Did not go to school	720
Capital Region	Year 8	8106
Capital Region	Year 9	13449
Capital Region	Year 10	50551
Capital Region	Year 11	14329
Capital Region	Year 12	94864
Central Coast	Did not go to school	1046
Central Coast	Year 8	10504
Central Coast	Year 9	22259
Central Coast	Year 10	82763
Central Coast	Year 11	20163
Central Coast	Year 12	129524
Central West	Did not go to school	639
Central West	Year 8	8314
Central West	Year 9	14281
Central West	Year 10	51805
Central West	Year 11	12134
Central West	Year 12	69190
Coffs Harbour - Grafton	Did not go to school	697
Coffs Harbour - Grafton	Year 8	5602
Coffs Harbour - Grafton	Year 9	10336
Coffs Harbour - Grafton	Year 10	36179
Coffs Harbour - Grafton	Year 11	9134
Coffs Harbour - Grafton	Year 12	48788
Far West and Orana	Did not go to school	378
Far West and Orana	Year 8	5435
Far West and Orana	Year 9	7948
Far West and Orana	Year 10	26620
Far West and Orana	Year 11	6598
Far West and Orana	Year 12	33385
Hunter Valley exc Newcastle	Did not go to school	784
Hunter Valley exc Newcastle	Year 8	10188
Hunter Valley exc Newcastle	Year 9	21637
Hunter Valley exc Newcastle	Year 10	77865
Hunter Valley exc Newcastle	Year 11	19215
Hunter Valley exc Newcastle	Year 12	89444
Illawarra	Did not go to school	1914
Illawarra	Year 8	11456
Illawarra	Year 9	18141
Illawarra	Year 10	68479
Illawarra	Year 11	17213
Illawarra	Year 12	126598
Mid North Coast	Did not go to school	510
Mid North Coast	Year 8	9872
Mid North Coast	Year 9	19521
Mid North Coast	Year 10	62737
Mid North Coast	Year 11	13836
Mid North Coast	Year 12	70847
Murray	Did not go to school	593
Murray	Year 8	5383
Murray	Year 9	8567
Murray	Year 10	25379
Murray	Year 11	12360
Murray	Year 12	39974
New England and North West	Did not go to school	741
New England and North West	Year 8	7908
New England and North West	Year 9	12818
New England and North West	Year 10	42992
New England and North West	Year 11	10438
New England and North West	Year 12	58861
Newcastle and Lake Macquarie	Did not go to school	1310
Newcastle and Lake Macquarie	Year 8	11479
Newcastle and Lake Macquarie	Year 9	25079
Newcastle and Lake Macquarie	Year 10	87938
Newcastle and Lake Macquarie	Year 11	21639
Newcastle and Lake Macquarie	Year 12	157912
Richmond - Tweed	Did not go to school	588
Richmond - Tweed	Year 8	8539
Richmond - Tweed	Year 9	15105
Richmond - Tweed	Year 10	57558
Richmond - Tweed	Year 11	15717
Richmond - Tweed	Year 12	98248
Riverina	Did not go to school	993
Riverina	Year 8	6908
Riverina	Year 9	10630
Riverina	Year 10	38124
Riverina	Year 11	10138
Riverina	Year 12	53116
Southern Highlands and Shoalhaven	Did not go to school	427
Southern Highlands and Shoalhaven	Year 8	5478
Southern Highlands and Shoalhaven	Year 9	11144
Southern Highlands and Shoalhaven	Year 10	39346
Southern Highlands and Shoalhaven	Year 11	9274
Southern Highlands and Shoalhaven	Year 12	59213
Sydney - Baulkham Hills and Hawkesbury	Did not go to school	1057
Sydney - Baulkham Hills and Hawkesbury	Year 8	4451
Sydney - Baulkham Hills and Hawkesbury	Year 9	9019
