CED_NAME21	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Banks	0-14		0	2017	3
Banks	0-14		0	2019	6
Banks	0-14		0	2020	3
Banks	0-14		1		24
Banks	0-14		1	2010	59
Banks	0-14		1	2015	226
Banks	0-14		1	2016	51
Banks	0-14		1	2017	51
Banks	0-14		1	2018	66
Banks	0-14		1	2019	49
Banks	0-14		1	2020	19
Banks	0-14		1	2021	14
Banks	0-14	Speaks English not well or not at all	0		11
Banks	0-14	Speaks English not well or not at all	0	2010	3
Banks	0-14	Speaks English not well or not at all	0	2015	4
Banks	0-14	Speaks English not well or not at all	0	2016	5
Banks	0-14	Speaks English not well or not at all	0	2017	8
Banks	0-14	Speaks English not well or not at all	0	2018	16
Banks	0-14	Speaks English not well or not at all	0	2019	35
Banks	0-14	Speaks English not well or not at all	0	2020	18
Banks	0-14	Speaks English not well or not at all	0	2021	9
Banks	0-14	Speaks English well or very well	0		43
Banks	0-14	Speaks English well or very well	0	2010	102
Banks	0-14	Speaks English well or very well	0	2015	445
Banks	0-14	Speaks English well or very well	0	2016	112
Banks	0-14	Speaks English well or very well	0	2017	138
Banks	0-14	Speaks English well or very well	0	2018	119
Banks	0-14	Speaks English well or very well	0	2019	113
Banks	0-14	Speaks English well or very well	0	2020	40
Banks	0-14	Speaks English well or very well	0	2021	14
Banks	15-24				12
Banks	15-24		0	2015	3
Banks	15-24		1		30
Banks	15-24		1	2005	212
Banks	15-24		1	2010	264
Banks	15-24		1	2015	109
Banks	15-24		1	2016	27
Banks	15-24		1	2017	30
Banks	15-24		1	2018	54
Banks	15-24		1	2019	50
Banks	15-24		1	2020	15
Banks	15-24		1	2021	3
Banks	15-24	Speaks English not well or not at all	0		9
Banks	15-24	Speaks English not well or not at all	0	2005	4
Banks	15-24	Speaks English not well or not at all	0	2010	9
Banks	15-24	Speaks English not well or not at all	0	2015	20
Banks	15-24	Speaks English not well or not at all	0	2016	11
Banks	15-24	Speaks English not well or not at all	0	2017	23
Banks	15-24	Speaks English not well or not at all	0	2018	28
Banks	15-24	Speaks English not well or not at all	0	2019	37
Banks	15-24	Speaks English not well or not at all	0	2020	11
Banks	15-24	Speaks English not well or not at all	0	2021	10
Banks	15-24	Speaks English well or very well	0		69
Banks	15-24	Speaks English well or very well	0	2005	403
Banks	15-24	Speaks English well or very well	0	2010	630
Banks	15-24	Speaks English well or very well	0	2015	591
Banks	15-24	Speaks English well or very well	0	2016	225
Banks	15-24	Speaks English well or very well	0	2017	460
Banks	15-24	Speaks English well or very well	0	2018	656
Banks	15-24	Speaks English well or very well	0	2019	544
Banks	15-24	Speaks English well or very well	0	2020	186
Banks	15-24	Speaks English well or very well	0	2021	17
Banks	25-34				27
Banks	25-34			2010	7
Banks	25-34			2015	3
Banks	25-34			2019	4
Banks	25-34		0		7
Banks	25-34		0	2017	3
Banks	25-34		0	2018	5
Banks	25-34		0	2019	4
Banks	25-34		1		36
Banks	25-34		1	2005	589
Banks	25-34		1	2010	215
Banks	25-34		1	2015	300
Banks	25-34		1	2016	71
Banks	25-34		1	2017	77
Banks	25-34		1	2018	78
Banks	25-34		1	2019	57
Banks	25-34		1	2020	24
Banks	25-34		1	2021	6
Banks	25-34	Speaks English not well or not at all	0		31
Banks	25-34	Speaks English not well or not at all	0	2005	26
Banks	25-34	Speaks English not well or not at all	0	2010	134
Banks	25-34	Speaks English not well or not at all	0	2015	213
Banks	25-34	Speaks English not well or not at all	0	2016	63
Banks	25-34	Speaks English not well or not at all	0	2017	76
Banks	25-34	Speaks English not well or not at all	0	2018	97
Banks	25-34	Speaks English not well or not at all	0	2019	67
Banks	25-34	Speaks English not well or not at all	0	2020	20
Banks	25-34	Speaks English not well or not at all	0	2021	6
Banks	25-34	Speaks English well or very well	0		140
Banks	25-34	Speaks English well or very well	0	2005	1426
Banks	25-34	Speaks English well or very well	0	2010	1568
Banks	25-34	Speaks English well or very well	0	2015	1961
Banks	25-34	Speaks English well or very well	0	2016	643
Banks	25-34	Speaks English well or very well	0	2017	760
Banks	25-34	Speaks English well or very well	0	2018	888
Banks	25-34	Speaks English well or very well	0	2019	780
Banks	25-34	Speaks English well or very well	0	2020	155
Banks	25-34	Speaks English well or very well	0	2021	22
Banks	35-44				20
Banks	35-44		0	2005	6
Banks	35-44		0	2015	9
Banks	35-44		1		33
Banks	35-44		1	2005	1232
Banks	35-44		1	2010	411
Banks	35-44		1	2015	290
Banks	35-44		1	2016	45
Banks	35-44		1	2017	27
Banks	35-44		1	2018	30
Banks	35-44		1	2019	19
Banks	35-44		1	2020	8
Banks	35-44		1	2021	11
Banks	35-44	Speaks English not well or not at all	0		28
Banks	35-44	Speaks English not well or not at all	0	2005	173
Banks	35-44	Speaks English not well or not at all	0	2010	322
Banks	35-44	Speaks English not well or not at all	0	2015	237
Banks	35-44	Speaks English not well or not at all	0	2016	58
Banks	35-44	Speaks English not well or not at all	0	2017	97
Banks	35-44	Speaks English not well or not at all	0	2018	72
Banks	35-44	Speaks English not well or not at all	0	2019	59
Banks	35-44	Speaks English not well or not at all	0	2020	17
Banks	35-44	Speaks English not well or not at all	0	2021	3
Banks	35-44	Speaks English well or very well	0		94
Banks	35-44	Speaks English well or very well	0	2005	3738
Banks	35-44	Speaks English well or very well	0	2010	2547
Banks	35-44	Speaks English well or very well	0	2015	1344
Banks	35-44	Speaks English well or very well	0	2016	259
Banks	35-44	Speaks English well or very well	0	2017	247
Banks	35-44	Speaks English well or very well	0	2018	204
Banks	35-44	Speaks English well or very well	0	2019	153
Banks	35-44	Speaks English well or very well	0	2020	48
Banks	35-44	Speaks English well or very well	0	2021	18
Banks	45-54				14
Banks	45-54			2010	3
Banks	45-54		0	2005	5
Banks	45-54		1		35
Banks	45-54		1	2005	1818
Banks	45-54		1	2010	186
Banks	45-54		1	2015	122
Banks	45-54		1	2016	19
Banks	45-54		1	2017	12
Banks	45-54		1	2018	13
Banks	45-54		1	2019	11
Banks	45-54		1	2020	5
Banks	45-54	Speaks English not well or not at all	0		37
Banks	45-54	Speaks English not well or not at all	0	2005	751
Banks	45-54	Speaks English not well or not at all	0	2010	381
Banks	45-54	Speaks English not well or not at all	0	2015	241
Banks	45-54	Speaks English not well or not at all	0	2016	55
Banks	45-54	Speaks English not well or not at all	0	2017	65
Banks	45-54	Speaks English not well or not at all	0	2018	50
Banks	45-54	Speaks English not well or not at all	0	2019	54
Banks	45-54	Speaks English not well or not at all	0	2020	24
Banks	45-54	Speaks English well or very well	0		67
Banks	45-54	Speaks English well or very well	0	2005	4600
Banks	45-54	Speaks English well or very well	0	2010	937
Banks	45-54	Speaks English well or very well	0	2015	336
Banks	45-54	Speaks English well or very well	0	2016	37
Banks	45-54	Speaks English well or very well	0	2017	43
Banks	45-54	Speaks English well or very well	0	2018	30
Banks	45-54	Speaks English well or very well	0	2019	29
Banks	45-54	Speaks English well or very well	0	2020	20
Banks	55-64				28
Banks	55-64			2005	6
Banks	55-64		0	2005	6
Banks	55-64		0	2019	3
Banks	55-64		1		20
Banks	55-64		1	2005	2151
Banks	55-64		1	2010	75
Banks	55-64		1	2015	26
Banks	55-64		1	2016	10
Banks	55-64		1	2017	3
Banks	55-64		1	2018	6
Banks	55-64	Speaks English not well or not at all	0		77
Banks	55-64	Speaks English not well or not at all	0	2005	2241
Banks	55-64	Speaks English not well or not at all	0	2010	354
Banks	55-64	Speaks English not well or not at all	0	2015	302
Banks	55-64	Speaks English not well or not at all	0	2016	64
Banks	55-64	Speaks English not well or not at all	0	2017	59
Banks	55-64	Speaks English not well or not at all	0	2018	48
Banks	55-64	Speaks English not well or not at all	0	2019	131
Banks	55-64	Speaks English not well or not at all	0	2020	46
Banks	55-64	Speaks English not well or not at all	0	2021	10
Banks	55-64	Speaks English well or very well	0		83
Banks	55-64	Speaks English well or very well	0	2005	5351
Banks	55-64	Speaks English well or very well	0	2010	214
Banks	55-64	Speaks English well or very well	0	2015	93
Banks	55-64	Speaks English well or very well	0	2016	13
Banks	55-64	Speaks English well or very well	0	2017	9
Banks	55-64	Speaks English well or very well	0	2018	8
Banks	55-64	Speaks English well or very well	0	2019	14
Banks	55-64	Speaks English well or very well	0	2020	19
Banks	55-64	Speaks English well or very well	0	2021	4
Banks	65-74				34
Banks	65-74			2005	8
Banks	65-74		0	2005	7
Banks	65-74		1		26
Banks	65-74		1	2005	1659
Banks	65-74		1	2010	21
Banks	65-74		1	2015	10
Banks	65-74		1	2019	5
Banks	65-74		1	2021	3
