CED_NAME21	IndigenousStatus	persons
Banks	Aboriginal	1550
Banks	Both Aboriginal & Torres Strait Islander	28
Banks	Non-indigenous	161277
Banks	Torres Strait Islander	38
Barton	Aboriginal	1268
Barton	Both Aboriginal & Torres Strait Islander	46
Barton	Non-indigenous	180289
Barton	Torres Strait Islander	40
Bennelong	Aboriginal	834
Bennelong	Both Aboriginal & Torres Strait Islander	26
Bennelong	Non-indigenous	190320
Bennelong	Torres Strait Islander	39
Berowra	Aboriginal	973
Berowra	Both Aboriginal & Torres Strait Islander	18
Berowra	Non-indigenous	151555
Berowra	Torres Strait Islander	25
Blaxland	Aboriginal	963
Blaxland	Both Aboriginal & Torres Strait Islander	33
Blaxland	Non-indigenous	187565
Blaxland	Torres Strait Islander	46
Bradfield	Aboriginal	399
Bradfield	Both Aboriginal & Torres Strait Islander	17
Bradfield	Non-indigenous	168739
Bradfield	Torres Strait Islander	27
Calare	Aboriginal	12786
Calare	Both Aboriginal & Torres Strait Islander	265
Calare	Non-indigenous	155972
Calare	Torres Strait Islander	209
Chifley	Aboriginal	8090
Chifley	Both Aboriginal & Torres Strait Islander	187
Chifley	Non-indigenous	193631
Chifley	Torres Strait Islander	155
Cook	Aboriginal	1816
Cook	Both Aboriginal & Torres Strait Islander	39
Cook	Non-indigenous	147552
Cook	Torres Strait Islander	43
Cowper	Aboriginal	11751
Cowper	Both Aboriginal & Torres Strait Islander	266
Cowper	Non-indigenous	158020
Cowper	Torres Strait Islander	168
Cunningham	Aboriginal	4207
Cunningham	Both Aboriginal & Torres Strait Islander	69
Cunningham	Non-indigenous	157299
Cunningham	Torres Strait Islander	101
Dobell	Aboriginal	9107
Dobell	Both Aboriginal & Torres Strait Islander	157
Dobell	Non-indigenous	153267
Dobell	Torres Strait Islander	191
Eden-Monaro	Aboriginal	6058
Eden-Monaro	Both Aboriginal & Torres Strait Islander	100
Eden-Monaro	Non-indigenous	155257
Eden-Monaro	Torres Strait Islander	115
Farrer	Aboriginal	8168
Farrer	Both Aboriginal & Torres Strait Islander	169
Farrer	Non-indigenous	164639
Farrer	Torres Strait Islander	140
Fowler	Aboriginal	1405
Fowler	Both Aboriginal & Torres Strait Islander	32
Fowler	Non-indigenous	172036
Fowler	Torres Strait Islander	50
Gilmore	Aboriginal	9203
Gilmore	Both Aboriginal & Torres Strait Islander	163
Gilmore	Non-indigenous	154209
Gilmore	Torres Strait Islander	168
Grayndler	Aboriginal	1684
Grayndler	Both Aboriginal & Torres Strait Islander	63
Grayndler	Non-indigenous	148932
Grayndler	Torres Strait Islander	50
Greenway	Aboriginal	3149
Greenway	Both Aboriginal & Torres Strait Islander	81
Greenway	Non-indigenous	198251
Greenway	Torres Strait Islander	61
Hughes	Aboriginal	2210
Hughes	Both Aboriginal & Torres Strait Islander	56
Hughes	Non-indigenous	147983
Hughes	Torres Strait Islander	51
Hume	Aboriginal	6912
Hume	Both Aboriginal & Torres Strait Islander	97
Hume	Non-indigenous	164947
Hume	Torres Strait Islander	138
Hunter	Aboriginal	13461
Hunter	Both Aboriginal & Torres Strait Islander	311
Hunter	Non-indigenous	160394
Hunter	Torres Strait Islander	254
Kingsford Smith	Aboriginal	3231
Kingsford Smith	Both Aboriginal & Torres Strait Islander	103
Kingsford Smith	Non-indigenous	178541
Kingsford Smith	Torres Strait Islander	58
Lindsay	Aboriginal	9570
Lindsay	Both Aboriginal & Torres Strait Islander	147
Lindsay	Non-indigenous	177966
Lindsay	Torres Strait Islander	168
Lyne	Aboriginal	10202
Lyne	Both Aboriginal & Torres Strait Islander	172
Lyne	Non-indigenous	146785
Lyne	Torres Strait Islander	188
Macarthur	Aboriginal	7600
Macarthur	Both Aboriginal & Torres Strait Islander	113
Macarthur	Non-indigenous	197661
Macarthur	Torres Strait Islander	127
Mackellar	Aboriginal	1057
Mackellar	Both Aboriginal & Torres Strait Islander	36
Mackellar	Non-indigenous	154265
Mackellar	Torres Strait Islander	29
Macquarie	Aboriginal	5222
Macquarie	Both Aboriginal & Torres Strait Islander	65
Macquarie	Non-indigenous	139972
Macquarie	Torres Strait Islander	71
McMahon	Aboriginal	2235
McMahon	Both Aboriginal & Torres Strait Islander	45
McMahon	Non-indigenous	173303
McMahon	Torres Strait Islander	66
Mitchell	Aboriginal	1086
Mitchell	Both Aboriginal & Torres Strait Islander	33
Mitchell	Non-indigenous	187074
Mitchell	Torres Strait Islander	19
New England	Aboriginal	15784
New England	Both Aboriginal & Torres Strait Islander	400
New England	Non-indigenous	142239
New England	Torres Strait Islander	226
Newcastle	Aboriginal	6783
Newcastle	Both Aboriginal & Torres Strait Islander	116
Newcastle	Non-indigenous	159134
Newcastle	Torres Strait Islander	129
North Sydney	Aboriginal	565
North Sydney	Both Aboriginal & Torres Strait Islander	16
North Sydney	Non-indigenous	166602
North Sydney	Torres Strait Islander	26
Page	Aboriginal	10622
Page	Both Aboriginal & Torres Strait Islander	338
Page	Non-indigenous	157586
Page	Torres Strait Islander	238
Parkes	Aboriginal	24717
Parkes	Both Aboriginal & Torres Strait Islander	441
Parkes	Non-indigenous	129619
Parkes	Torres Strait Islander	190
Parramatta	Aboriginal	1495
Parramatta	Both Aboriginal & Torres Strait Islander	37
Parramatta	Non-indigenous	201679
Parramatta	Torres Strait Islander	67
Paterson	Aboriginal	12965
Paterson	Both Aboriginal & Torres Strait Islander	308
Paterson	Non-indigenous	162050
Paterson	Torres Strait Islander	255
Reid	Aboriginal	1158
Reid	Both Aboriginal & Torres Strait Islander	30
Reid	Non-indigenous	200573
Reid	Torres Strait Islander	59
Richmond	Aboriginal	5489
Richmond	Both Aboriginal & Torres Strait Islander	456
Richmond	Non-indigenous	161173
Richmond	Torres Strait Islander	318
Riverina	Aboriginal	11723
Riverina	Both Aboriginal & Torres Strait Islander	194
Riverina	Non-indigenous	149272
Riverina	Torres Strait Islander	160
Robertson	Aboriginal	5155
Robertson	Both Aboriginal & Torres Strait Islander	77
Robertson	Non-indigenous	146656
Robertson	Torres Strait Islander	85
Shortland	Aboriginal	7777
Shortland	Both Aboriginal & Torres Strait Islander	131
Shortland	Non-indigenous	143884
Shortland	Torres Strait Islander	130
Sydney	Aboriginal	2806
Sydney	Both Aboriginal & Torres Strait Islander	77
Sydney	Non-indigenous	201245
Sydney	Torres Strait Islander	87
Warringah	Aboriginal	681
Warringah	Both Aboriginal & Torres Strait Islander	22
Warringah	Non-indigenous	150082
Warringah	Torres Strait Islander	34
Watson	Aboriginal	951
Watson	Both Aboriginal & Torres Strait Islander	37
Watson	Non-indigenous	182121
Watson	Torres Strait Islander	45
Wentworth	Aboriginal	561
Wentworth	Both Aboriginal & Torres Strait Islander	21
Wentworth	Non-indigenous	145482
Wentworth	Torres Strait Islander	38
Werriwa	Aboriginal	3522
Werriwa	Both Aboriginal & Torres Strait Islander	72
Werriwa	Non-indigenous	195513
Werriwa	Torres Strait Islander	65
Whitlam	Aboriginal	6935
Whitlam	Both Aboriginal & Torres Strait Islander	107
Whitlam	Non-indigenous	161385
Whitlam	Torres Strait Islander	118
No usual address (NSW)	Aboriginal	1175
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	35
No usual address (NSW)	Non-indigenous	10141
No usual address (NSW)	Torres Strait Islander	20
Aston	Aboriginal	974
Aston	Both Aboriginal & Torres Strait Islander	22
Aston	Non-indigenous	158078
Aston	Torres Strait Islander	29
Ballarat	Aboriginal	2488
Ballarat	Both Aboriginal & Torres Strait Islander	60
Ballarat	Non-indigenous	149601
Ballarat	Torres Strait Islander	94
Bendigo	Aboriginal	2943
Bendigo	Both Aboriginal & Torres Strait Islander	64
Bendigo	Non-indigenous	149447
Bendigo	Torres Strait Islander	101
Bruce	Aboriginal	944
Bruce	Both Aboriginal & Torres Strait Islander	21
Bruce	Non-indigenous	178135
Bruce	Torres Strait Islander	39
Calwell	Aboriginal	1191
Calwell	Both Aboriginal & Torres Strait Islander	25
Calwell	Non-indigenous	187211
Calwell	Torres Strait Islander	55
Casey	Aboriginal	1606
Casey	Both Aboriginal & Torres Strait Islander	38
Casey	Non-indigenous	155730
Casey	Torres Strait Islander	70
Chisholm	Aboriginal	438
Chisholm	Both Aboriginal & Torres Strait Islander	22
Chisholm	Non-indigenous	183179
Chisholm	Torres Strait Islander	16
Cooper	Aboriginal	1401
Cooper	Both Aboriginal & Torres Strait Islander	46
Cooper	Non-indigenous	154785
Cooper	Torres Strait Islander	47
