STE_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
New South Wales			Couple family with children	1359
New South Wales			Couple family with no children	1644
New South Wales			Group household	446
New South Wales			Lone-person household	3685
New South Wales			One parent family with children	547
New South Wales			Other family	78
New South Wales	(Other)	Cabin household	Couple family with children	202
New South Wales	(Other)	Cabin household	Couple family with no children	1465
New South Wales	(Other)	Cabin household	Group household	214
New South Wales	(Other)	Cabin household	Lone-person household	3775
New South Wales	(Other)	Cabin household	One parent family with children	333
New South Wales	(Other)	Cabin household	Other family	54
New South Wales	(Other)	Caravan	Couple family with children	164
New South Wales	(Other)	Caravan	Couple family with no children	852
New South Wales	(Other)	Caravan	Group household	128
New South Wales	(Other)	Caravan	Lone-person household	2381
New South Wales	(Other)	Caravan	One parent family with children	167
New South Wales	(Other)	Caravan	Other family	23
New South Wales	(Other)	House or flat attached to a shop, office, etc	Couple family with children	1557
New South Wales	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	2083
New South Wales	(Other)	House or flat attached to a shop, office, etc	Group household	1019
New South Wales	(Other)	House or flat attached to a shop, office, etc	Lone-person household	3377
New South Wales	(Other)	House or flat attached to a shop, office, etc	One parent family with children	841
New South Wales	(Other)	House or flat attached to a shop, office, etc	Other family	189
New South Wales	(Other)	Improvised home, tent sleepers	Couple family with children	56
New South Wales	(Other)	Improvised home, tent sleepers	Couple family with no children	120
New South Wales	(Other)	Improvised home, tent sleepers	Group household	28
New South Wales	(Other)	Improvised home, tent sleepers	Lone-person household	295
New South Wales	(Other)	Improvised home, tent sleepers	One parent family with children	44
New South Wales	(Other)	Improvised home, tent sleepers	Other family	4
New South Wales	Flat/apartment		Couple family with children	2843
New South Wales	Flat/apartment		Couple family with no children	2447
New South Wales	Flat/apartment		Group household	546
New South Wales	Flat/apartment		Lone-person household	3321
New South Wales	Flat/apartment		One parent family with children	1240
New South Wales	Flat/apartment		Other family	159
New South Wales	Flat/apartment	1 or 2 storey block	Couple family with children	18858
New South Wales	Flat/apartment	1 or 2 storey block	Couple family with no children	26523
New South Wales	Flat/apartment	1 or 2 storey block	Group household	8092
New South Wales	Flat/apartment	1 or 2 storey block	Lone-person household	65783
New South Wales	Flat/apartment	1 or 2 storey block	One parent family with children	12140
New South Wales	Flat/apartment	1 or 2 storey block	Other family	1875
New South Wales	Flat/apartment	3 storey block	Couple family with children	28859
New South Wales	Flat/apartment	3 storey block	Couple family with no children	40630
New South Wales	Flat/apartment	3 storey block	Group household	12515
New South Wales	Flat/apartment	3 storey block	Lone-person household	65344
New South Wales	Flat/apartment	3 storey block	One parent family with children	15658
New South Wales	Flat/apartment	3 storey block	Other family	2740
New South Wales	Flat/apartment	4-8 storey block	Couple family with children	37909
New South Wales	Flat/apartment	4-8 storey block	Couple family with no children	57443
New South Wales	Flat/apartment	4-8 storey block	Group household	13826
New South Wales	Flat/apartment	4-8 storey block	Lone-person household	69583
New South Wales	Flat/apartment	4-8 storey block	One parent family with children	15270
New South Wales	Flat/apartment	4-8 storey block	Other family	3138
New South Wales	Flat/apartment	9 or more storey block	Couple family with children	20642
New South Wales	Flat/apartment	9 or more storey block	Couple family with no children	39351
New South Wales	Flat/apartment	9 or more storey block	Group household	11601
New South Wales	Flat/apartment	9 or more storey block	Lone-person household	42202
New South Wales	Flat/apartment	9 or more storey block	One parent family with children	7243
New South Wales	Flat/apartment	9 or more storey block	Other family	2262
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	60665
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	42770
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Group household	9444
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	50885
New South Wales	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	25912
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Other family	2264
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	26479
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	32723
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	5633
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	65977
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	16214
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	1606
New South Wales	Separate house		Couple family with children	742649
New South Wales	Separate house		Couple family with no children	515150
New South Wales	Separate house		Group household	48156
New South Wales	Separate house		Lone-person household	347123
New South Wales	Separate house		One parent family with children	229987
New South Wales	Separate house		Other family	19661
Victoria			Couple family with children	515
Victoria			Couple family with no children	678
Victoria			Group household	211
Victoria			Lone-person household	1328
Victoria			One parent family with children	209
Victoria			Other family	35
Victoria	(Other)	Cabin household	Couple family with children	110
Victoria	(Other)	Cabin household	Couple family with no children	705
