STE_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
New South Wales	0-4	0		2119
New South Wales	0-4	0	Both	37869
New South Wales	0-4	0	Father only	3116
New South Wales	0-4	0	Mother only	5895
New South Wales	0-4	0	Neither	7817
New South Wales	0-4	1		1697
New South Wales	0-4	1	Both	191131
New South Wales	0-4	1	Father only	34727
New South Wales	0-4	1	Mother only	33620
New South Wales	0-4	1	Neither	121493
New South Wales	5-9	0		2314
New South Wales	5-9	0	Both	51374
New South Wales	5-9	0	Father only	5415
New South Wales	5-9	0	Mother only	8815
New South Wales	5-9	0	Neither	14056
New South Wales	5-9	1		1894
New South Wales	5-9	1	Both	187920
New South Wales	5-9	1	Father only	33150
New South Wales	5-9	1	Mother only	33654
New South Wales	5-9	1	Neither	130039
New South Wales	10-12	0		1382
New South Wales	10-12	0	Both	34847
New South Wales	10-12	0	Father only	4126
New South Wales	10-12	0	Mother only	6081
New South Wales	10-12	0	Neither	10724
New South Wales	10-12	1		930
New South Wales	10-12	1	Both	114751
New South Wales	10-12	1	Father only	18832
New South Wales	10-12	1	Mother only	20647
New South Wales	10-12	1	Neither	70332
New South Wales	13-14	0		928
New South Wales	13-14	0	Both	25165
New South Wales	13-14	0	Father only	3052
New South Wales	13-14	0	Mother only	4608
New South Wales	13-14	0	Neither	8171
New South Wales	13-14	1		601
New South Wales	13-14	1	Both	76037
New South Wales	13-14	1	Father only	11666
New South Wales	13-14	1	Mother only	13648
New South Wales	13-14	1	Neither	42634
New South Wales	15-17	0		687
New South Wales	15-17	0	Both	28609
New South Wales	15-17	0	Father only	3871
New South Wales	15-17	0	Mother only	5730
New South Wales	15-17	0	Neither	12038
New South Wales	15-17	1		361
New South Wales	15-17	1	Both	91755
New South Wales	15-17	1	Father only	14019
New South Wales	15-17	1	Mother only	17199
New South Wales	15-17	1	Neither	54085
New South Wales	18-20	0		218
New South Wales	18-20	0	Both	8316
New South Wales	18-20	0	Father only	1637
New South Wales	18-20	0	Mother only	2314
New South Wales	18-20	0	Neither	8109
New South Wales	18-20	1		126
New South Wales	18-20	1	Both	34523
New South Wales	18-20	1	Father only	6334
New South Wales	18-20	1	Mother only	7825
New South Wales	18-20	1	Neither	35791
New South Wales	21-24	0		79
New South Wales	21-24	0	Both	3675
New South Wales	21-24	0	Father only	899
New South Wales	21-24	0	Mother only	1223
New South Wales	21-24	0	Neither	5441
New South Wales	21-24	1		71
New South Wales	21-24	1	Both	14782
New South Wales	21-24	1	Father only	2894
New South Wales	21-24	1	Mother only	3535
New South Wales	21-24	1	Neither	21409
Victoria	0-4	0		1538
Victoria	0-4	0	Both	22456
Victoria	0-4	0	Father only	2213
Victoria	0-4	0	Mother only	4191
Victoria	0-4	0	Neither	7751
Victoria	0-4	1		1373
Victoria	0-4	1	Both	153203
Victoria	0-4	1	Father only	27256
Victoria	0-4	1	Mother only	25229
Victoria	0-4	1	Neither	110941
Victoria	5-9	0		1775
Victoria	5-9	0	Both	34926
Victoria	5-9	0	Father only	4069
Victoria	5-9	0	Mother only	6150
Victoria	5-9	0	Neither	13384
Victoria	5-9	1		1467
Victoria	5-9	1	Both	151793
Victoria	5-9	1	Father only	25548
