STE_NAME16	Age	MaritalStatus	Registered	adults
New South Wales	15-19	Married	0	4439
New South Wales	15-19	Married	1	252
New South Wales	15-19	Never married		415766
New South Wales	20-24	Married	0	55790
New South Wales	20-24	Married	1	15519
New South Wales	20-24	Never married		371789
New South Wales	25-34	Married	0	234122
New South Wales	25-34	Married	1	347089
New South Wales	25-34	Never married		457444
New South Wales	35-44	Married	0	129436
New South Wales	35-44	Married	1	632051
New South Wales	35-44	Never married		258843
New South Wales	45-54	Married	0	97257
New South Wales	45-54	Married	1	579957
New South Wales	45-54	Never married		268280
New South Wales	55-64	Married	0	69639
New South Wales	55-64	Married	1	543026
New South Wales	55-64	Never married		277454
New South Wales	65-74	Married	0	34614
New South Wales	65-74	Married	1	452813
New South Wales	65-74	Never married		235556
New South Wales	75-84	Married	0	10365
New South Wales	75-84	Married	1	229672
New South Wales	75-84	Never married		163184
New South Wales	85+	Married	0	1385
New South Wales	85+	Married	1	47556
New South Wales	85+	Never married		84231
Victoria	15-19	Married	0	2483
Victoria	15-19	Married	1	189
Victoria	15-19	Never married		332978
Victoria	20-24	Married	0	41607
Victoria	20-24	Married	1	9541
Victoria	20-24	Never married		318223
Victoria	25-34	Married	0	215316
Victoria	25-34	Married	1	280372
Victoria	25-34	Never married		399334
Victoria	35-44	Married	0	116226
Victoria	35-44	Married	1	528872
Victoria	35-44	Never married		211273
Victoria	45-54	Married	0	82687
Victoria	45-54	Married	1	471724
Victoria	45-54	Never married		218407
Victoria	55-64	Married	0	53575
Victoria	55-64	Married	1	425185
Victoria	55-64	Never married		212386
Victoria	65-74	Married	0	25012
Victoria	65-74	Married	1	348290
Victoria	65-74	Never married		176591
Victoria	75-84	Married	0	7111
Victoria	75-84	Married	1	176967
Victoria	75-84	Never married		121550
Victoria	85+	Married	0	939
Victoria	85+	Married	1	37109
Victoria	85+	Never married		64160
Queensland	15-19	Married	0	5102
Queensland	15-19	Married	1	191
Queensland	15-19	Never married		276476
Queensland	20-24	Married	0	54908
Queensland	20-24	Married	1	9168
Queensland	20-24	Never married		216801
Queensland	25-34	Married	0	170342
Queensland	25-34	Married	1	193930
Queensland	25-34	Never married		256235
Queensland	35-44	Married	0	97687
Queensland	35-44	Married	1	360176
Queensland	35-44	Never married		165897
Queensland	45-54	Married	0	73983
Queensland	45-54	Married	1	359297
Queensland	45-54	Never married		178742
Queensland	55-64	Married	0	49686
Queensland	55-64	Married	1	330796
Queensland	55-64	Never married		172960
Queensland	65-74	Married	0	23736
Queensland	65-74	Married	1	280752
Queensland	65-74	Never married		147847
Queensland	75-84	Married	0	7125
Queensland	75-84	Married	1	138616
Queensland	75-84	Never married		97553
Queensland	85+	Married	0	896
Queensland	85+	Married	1	24355
Queensland	85+	Never married		44004
South Australia	15-19	Married	0	1022
South Australia	15-19	Married	1	72
South Australia	15-19	Never married		90090
South Australia	20-24	Married	0	13612
South Australia	20-24	Married	1	3021
South Australia	20-24	Never married		81137
South Australia	25-34	Married	0	51449
South Australia	25-34	Married	1	70454
South Australia	25-34	Never married		92486
South Australia	35-44	Married	0	29633
South Australia	35-44	Married	1	122854
South Australia	35-44	Never married		57077
South Australia	45-54	Married	0	24075
South Australia	45-54	Married	1	119393
South Australia	45-54	Never married		64468
South Australia	55-64	Married	0	18471
South Australia	55-64	Married	1	121991
South Australia	55-64	Never married		68084
South Australia	65-74	Married	0	9242
South Australia	65-74	Married	1	111866
South Australia	65-74	Never married		57363
South Australia	75-84	Married	0	2505
South Australia	75-84	Married	1	58676
South Australia	75-84	Never married		39253
South Australia	85+	Married	0	342
