STE_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
New South Wales	0-14				166
New South Wales	0-14			2010	8
New South Wales	0-14			2015	33
New South Wales	0-14			2016	17
New South Wales	0-14			2017	15
New South Wales	0-14			2018	21
New South Wales	0-14			2019	23
New South Wales	0-14			2020	29
New South Wales	0-14			2021	29
New South Wales	0-14		0		61
New South Wales	0-14		0	2010	7
New South Wales	0-14		0	2015	34
New South Wales	0-14		0	2016	19
New South Wales	0-14		0	2017	36
New South Wales	0-14		0	2018	72
New South Wales	0-14		0	2019	147
New South Wales	0-14		0	2020	156
New South Wales	0-14		0	2021	103
New South Wales	0-14		1		1680
New South Wales	0-14		1	2010	4867
New South Wales	0-14		1	2015	13591
New South Wales	0-14		1	2016	3366
New South Wales	0-14		1	2017	3384
New South Wales	0-14		1	2018	3483
New South Wales	0-14		1	2019	3628
New South Wales	0-14		1	2020	2283
New South Wales	0-14		1	2021	1160
New South Wales	0-14	Speaks English not well or not at all	0		530
New South Wales	0-14	Speaks English not well or not at all	0	2010	40
New South Wales	0-14	Speaks English not well or not at all	0	2015	313
New South Wales	0-14	Speaks English not well or not at all	0	2016	305
New South Wales	0-14	Speaks English not well or not at all	0	2017	474
New South Wales	0-14	Speaks English not well or not at all	0	2018	867
New South Wales	0-14	Speaks English not well or not at all	0	2019	1823
New South Wales	0-14	Speaks English not well or not at all	0	2020	1141
New South Wales	0-14	Speaks English not well or not at all	0	2021	957
New South Wales	0-14	Speaks English well or very well	0		1956
New South Wales	0-14	Speaks English well or very well	0	2010	4561
New South Wales	0-14	Speaks English well or very well	0	2015	20563
New South Wales	0-14	Speaks English well or very well	0	2016	8200
New South Wales	0-14	Speaks English well or very well	0	2017	7830
New South Wales	0-14	Speaks English well or very well	0	2018	7934
New South Wales	0-14	Speaks English well or very well	0	2019	8349
New South Wales	0-14	Speaks English well or very well	0	2020	3302
New South Wales	0-14	Speaks English well or very well	0	2021	1135
New South Wales	15-24				491
New South Wales	15-24			2005	19
