LGA_NAME16	Ancestry	responses
Albury		3389
Albury	Australian	21451
Albury	Australian Aboriginal	2042
Albury	Chinese	460
Albury	Croatian	233
Albury	Dutch	987
Albury	English	22231
Albury	Filipino	582
Albury	French	229
Albury	German	4142
Albury	Greek	351
Albury	Hungarian	173
Albury	Indian	907
Albury	Irish	7409
Albury	Italian	1382
Albury	Korean	67
Albury	Lebanese	143
Albury	Macedonian	15
Albury	Maltese	162
Albury	Maori	180
Albury	NZ	279
Albury	(Other)	4541
Albury	Polish	354
Albury	Russian	105
Albury	Samoan	26
Albury	Scottish	6066
Albury	Serbian	123
Albury	South African	125
Albury	Spanish	176
Albury	Sri Lankan	71
Albury	Vietnamese	86
Albury	Welsh	273
Armidale Regional		2915
Armidale Regional	Australian	10504
Armidale Regional	Australian Aboriginal	2111
Armidale Regional	Chinese	433
Armidale Regional	Croatian	29
Armidale Regional	Dutch	333
Armidale Regional	English	10773
Armidale Regional	Filipino	202
Armidale Regional	French	143
Armidale Regional	German	1288
Armidale Regional	Greek	73
Armidale Regional	Hungarian	52
Armidale Regional	Indian	282
Armidale Regional	Irish	3513
Armidale Regional	Italian	316
Armidale Regional	Korean	21
Armidale Regional	Lebanese	70
Armidale Regional	Maltese	49
Armidale Regional	Maori	99
Armidale Regional	NZ	135
Armidale Regional	(Other)	3129
Armidale Regional	Polish	118
Armidale Regional	Russian	58
Armidale Regional	Samoan	25
Armidale Regional	Scottish	3326
Armidale Regional	Serbian	21
Armidale Regional	South African	92
Armidale Regional	Spanish	77
Armidale Regional	Sri Lankan	60
Armidale Regional	Vietnamese	101
Armidale Regional	Welsh	182
Ballina		2678
Ballina	Australian	18176
Ballina	Australian Aboriginal	1719
Ballina	Chinese	383
Ballina	Croatian	124
Ballina	Dutch	701
Ballina	English	20579
Ballina	Filipino	253
Ballina	French	360
Ballina	German	2121
Ballina	Greek	217
Ballina	Hungarian	114
Ballina	Indian	305
Ballina	Irish	6683
Ballina	Italian	1515
Ballina	Korean	27
Ballina	Lebanese	80
Ballina	Macedonian	21
Ballina	Maltese	185
Ballina	Maori	177
Ballina	NZ	403
Ballina	(Other)	2935
Ballina	Polish	251
Ballina	Russian	115
Ballina	Samoan	22
Ballina	Scottish	5816
Ballina	Serbian	47
Ballina	South African	190
Ballina	Spanish	163
Ballina	Sri Lankan	38
Ballina	Vietnamese	63
Ballina	Welsh	375
Balranald		321
Balranald	Australian	779
Balranald	Australian Aboriginal	143
Balranald	Chinese	37
Balranald	Dutch	12
Balranald	English	725
Balranald	Filipino	17
Balranald	French	3
Balranald	German	70
Balranald	Greek	5
Balranald	Indian	11
Balranald	Irish	213
Balranald	Italian	268
Balranald	Maori	3
Balranald	NZ	5
Balranald	(Other)	133
Balranald	Russian	5
Balranald	Scottish	186
Balranald	Spanish	11
Balranald	Vietnamese	14
Balranald	Welsh	4
Bathurst Regional		3214
Bathurst Regional	Australian	18374
Bathurst Regional	Australian Aboriginal	2787
Bathurst Regional	Chinese	392
Bathurst Regional	Croatian	136
Bathurst Regional	Dutch	632
Bathurst Regional	English	17837
Bathurst Regional	Filipino	351
Bathurst Regional	French	205
Bathurst Regional	German	1447
Bathurst Regional	Greek	169
Bathurst Regional	Hungarian	90
Bathurst Regional	Indian	354
