LGA_NAME21	persons
Albury	56093
Armidale Regional	29124
Ballina	46296
Balranald	2208
Bathurst Regional	43567
Bayside (NSW)	175184
Bega Valley	35942
Bellingen	13253
Berrigan	8665
Blacktown	396776
Bland	5547
Blayney	7497
Blue Mountains	78121
Bogan	2467
Bourke	2340
Brewarrina	1356
Broken Hill	17588
Burwood	40217
Byron	36116
Cabonne	13766
Camden	119325
Campbelltown (NSW)	176519
Canada Bay	89177
Canterbury-Bankstown	371006
Carrathool	2866
Central Coast (NSW)	346596
Central Darling	1725
Cessnock	63632
Clarence Valley	54115
Cobar	4059
Coffs Harbour	78759
Coolamon	4385
Coonamble	3732
Cootamundra-Gundagai Regional	11403
Cowra	12724
Cumberland	235439
Dubbo Regional	54922
Dungog	9541
Edward River	8456
Eurobodalla	40593
Fairfield	208475
Federation	12899
Forbes	9319
Georges River	152274
Gilgandra	4295
Glen Innes Severn	8931
Goulburn Mulwaree	32053
Greater Hume Shire	11157
Griffith	27086
Gunnedah	12929
Gwydir	4910
Hawkesbury	67207
Hay	2882
Hilltops	19254
Hornsby	151811
Hunters Hill	13559
Inner West	182818
Inverell	17853
Junee	6415
Kempsey	30688
Kiama	23074
Ku-ring-gai	124076
Kyogle	9359
Lachlan	6094
Lake Macquarie	213845
Lane Cove	39438
Leeton	11452
Lismore	44334
Lithgow	20842
Liverpool	233446
Liverpool Plains	7551
Lockhart	3319
Maitland	90226
Mid-Coast	96579
Mid-Western Regional	25713
Moree Plains	12751
Mosman	28329
Murray River	12850
Murrumbidgee	3353
Muswellbrook	16357
Nambucca Valley	20407
Narrabri	12703
Narrandera	5698
Narromine	6360
Newcastle	168873
North Sydney	68950
Northern Beaches	263554
Oberon	5580
Orange	43512
Parkes	14361
Parramatta	256729
Penrith	217664
Port Macquarie-Hastings	86762
Port Stephens	75276
Queanbeyan-Palerang Regional	63304
Randwick	134252
Richmond Valley	23565
Ryde	129123
Shellharbour	76271
Shoalhaven	108531
Singleton	24577
Snowy Monaro Regional	21666
Snowy Valleys	14891
Strathfield	45593
Sutherland Shire	230211
Sydney	211632
Tamworth Regional	63070
Temora	6034
Tenterfield	6810
The Hills Shire	191876
Tweed	97392
Upper Hunter Shire	14229
Upper Lachlan Shire	8514
Uralla	5971
Wagga Wagga	67609
Walcha	3016
Walgett	5253
Warren	2550
Warrumbungle Shire	9225
Waverley	68605
Weddin	3608
Wentworth	7453
Willoughby	75613
Wingecarribee	52709
Wollondilly	53961
Wollongong	214564
Woollahra	53496
Yass Valley	17281
Unincorporated NSW	1016
No usual address (NSW)	11371
Alpine	13235
Ararat	11880
Ballarat	113763
Banyule	126236
Bass Coast	40789
Baw Baw	57626
Bayside (Vic.)	101306
Benalla	14528
Boroondara	167900
Brimbank	194618
Buloke	6178
Campaspe	38735
Cardinia	118194
Casey	365239
Central Goldfields	13483
Colac Otway	22423
Corangamite	16115
Darebin	148570
East Gippsland	48715
Frankston	139281
Gannawarra	10683
Glen Eira	148908
Glenelg	20152
Golden Plains	24985
Greater Bendigo	121470
Greater Dandenong	158208
Greater Geelong	271057
Greater Shepparton	68409
Hepburn	16604
Hindmarsh	5698
Hobsons Bay	91322
Horsham	20429
Hume	243901
Indigo	17368
Kingston (Vic.)	158129
Knox	159103
Latrobe (Vic.)	77318
Loddon	7759
Macedon Ranges	51458
Manningham	124700
Mansfield	10178
Maribyrnong	85209
Maroondah	115043
Melbourne	149615
Melton	178960
Mildura	56972
Mitchell	49460
Moira	30522
Monash	190397
Moonee Valley	121851
Moorabool	37632
Moreland	171357
Mornington Peninsula	168948
Mount Alexander	20253
Moyne	17374
Murrindindi	15197
Nillumbik	62895
Northern Grampians	11948
Port Phillip	101942
Pyrenees	7671
Queenscliffe	3276
South Gippsland	30577
Southern Grampians	16588
Stonnington	104703
Strathbogie	11455
Surf Coast	37694
Swan Hill	21403
Towong	6223
Wangaratta	29808
Warrnambool	35406
Wellington	45639
West Wimmera	4006
Whitehorse	169346
Whittlesea	229396
Wodonga	43253
Wyndham	292011
Yarra	90114
Yarra Ranges	156068
Yarriambiack	6556
Unincorporated Vic	955
No usual address (Vic.)	9089
Migratory - Offshore - Shipping (Vic.)	38
Aurukun	1101
Balonne	4320
Banana	14513
Barcaldine	2849
Barcoo	308
Blackall Tambo	1905
Boulia	458
Brisbane	1242825
Bulloo	337
Bundaberg	99215
Burdekin	16692
Burke	419
Cairns	166943
Carpentaria	2090
Cassowary Coast	29157
Central Highlands (Qld)	27836
Charters Towers	11794
Cherbourg	1194
Cloncurry	3644
Cook	4511
Croydon	266
Diamantina	266
Doomadgee	1387
Douglas	12337
Etheridge	714
Flinders (Qld)	1500
Fraser Coast	111032
Gladstone	63515
Gold Coast	625087
Goondiwindi	10310
Gympie	53242
Hinchinbrook	10920
Hope Vale	976
Ipswich	229208
Isaac	22046
Kowanyama	1079
Livingstone	39398
Lockhart River	640
Lockyer Valley	41101
Logan	345098
Longreach	3647
Mackay	121691
McKinlay	836
