LGA_NAME16	IndigenousStatus	persons
Albury	Aboriginal	2022
Albury	Both Aboriginal & Torres Strait Islander	67
Albury	Non-indigenous	53960
Albury	Torres Strait Islander	44
Armidale Regional	Aboriginal	2141
Armidale Regional	Both Aboriginal & Torres Strait Islander	41
Armidale Regional	Non-indigenous	26914
Armidale Regional	Torres Strait Islander	28
Ballina	Aboriginal	1714
Ballina	Both Aboriginal & Torres Strait Islander	45
Ballina	Non-indigenous	44489
Ballina	Torres Strait Islander	48
Balranald	Aboriginal	127
Balranald	Both Aboriginal & Torres Strait Islander	12
Balranald	Non-indigenous	2069
Bathurst Regional	Aboriginal	3039
Bathurst Regional	Both Aboriginal & Torres Strait Islander	76
Bathurst Regional	Non-indigenous	40413
Bathurst Regional	Torres Strait Islander	39
Bayside (NSW)	Aboriginal	1848
Bayside (NSW)	Both Aboriginal & Torres Strait Islander	57
Bayside (NSW)	Non-indigenous	173231
Bayside (NSW)	Torres Strait Islander	48
Bega Valley	Aboriginal	1344
Bega Valley	Both Aboriginal & Torres Strait Islander	22
Bega Valley	Non-indigenous	34555
Bega Valley	Torres Strait Islander	21
Bellingen	Aboriginal	539
Bellingen	Both Aboriginal & Torres Strait Islander	11
Bellingen	Non-indigenous	12689
Bellingen	Torres Strait Islander	14
Berrigan	Aboriginal	250
Berrigan	Both Aboriginal & Torres Strait Islander	4
Berrigan	Non-indigenous	8404
Berrigan	Torres Strait Islander	7
Blacktown	Aboriginal	11328
Blacktown	Both Aboriginal & Torres Strait Islander	259
Blacktown	Non-indigenous	384970
Blacktown	Torres Strait Islander	219
Bland	Aboriginal	354
Bland	Both Aboriginal & Torres Strait Islander	3
Bland	Non-indigenous	5190
Blayney	Aboriginal	419
Blayney	Non-indigenous	7072
Blayney	Torres Strait Islander	6
Blue Mountains	Aboriginal	2057
Blue Mountains	Both Aboriginal & Torres Strait Islander	25
Blue Mountains	Non-indigenous	76014
Blue Mountains	Torres Strait Islander	25
Bogan	Aboriginal	428
Bogan	Both Aboriginal & Torres Strait Islander	3
Bogan	Non-indigenous	2036
Bourke	Aboriginal	703
Bourke	Both Aboriginal & Torres Strait Islander	11
Bourke	Non-indigenous	1623
Bourke	Torres Strait Islander	3
Brewarrina	Aboriginal	690
Brewarrina	Both Aboriginal & Torres Strait Islander	7
Brewarrina	Non-indigenous	659
Broken Hill	Aboriginal	1708
Broken Hill	Both Aboriginal & Torres Strait Islander	34
Broken Hill	Non-indigenous	15836
Broken Hill	Torres Strait Islander	10
Burwood	Aboriginal	148
Burwood	Non-indigenous	40059
Burwood	Torres Strait Islander	10
Byron	Aboriginal	601
Byron	Both Aboriginal & Torres Strait Islander	54
Byron	Non-indigenous	35436
Byron	Torres Strait Islander	25
Cabonne	Aboriginal	655
Cabonne	Both Aboriginal & Torres Strait Islander	12
Cabonne	Non-indigenous	13072
Cabonne	Torres Strait Islander	27
Camden	Aboriginal	3767
Camden	Both Aboriginal & Torres Strait Islander	49
Camden	Non-indigenous	115450
Camden	Torres Strait Islander	59
Campbelltown (NSW)	Aboriginal	6962
Campbelltown (NSW)	Both Aboriginal & Torres Strait Islander	113
Campbelltown (NSW)	Non-indigenous	169312
Campbelltown (NSW)	Torres Strait Islander	132
Canada Bay	Aboriginal	462
Canada Bay	Both Aboriginal & Torres Strait Islander	13
Canada Bay	Non-indigenous	88671
Canada Bay	Torres Strait Islander	31
Canterbury-Bankstown	Aboriginal	2628
Canterbury-Bankstown	Both Aboriginal & Torres Strait Islander	69
Canterbury-Bankstown	Non-indigenous	368201
Canterbury-Bankstown	Torres Strait Islander	108
Carrathool	Aboriginal	248
Carrathool	Both Aboriginal & Torres Strait Islander	3
Carrathool	Non-indigenous	2615
Central Coast (NSW)	Aboriginal	16457
Central Coast (NSW)	Both Aboriginal & Torres Strait Islander	278
Central Coast (NSW)	Non-indigenous	329547
Central Coast (NSW)	Torres Strait Islander	314
Central Darling	Aboriginal	626
Central Darling	Both Aboriginal & Torres Strait Islander	5
Central Darling	Non-indigenous	1094
Cessnock	Aboriginal	6174
Cessnock	Both Aboriginal & Torres Strait Islander	186
Cessnock	Non-indigenous	57148
Cessnock	Torres Strait Islander	124
Clarence Valley	Aboriginal	4199
Clarence Valley	Both Aboriginal & Torres Strait Islander	109
Clarence Valley	Non-indigenous	49723
Clarence Valley	Torres Strait Islander	84
Cobar	Aboriginal	565
Cobar	Both Aboriginal & Torres Strait Islander	6
Cobar	Non-indigenous	3488
Coffs Harbour	Aboriginal	4354
Coffs Harbour	Both Aboriginal & Torres Strait Islander	111
Coffs Harbour	Non-indigenous	74199
Coffs Harbour	Torres Strait Islander	95
Coolamon	Aboriginal	239
Coolamon	Non-indigenous	4141
Coolamon	Torres Strait Islander	5
Coonamble	Aboriginal	1246
Coonamble	Both Aboriginal & Torres Strait Islander	14
Coonamble	Non-indigenous	2460
Coonamble	Torres Strait Islander	12
Cootamundra-Gundagai Regional	Aboriginal	684
Cootamundra-Gundagai Regional	Both Aboriginal & Torres Strait Islander	27
Cootamundra-Gundagai Regional	Non-indigenous	10674
Cootamundra-Gundagai Regional	Torres Strait Islander	18
Cowra	Aboriginal	1104
Cowra	Both Aboriginal & Torres Strait Islander	10
Cowra	Non-indigenous	11597
Cowra	Torres Strait Islander	13
Cumberland	Aboriginal	1398
Cumberland	Both Aboriginal & Torres Strait Islander	45
Cumberland	Non-indigenous	233919
Cumberland	Torres Strait Islander	77
Dubbo Regional	Aboriginal	8908
Dubbo Regional	Both Aboriginal & Torres Strait Islander	149
Dubbo Regional	Non-indigenous	45814
Dubbo Regional	Torres Strait Islander	51
Dungog	Aboriginal	647
Dungog	Both Aboriginal & Torres Strait Islander	17
Dungog	Non-indigenous	8854
Dungog	Torres Strait Islander	23
Edward River	Aboriginal	391
Edward River	Both Aboriginal & Torres Strait Islander	8
Edward River	Non-indigenous	8052
Edward River	Torres Strait Islander	5
Eurobodalla	Aboriginal	2410
Eurobodalla	Both Aboriginal & Torres Strait Islander	35
Eurobodalla	Non-indigenous	38126
Eurobodalla	Torres Strait Islander	22
Fairfield	Aboriginal	1439
Fairfield	Both Aboriginal & Torres Strait Islander	33
Fairfield	Non-indigenous	206952
Fairfield	Torres Strait Islander	51
Federation	Aboriginal	281
Federation	Both Aboriginal & Torres Strait Islander	11
Federation	Non-indigenous	12598
Federation	Torres Strait Islander	9
Forbes	Aboriginal	1194
Forbes	Both Aboriginal & Torres Strait Islander	18
Forbes	Non-indigenous	8087
Forbes	Torres Strait Islander	20
Georges River	Aboriginal	989
Georges River	Both Aboriginal & Torres Strait Islander	30
Georges River	Non-indigenous	151231
Georges River	Torres Strait Islander	24
Gilgandra	Aboriginal	610
Gilgandra	Both Aboriginal & Torres Strait Islander	6
Gilgandra	Non-indigenous	3676
Gilgandra	Torres Strait Islander	3
Glen Innes Severn	Aboriginal	635
Glen Innes Severn	Both Aboriginal & Torres Strait Islander	26
Glen Innes Severn	Non-indigenous	8251
Glen Innes Severn	Torres Strait Islander	19
Goulburn Mulwaree	Aboriginal	1549
Goulburn Mulwaree	Both Aboriginal & Torres Strait Islander	12
Goulburn Mulwaree	Non-indigenous	30435
Goulburn Mulwaree	Torres Strait Islander	57
Greater Hume Shire	Aboriginal	359
Greater Hume Shire	Both Aboriginal & Torres Strait Islander	9
Greater Hume Shire	Non-indigenous	10781
Greater Hume Shire	Torres Strait Islander	8
Griffith	Aboriginal	1397
Griffith	Both Aboriginal & Torres Strait Islander	13
Griffith	Non-indigenous	25654
Griffith	Torres Strait Islander	22
Gunnedah	Aboriginal	1952
Gunnedah	Both Aboriginal & Torres Strait Islander	42
Gunnedah	Non-indigenous	10907
Gunnedah	Torres Strait Islander	28
Gwydir	Aboriginal	319
Gwydir	Both Aboriginal & Torres Strait Islander	9
Gwydir	Non-indigenous	4568
Gwydir	Torres Strait Islander	14
Hawkesbury	Aboriginal	3168
Hawkesbury	Both Aboriginal & Torres Strait Islander	45
Hawkesbury	Non-indigenous	63950
Hawkesbury	Torres Strait Islander	44
Hay	Aboriginal	232
Hay	Non-indigenous	2645
Hay	Torres Strait Islander	5
Hilltops	Aboriginal	955
Hilltops	Both Aboriginal & Torres Strait Islander	11
Hilltops	Non-indigenous	18278
Hilltops	Torres Strait Islander	10
Hornsby	Aboriginal	823
Hornsby	Both Aboriginal & Torres Strait Islander	23
Hornsby	Non-indigenous	150941
Hornsby	Torres Strait Islander	24
Hunters Hill	Aboriginal	69
Hunters Hill	Non-indigenous	13487
Hunters Hill	Torres Strait Islander	3
Inner West	Aboriginal	2036
Inner West	Both Aboriginal & Torres Strait Islander	70
Inner West	Non-indigenous	180656
Inner West	Torres Strait Islander	56
Inverell	Aboriginal	1906
Inverell	Both Aboriginal & Torres Strait Islander	38
Inverell	Non-indigenous	15875
Inverell	Torres Strait Islander	34
Junee	Aboriginal	577
Junee	Both Aboriginal & Torres Strait Islander	12
Junee	Non-indigenous	5823
Junee	Torres Strait Islander	3
Kempsey	Aboriginal	3813
Kempsey	Both Aboriginal & Torres Strait Islander	111
Kempsey	Non-indigenous	26728
Kempsey	Torres Strait Islander	36
Kiama	Aboriginal	512
Kiama	Both Aboriginal & Torres Strait Islander	10
Kiama	Non-indigenous	22544
Kiama	Torres Strait Islander	8
Ku-ring-gai	Aboriginal	264
Ku-ring-gai	Both Aboriginal & Torres Strait Islander	10
Ku-ring-gai	Non-indigenous	123772
Ku-ring-gai	Torres Strait Islander	30
Kyogle	Aboriginal	497
Kyogle	Both Aboriginal & Torres Strait Islander	25
Kyogle	Non-indigenous	8831
Kyogle	Torres Strait Islander	6
Lachlan	Aboriginal	1097
Lachlan	Both Aboriginal & Torres Strait Islander	6
Lachlan	Non-indigenous	4985
Lachlan	Torres Strait Islander	6
Lake Macquarie	Aboriginal	11375
Lake Macquarie	Both Aboriginal & Torres Strait Islander	185
Lake Macquarie	Non-indigenous	202088
Lake Macquarie	Torres Strait Islander	197
Lane Cove	Aboriginal	143
Lane Cove	Non-indigenous	39291
Lane Cove	Torres Strait Islander	4
Leeton	Aboriginal	787
Leeton	Both Aboriginal & Torres Strait Islander	13
Leeton	Non-indigenous	10630
Leeton	Torres Strait Islander	22
Lismore	Aboriginal	2440
Lismore	Both Aboriginal & Torres Strait Islander	92
Lismore	Non-indigenous	41739
Lismore	Torres Strait Islander	63
Lithgow	Aboriginal	1540
Lithgow	Both Aboriginal & Torres Strait Islander	31
Lithgow	Non-indigenous	19228
Lithgow	Torres Strait Islander	43
Liverpool	Aboriginal	3676
Liverpool	Both Aboriginal & Torres Strait Islander	84
Liverpool	Non-indigenous	229614
Liverpool	Torres Strait Islander	72
Liverpool Plains	Aboriginal	1082
Liverpool Plains	Both Aboriginal & Torres Strait Islander	33
Liverpool Plains	Non-indigenous	6429
Liverpool Plains	Torres Strait Islander	7
Lockhart	Aboriginal	160
Lockhart	Both Aboriginal & Torres Strait Islander	3
Lockhart	Non-indigenous	3156
Maitland	Aboriginal	6437
Maitland	Both Aboriginal & Torres Strait Islander	160
Maitland	Non-indigenous	83485
Maitland	Torres Strait Islander	144
Mid-Coast	Aboriginal	6780
Mid-Coast	Both Aboriginal & Torres Strait Islander	103
Mid-Coast	Non-indigenous	89565
Mid-Coast	Torres Strait Islander	131
Mid-Western Regional	Aboriginal	1702
Mid-Western Regional	Both Aboriginal & Torres Strait Islander	31
Mid-Western Regional	Non-indigenous	23961
Mid-Western Regional	Torres Strait Islander	19
Moree Plains	Aboriginal	2481
Moree Plains	Both Aboriginal & Torres Strait Islander	26
Moree Plains	Non-indigenous	10215
Moree Plains	Torres Strait Islander	29
Mosman	Aboriginal	73
Mosman	Both Aboriginal & Torres Strait Islander	4
Mosman	Non-indigenous	28252
Murray River	Aboriginal	484
Murray River	Non-indigenous	12363
Murray River	Torres Strait Islander	3
Murrumbidgee	Aboriginal	279
Murrumbidgee	Both Aboriginal & Torres Strait Islander	4
Murrumbidgee	Non-indigenous	3061
Murrumbidgee	Torres Strait Islander	9
Muswellbrook	Aboriginal	1849
Muswellbrook	Both Aboriginal & Torres Strait Islander	25
Muswellbrook	Non-indigenous	14460
Muswellbrook	Torres Strait Islander	23
Nambucca Valley	Aboriginal	1573
Nambucca Valley	Both Aboriginal & Torres Strait Islander	29
Nambucca Valley	Non-indigenous	18773
Nambucca Valley	Torres Strait Islander	32
Narrabri	Aboriginal	1797
Narrabri	Both Aboriginal & Torres Strait Islander	68
Narrabri	Non-indigenous	10824
Narrabri	Torres Strait Islander	14
Narrandera	Aboriginal	715
Narrandera	Both Aboriginal & Torres Strait Islander	3
Narrandera	Non-indigenous	4975
Narrandera	Torres Strait Islander	5
Narromine	Aboriginal	1230
Narromine	Both Aboriginal & Torres Strait Islander	50
Narromine	Non-indigenous	5060
Narromine	Torres Strait Islander	20
Newcastle	Aboriginal	7162
Newcastle	Both Aboriginal & Torres Strait Islander	126
Newcastle	Non-indigenous	161458
Newcastle	Torres Strait Islander	127
North Sydney	Aboriginal	258
North Sydney	Both Aboriginal & Torres Strait Islander	5
North Sydney	Non-indigenous	68669
North Sydney	Torres Strait Islander	18
Northern Beaches	Aboriginal	1600
Northern Beaches	Both Aboriginal & Torres Strait Islander	52
Northern Beaches	Non-indigenous	261844
Northern Beaches	Torres Strait Islander	58
Oberon	Aboriginal	235
Oberon	Both Aboriginal & Torres Strait Islander	12
Oberon	Non-indigenous	5325
Oberon	Torres Strait Islander	8
Orange	Aboriginal	3208
Orange	Both Aboriginal & Torres Strait Islander	73
Orange	Non-indigenous	40182
Orange	Torres Strait Islander	49
Parkes	Aboriginal	1867
Parkes	Both Aboriginal & Torres Strait Islander	14
Parkes	Non-indigenous	12474
Parkes	Torres Strait Islander	6
Parramatta	Aboriginal	1953
Parramatta	Both Aboriginal & Torres Strait Islander	53
Parramatta	Non-indigenous	254650
Parramatta	Torres Strait Islander	73
Penrith	Aboriginal	10578
Penrith	Both Aboriginal & Torres Strait Islander	166
Penrith	Non-indigenous	206736
Penrith	Torres Strait Islander	184
Port Macquarie-Hastings	Aboriginal	4587
Port Macquarie-Hastings	Both Aboriginal & Torres Strait Islander	78
Port Macquarie-Hastings	Non-indigenous	82039
Port Macquarie-Hastings	Torres Strait Islander	58
Port Stephens	Aboriginal	4693
Port Stephens	Both Aboriginal & Torres Strait Islander	102
Port Stephens	Non-indigenous	70389
Port Stephens	Torres Strait Islander	92
Queanbeyan-Palerang Regional	Aboriginal	2105
Queanbeyan-Palerang Regional	Both Aboriginal & Torres Strait Islander	43
Queanbeyan-Palerang Regional	Non-indigenous	61119
Queanbeyan-Palerang Regional	Torres Strait Islander	37
Randwick	Aboriginal	2242
Randwick	Both Aboriginal & Torres Strait Islander	70
Randwick	Non-indigenous	131901
Randwick	Torres Strait Islander	39
Richmond Valley	Aboriginal	1753
Richmond Valley	Both Aboriginal & Torres Strait Islander	63
Richmond Valley	Non-indigenous	21712
Richmond Valley	Torres Strait Islander	37
Ryde	Aboriginal	567
Ryde	Both Aboriginal & Torres Strait Islander	12
Ryde	Non-indigenous	128513
Ryde	Torres Strait Islander	31
Shellharbour	Aboriginal	3689
Shellharbour	Both Aboriginal & Torres Strait Islander	44
Shellharbour	Non-indigenous	72462
Shellharbour	Torres Strait Islander	76
Shoalhaven	Aboriginal	6807
Shoalhaven	Both Aboriginal & Torres Strait Islander	121
Shoalhaven	Non-indigenous	101466
Shoalhaven	Torres Strait Islander	137
Singleton	Aboriginal	1943
Singleton	Both Aboriginal & Torres Strait Islander	55
Singleton	Non-indigenous	22543
Singleton	Torres Strait Islander	36
Snowy Monaro Regional	Aboriginal	627
Snowy Monaro Regional	Both Aboriginal & Torres Strait Islander	14
Snowy Monaro Regional	Non-indigenous	20999
Snowy Monaro Regional	Torres Strait Islander	26
Snowy Valleys	Aboriginal	918
Snowy Valleys	Both Aboriginal & Torres Strait Islander	7
Snowy Valleys	Non-indigenous	13949
Snowy Valleys	Torres Strait Islander	17
Strathfield	Aboriginal	181
Strathfield	Both Aboriginal & Torres Strait Islander	8
Strathfield	Non-indigenous	45391
Strathfield	Torres Strait Islander	13
Sutherland Shire	Aboriginal	3129
Sutherland Shire	Both Aboriginal & Torres Strait Islander	66
Sutherland Shire	Non-indigenous	226942
Sutherland Shire	Torres Strait Islander	74
Sydney	Aboriginal	2839
Sydney	Both Aboriginal & Torres Strait Islander	81
Sydney	Non-indigenous	208620
Sydney	Torres Strait Islander	92
Tamworth Regional	Aboriginal	7715
Tamworth Regional	Both Aboriginal & Torres Strait Islander	218
Tamworth Regional	Non-indigenous	55035
Tamworth Regional	Torres Strait Islander	102
Temora	Aboriginal	195
Temora	Both Aboriginal & Torres Strait Islander	5
Temora	Non-indigenous	5827
Temora	Torres Strait Islander	7
Tenterfield	Aboriginal	493
Tenterfield	Both Aboriginal & Torres Strait Islander	12
Tenterfield	Non-indigenous	6295
Tenterfield	Torres Strait Islander	10
The Hills Shire	Aboriginal	1153
The Hills Shire	Both Aboriginal & Torres Strait Islander	33
The Hills Shire	Non-indigenous	190670
The Hills Shire	Torres Strait Islander	20
Tweed	Aboriginal	3720
Tweed	Both Aboriginal & Torres Strait Islander	367
Tweed	Non-indigenous	93058
Tweed	Torres Strait Islander	247
Upper Hunter Shire	Aboriginal	950
Upper Hunter Shire	Both Aboriginal & Torres Strait Islander	20
Upper Hunter Shire	Non-indigenous	13246
Upper Hunter Shire	Torres Strait Islander	13
