LGA_NAME21	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Albury	0-14		1		8
Albury	0-14		1	2010	19
Albury	0-14		1	2015	44
Albury	0-14		1	2016	15
Albury	0-14		1	2017	4
Albury	0-14		1	2018	8
Albury	0-14		1	2019	10
Albury	0-14		1	2020	10
Albury	0-14		1	2021	5
Albury	0-14	Speaks English not well or not at all	0	2016	3
Albury	0-14	Speaks English not well or not at all	0	2018	5
Albury	0-14	Speaks English not well or not at all	0	2019	9
Albury	0-14	Speaks English not well or not at all	0	2020	6
Albury	0-14	Speaks English not well or not at all	0	2021	3
Albury	0-14	Speaks English well or very well	0		9
Albury	0-14	Speaks English well or very well	0	2010	9
Albury	0-14	Speaks English well or very well	0	2015	78
Albury	0-14	Speaks English well or very well	0	2016	23
Albury	0-14	Speaks English well or very well	0	2017	30
Albury	0-14	Speaks English well or very well	0	2018	46
Albury	0-14	Speaks English well or very well	0	2019	40
Albury	0-14	Speaks English well or very well	0	2020	14
Albury	0-14	Speaks English well or very well	0	2021	3
Albury	15-24		1		4
Albury	15-24		1	2005	33
Albury	15-24		1	2010	65
Albury	15-24		1	2015	24
Albury	15-24		1	2016	8
Albury	15-24		1	2017	3
Albury	15-24		1	2018	9
Albury	15-24		1	2019	3
Albury	15-24	Speaks English not well or not at all	0	2015	6
Albury	15-24	Speaks English not well or not at all	0	2017	3
Albury	15-24	Speaks English not well or not at all	0	2018	4
Albury	15-24	Speaks English not well or not at all	0	2019	9
Albury	15-24	Speaks English well or very well	0		9
Albury	15-24	Speaks English well or very well	0	2005	11
Albury	15-24	Speaks English well or very well	0	2010	70
Albury	15-24	Speaks English well or very well	0	2015	101
Albury	15-24	Speaks English well or very well	0	2016	26
Albury	15-24	Speaks English well or very well	0	2017	41
Albury	15-24	Speaks English well or very well	0	2018	52
Albury	15-24	Speaks English well or very well	0	2019	46
Albury	15-24	Speaks English well or very well	0	2020	3
Albury	25-34		1		3
Albury	25-34		1	2005	104
Albury	25-34		1	2010	44
Albury	25-34		1	2015	44
Albury	25-34		1	2016	8
Albury	25-34		1	2017	13
Albury	25-34		1	2018	19
Albury	25-34		1	2019	11
Albury	25-34		1	2020	10
Albury	25-34		1	2021	6
Albury	25-34	Speaks English not well or not at all	0	2010	3
Albury	25-34	Speaks English not well or not at all	0	2015	31
Albury	25-34	Speaks English not well or not at all	0	2016	6
Albury	25-34	Speaks English not well or not at all	0	2017	12
Albury	25-34	Speaks English not well or not at all	0	2018	9
Albury	25-34	Speaks English not well or not at all	0	2019	9
Albury	25-34	Speaks English not well or not at all	0	2020	3
Albury	25-34	Speaks English well or very well	0		5
Albury	25-34	Speaks English well or very well	0	2005	31
Albury	25-34	Speaks English well or very well	0	2010	144
Albury	25-34	Speaks English well or very well	0	2015	371
Albury	25-34	Speaks English well or very well	0	2016	98
Albury	25-34	Speaks English well or very well	0	2017	119
Albury	25-34	Speaks English well or very well	0	2018	95
Albury	25-34	Speaks English well or very well	0	2019	63
Albury	25-34	Speaks English well or very well	0	2020	24
Albury	25-34	Speaks English well or very well	0	2021	3
Albury	35-44		0	2010	5
Albury	35-44		1		6
Albury	35-44		1	2005	202
Albury	35-44		1	2010	80
Albury	35-44		1	2015	45
Albury	35-44		1	2016	9
Albury	35-44		1	2017	3
Albury	35-44		1	2018	13
Albury	35-44		1	2019	4
Albury	35-44		1	2020	3
Albury	35-44		1	2021	4
Albury	35-44	Speaks English not well or not at all	0	2005	7
Albury	35-44	Speaks English not well or not at all	0	2010	19
Albury	35-44	Speaks English not well or not at all	0	2015	35
Albury	35-44	Speaks English not well or not at all	0	2016	5
Albury	35-44	Speaks English not well or not at all	0	2017	11
Albury	35-44	Speaks English not well or not at all	0	2018	13
Albury	35-44	Speaks English not well or not at all	0	2019	11
Albury	35-44	Speaks English well or very well	0		6
Albury	35-44	Speaks English well or very well	0	2005	65
Albury	35-44	Speaks English well or very well	0	2010	290
Albury	35-44	Speaks English well or very well	0	2015	175
Albury	35-44	Speaks English well or very well	0	2016	50
Albury	35-44	Speaks English well or very well	0	2017	35
Albury	35-44	Speaks English well or very well	0	2018	45
Albury	35-44	Speaks English well or very well	0	2019	27
Albury	35-44	Speaks English well or very well	0	2020	14
Albury	35-44	Speaks English well or very well	0	2021	7
Albury	45-54		1		11
Albury	45-54		1	2005	344
Albury	45-54		1	2010	50
Albury	45-54		1	2015	31
Albury	45-54		1	2016	5
Albury	45-54		1	2017	4
Albury	45-54		1	2018	4
Albury	45-54		1	2019	4
Albury	45-54		1	2020	3
Albury	45-54	Speaks English not well or not at all	0		4
Albury	45-54	Speaks English not well or not at all	0	2005	13
Albury	45-54	Speaks English not well or not at all	0	2010	22
Albury	45-54	Speaks English not well or not at all	0	2015	48
Albury	45-54	Speaks English not well or not at all	0	2016	9
Albury	45-54	Speaks English not well or not at all	0	2017	9
Albury	45-54	Speaks English not well or not at all	0	2018	5
Albury	45-54	Speaks English not well or not at all	0	2019	14
Albury	45-54	Speaks English not well or not at all	0	2020	6
Albury	45-54	Speaks English well or very well	0		5
Albury	45-54	Speaks English well or very well	0	2005	118
Albury	45-54	Speaks English well or very well	0	2010	101
Albury	45-54	Speaks English well or very well	0	2015	55
Albury	45-54	Speaks English well or very well	0	2016	6
Albury	45-54	Speaks English well or very well	0	2017	13
Albury	45-54	Speaks English well or very well	0	2018	6
Albury	45-54	Speaks English well or very well	0	2019	10
Albury	45-54	Speaks English well or very well	0	2020	4
Albury	55-64		1		9
Albury	55-64		1	2005	566
Albury	55-64		1	2010	35
Albury	55-64		1	2015	14
Albury	55-64		1	2016	3
Albury	55-64		1	2017	5
Albury	55-64		1	2019	6
Albury	55-64	Speaks English not well or not at all	0	2005	18
Albury	55-64	Speaks English not well or not at all	0	2010	15
Albury	55-64	Speaks English not well or not at all	0	2015	39
Albury	55-64	Speaks English not well or not at all	0	2016	3
Albury	55-64	Speaks English not well or not at all	0	2018	4
Albury	55-64	Speaks English not well or not at all	0	2019	13
Albury	55-64	Speaks English not well or not at all	0	2020	4
Albury	55-64	Speaks English well or very well	0		5
Albury	55-64	Speaks English well or very well	0	2005	133
Albury	55-64	Speaks English well or very well	0	2010	25
Albury	55-64	Speaks English well or very well	0	2015	11
Albury	65-74		1		27
Albury	65-74		1	2005	643
Albury	65-74		1	2010	17
Albury	65-74		1	2015	4
Albury	65-74		1	2020	4
Albury	65-74	Speaks English not well or not at all	0		3
Albury	65-74	Speaks English not well or not at all	0	2005	21
Albury	65-74	Speaks English not well or not at all	0	2010	10
Albury	65-74	Speaks English not well or not at all	0	2015	13
Albury	65-74	Speaks English not well or not at all	0	2017	4
Albury	65-74	Speaks English not well or not at all	0	2019	11
Albury	65-74	Speaks English not well or not at all	0	2020	7
Albury	65-74	Speaks English well or very well	0	2005	119
Albury	65-74	Speaks English well or very well	0	2010	5
Albury	65-74	Speaks English well or very well	0	2015	6
Albury	65-74	Speaks English well or very well	0	2019	4
Albury	75-84		0	2005	3
Albury	75-84		1		12
Albury	75-84		1	2005	460
Albury	75-84		1	2010	4
Albury	75-84		1	2015	4
Albury	75-84	Speaks English not well or not at all	0	2005	24
Albury	75-84	Speaks English not well or not at all	0	2010	6
Albury	75-84	Speaks English not well or not at all	0	2015	6
Albury	75-84	Speaks English not well or not at all	0	2019	7
Albury	75-84	Speaks English well or very well	0		5
Albury	75-84	Speaks English well or very well	0	2005	113
Albury	85+			2005	5
Albury	85+		1		5
Albury	85+		1	2005	128
Albury	85+	Speaks English not well or not at all	0	2005	17
Albury	85+	Speaks English not well or not at all	0	2010	4
Albury	85+	Speaks English not well or not at all	0	2015	8
Albury	85+	Speaks English well or very well	0		4
Albury	85+	Speaks English well or very well	0	2005	52
Armidale Regional	0-14		0	2019	4
Armidale Regional	0-14		1		3
Armidale Regional	0-14		1	2010	10
Armidale Regional	0-14		1	2015	46
Armidale Regional	0-14		1	2016	8
Armidale Regional	0-14		1	2017	13
Armidale Regional	0-14		1	2018	9
Armidale Regional	0-14		1	2019	8
Armidale Regional	0-14		1	2020	6
Armidale Regional	0-14	Speaks English not well or not at all	0	2018	10
Armidale Regional	0-14	Speaks English not well or not at all	0	2019	40
Armidale Regional	0-14	Speaks English not well or not at all	0	2020	9
